Hospital,Hospital type,Control type,Total cost of charity care,HVBP payment adjustment amount,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Fiscal Year End Date,"ADJUSTED SALARIES, Subtotal Salaries",NUMBER OF BEDS: Adults & Pediatrics,"Donations, Land Improvements",Total Liabilities,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Salaries,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Interim payments,Net Revenue from Medicaid,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),BED DAYS: Total Hospital,Total Costs,NUMBER OF BEDS: ICU,Cost of Uncompensated Care,Cost To Charge Ratio,Number of Interns & Residents,Fiscal Year Begin Date,BALANCE SHEET: Inventory (G_C1THRU4_7),FTE Employees on Payroll,REIMBURSEMENT SETTLEMENT: Subtotal,Total Inpatient Days,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),IPPS Interim payment,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),HAC reduction adjustment amount,NUMBER OF BEDS: Total Hospital,State,Total discharges,Report_Period_Begin_Yr,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,,8176.0,1.0,2011-05-31,5923127.0,30.0,,11428621.0,14471634.0,,4316611.0,5947529.0,595665.0,,10800.0,,,11496877.0,284371.0,10950.0,13703605.0,,-135778.0,0.36271,107.27,2010-06-01 00:00:00,186140.0,,10800.0,10429.0,,1568449.0,471544.0,365617.0,,,1235052.0,37781116.0,1447190.0,,30.0,TX,383.0,2010,68256.0,,284371.0,0.04116086683784292,566455.0,0.03914243547065936,0.28611612211524273,0.4011389953831837,0.1582943193167047,0.06587830128774634,167.43760255508673,0.9940630833921247,0.005936916607875339,4.527475696859678,68256.0,1.2587447878236846,9.999816195523739,for-profit
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,,1988.0,1.0,2011-09-30,3653677.0,27.0,,2988459.0,7815324.0,,2988459.0,3653677.0,-125905.0,,655.0,,,4967033.0,3415894.0,9855.0,8012291.0,,,,55.63,2010-10-01 00:00:00,,,655.0,5434.0,,,,8481.0,,,4967033.0,17995810.0,1542658.0,,27.0,OH,218.0,2010,1978574.0,,3415894.0,-0.016110016680050628,-136610.0,-0.01747976155563096,1.6620716563285627,1.6592337388600613,,1.1430285642198872,1.5104105279863174,0.6016587769801408,0.39834122301985914,,1978574.0,1.5734391134506254,5.066141685324939,non-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,3683.0,2.0,2011-06-30,4774062.0,34.0,,1005085.0,16919279.0,,945278.0,10124879.0,-211489.0,4564505.0,462491.0,,,12562806.0,1116065.0,12410.0,10271163.0,,-62819.0,0.392376,165.97,2010-07-01 00:00:00,608255.0,,439417.0,6330.0,,501863.0,5028.0,80073.0,4150786.0,,4183512.0,26176827.0,10826866.0,,34.0,OK,1822.0,2010,11557721.0,,1116065.0,-0.012499882530455347,-291961.0,-0.017256113573161126,4.425694874946841,12.63430546357791,3.6975196714617287,1.180673833517759,0.08696221339829885,0.0800048173950947,0.9199951826049053,41.74661893396977,11557721.0,1.3467754735685642,1.562712515329921,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,48294.0,,513.0,1.0,2011-06-30,,25.0,,11425367.0,8512665.0,,2375241.0,3949524.0,-104864.0,,1222129.0,690244.0,251725.0,18150253.0,2094830.0,9125.0,8600505.0,,286660.0,0.946931,60.17,2010-07-01 00:00:00,200426.0,,1465212.0,759.0,1625806.0,1058219.0,401068.0,183615.0,,794873.0,7198401.0,9082501.0,1569695.0,,25.0,IA,141.0,2010,6724886.0,752689.884763,3720636.0,-0.012318586482611497,-1844455.0,-0.2166718648037953,3.030598158250047,2.2272817789857955,2.868913091345257,0.8819441900842904,1.6989681312069826,0.629488029726087,0.37051197027391297,-1.9603558498808182,6724886.0,0.46901081764535185,5.423133156441219,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,19190.0,,19633.0,1.0,2011-09-30,14111790.0,114.0,,4995478.0,31878676.0,,4987794.0,13950712.0,2155891.0,18614233.0,1267926.0,4408939.0,2632000.0,8126439.0,3637886.0,41610.0,25199163.0,,782939.0,0.49463,315.2,2010-10-01 00:00:00,93588.0,,1243550.0,36875.0,124792.0,468531.0,,359521.0,17214092.0,12202762.0,6980829.0,50945499.0,2655027.0,,114.0,MA,6125.0,2010,3130961.0,6035852.16806,3762678.0,0.06762799684654407,1904973.0,0.059756967321980374,1.3995824607030682,1.2866820482161052,1.3087388933865352,0.7293577080368596,1.5955094937305192,0.614719190041296,0.38528080995870395,,3130961.0,3.9228345896646735,12.006912170761352,for-profit
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,,,482.0,1.0,2011-06-30,31145191.0,64.0,,323391854.0,47879018.0,,115479435.0,28448053.0,-26249585.0,407865.0,127898.0,,,166113958.0,13867642.0,30660.0,79161528.0,20.0,,0.865038,1284.5,2010-07-01 00:00:00,2270462.0,,124070.0,13799.0,,752526.0,,,349622.0,,110508905.0,91512173.0,166974288.0,,84.0,PR,1949.0,2010,-157277896.0,,13867642.0,-0.5482481908881256,-38928719.0,-0.813064273791079,0.956957444414237,1.5660098267713207,,0.12008754632372422,-2.056181206798443,1.9468072273613515,-0.9468072273613516,,-157277896.0,0.2882299511519676,0.2867448549922848,govt
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,,3552.0,1.0,2011-09-30,,27.0,,1244898.0,6387715.0,,613041.0,2517970.0,325483.0,,,,,5102783.0,3791888.0,9855.0,6219406.0,,,,45.7,2010-10-01 00:00:00,70007.0,,,5258.0,,60279.0,,,,,4823215.0,17395297.0,3025219.0,,27.0,AR,180.0,2010,3857885.0,,3791888.0,0.050954527557976526,318920.0,0.04992708660295583,7.867687479303994,11.120148570813372,,6.185374224562468,0.32268924553220224,0.24396451896935456,0.7560354810306454,,3857885.0,1.2518100416968545,2.1114884575298514,non-profit
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,,5151.0,1.0,2011-11-30,,25.0,,87177.0,9723170.0,,1177703.0,3448500.0,1093753.0,,646.0,,,1750675.0,189739.0,9125.0,8875200.0,,-14949.0,0.30715,60.01,2010-12-01 00:00:00,85278.0,,646.0,7579.0,,63711.0,,5500.0,6246252.0,,1407786.0,28895343.0,4464633.0,,25.0,AR,254.0,2010,1663498.0,,189739.0,0.11248934246752859,1008406.0,0.1037116495957594,1.1953658944572614,3.9520762025739935,1.118285340191882,0.1611093798691181,0.0524058339715467,0.049796221457437846,0.9502037785425621,,1663498.0,5.553954903108801,2.1778206629749857,non-profit
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,,6225.0,1.0,2011-08-31,,40.0,,81134750.0,16321590.0,,68934126.0,7255980.0,1432092.0,,,,,82410669.0,350978.0,14600.0,16026010.0,,,,127.0,2010-09-01 00:00:00,105076.0,,,10730.0,,1161631.0,,24152.0,,,2810767.0,28952684.0,5198542.0,,40.0,MT,394.0,2010,1275919.0,,350978.0,0.087742186882528,1261642.0,0.07729896413278363,0.04077468103389024,0.08050468355832929,0.038900021739595274,0.005091498512652499,63.58926389527862,0.9845175507554732,0.015482449244526823,,1275919.0,0.19805190514834917,3.139647616581726,for-profit
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,,4602.0,2.0,2011-09-30,,27.0,,801051.0,7578930.0,,801051.0,2880348.0,706527.0,,,,,3232389.0,656059.0,9855.0,6781093.0,,,,58.16,2010-10-01 00:00:00,205090.0,,,5960.0,,330426.0,5029.0,21815.0,,,2850377.0,27830019.0,1967413.0,,27.0,AR,221.0,2010,2431338.0,,656059.0,0.09322252613495573,635128.0,0.08380180315691,3.558296537923303,3.2750374195900136,3.2750374195900136,0.8189977916512182,0.32946920584468303,0.24782011076018387,0.7521798892398162,191.99721614635115,2431338.0,2.344683761762585,3.852231331194823,for-profit
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,5642402.0,,27121.0,1.0,2011-10-31,56356149.0,173.0,,175577276.0,154728459.0,,31044055.0,59598291.0,2374433.0,47968788.0,10235217.0,4942843.0,3360802.0,216736333.0,41619046.0,73000.0,137963911.0,27.0,6321122.0,0.232031,809.78,2010-11-01 00:00:00,3783881.0,19.09,10131169.0,41932.0,15235253.0,13489868.0,20232655.0,194672.0,44053859.0,39507737.0,56829969.0,594593617.0,11193368.0,,200.0,IL,8690.0,2010,41159057.0,9167019.723847,56854299.0,0.015345806552626495,-1316879.0,-0.008510903608236673,1.8306232545973777,2.1919709586908023,1.702464964709024,1.3406446419451326,4.265823582887236,0.81009618262758,0.18990381737241996,0.6016505989945462,41159057.0,0.7139018034415116,13.823226306863136,non-profit
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,53582.0,,7097.0,1.0,2011-06-30,24702945.0,87.0,,74142644.0,88333074.0,,74136910.0,30324151.0,167514.0,15796847.0,3596459.0,6858320.0,7498100.0,47361771.0,-674104.0,39543.0,72433655.0,21.0,1778272.0,0.237379,576.69,2010-07-01 00:00:00,2754476.0,23.98,3736922.0,19478.0,,6572480.0,,695274.0,13961442.0,34801103.0,17746409.0,305139398.0,18896813.0,,108.0,OH,3649.0,2010,-26780873.0,8261051.029037001,0.0,0.0018963904731765589,-632536.0,-0.007160805928705708,0.23937346458059824,0.2548907554954745,0.19284131210755884,0.0,-2.7684924236786457,1.5654533695541073,-0.5654533695541073,,-26780873.0,1.8650711773425872,4.674495852819203,for-profit
ALAMEDA COUNTY MEDICAL CENTER (050320),General Short Term (Acute Care Hospitals),Governmental-County,33607443.0,,5287.0,1.0,2011-06-30,176584325.0,178.0,,301744132.0,210397644.0,,94221474.0,231548178.0,65435308.0,23875211.0,9074277.0,98570187.0,32394236.0,269431884.0,76616254.0,72270.0,395090954.0,20.0,48147188.0,0.466175,2282.05,2010-07-01 00:00:00,4093418.0,125.46,8896595.0,45623.0,,11208618.0,1205585.0,1587341.0,22556347.0,398625817.0,232254476.0,847516405.0,201787442.0,,198.0,CA,10352.0,2010,-32312248.0,185829390.239975,76616254.0,0.3110077981671696,-292545497.0,-1.3904409357359533,2.4649845320823576,2.954779671564043,2.4046929790124065,0.8131506624487747,-9.338382522936813,1.119927335697211,-0.11992733569721095,-233.36129679782016,-32312248.0,0.7808936376661346,1.0426696622676845,govt
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,466787.0,,5453.0,1.0,2011-06-30,29779535.0,84.0,,18860485.0,57757879.0,,17750199.0,35233865.0,-1428859.0,14832166.0,3466995.0,39917405.0,8020061.0,28120619.0,2064823.0,33580.0,64453585.0,,2480234.0,0.263951,437.53,2010-07-01 00:00:00,1183358.0,,3376630.0,10443.0,,390027.0,253919.0,262359.0,13702897.0,48527704.0,19004112.0,244187944.0,7249185.0,,92.0,CA,2527.0,2010,9260134.0,12808935.998504,2064823.0,-0.024738772003729568,-9477430.0,-0.16408895485930153,1.0706421939269526,0.5247269622160292,0.989194261991091,0.11632675216767992,2.036739965102017,0.6706994963375451,0.32930050366245495,-35.788590062185186,9260134.0,2.053933414481381,7.967499656857978,govt
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-State,,,3936.0,1.0,2011-06-30,15969547.0,80.0,,,,,,16012081.0,-31700075.0,,29241.0,,,,,29200.0,31026940.0,,-21276.0,1.055834,251.37,2010-07-01 00:00:00,,,49203.0,25537.0,,1473917.0,,,,,,29386192.0,,,80.0,AK,1325.0,2010,,,0.0,,,,,,,,,,,,,,,govt
ALBANY AREA HOSPITAL (241331),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,18964.0,,555.0,2.0,2011-06-30,,17.0,,-3940368.0,10187425.0,,-4037671.0,4577202.0,-87941.0,,779509.0,894779.0,248239.0,3679938.0,33608.0,6205.0,9328896.0,,183044.0,0.672913,54.26,2010-07-01 00:00:00,179233.0,,861417.0,1162.0,,310387.0,3627.0,24201.0,,1418942.0,1783220.0,13863444.0,1736049.0,,17.0,MN,261.0,2010,3679938.0,954824.5180459999,33608.0,-0.008632308949513738,-280174.0,-0.027501944799593617,inf,inf,inf,inf,0.0,0.0,1.0,8.33002481389578,3679938.0,2.7683686518631565,5.868166739533273,non-profit
ALBEMARLE HOSPITAL (340109),General Short Term (Acute Care Hospitals),Governmental-County,2447675.0,,14115.0,2.0,2011-09-30,38540160.0,125.0,,79033370.0,121029091.0,,15726909.0,38937205.0,1351001.0,26352620.0,11143740.0,9014126.0,17346917.0,147919885.0,1854927.0,51830.0,93972930.0,,8576043.0,0.374692,840.9,2010-10-01 00:00:00,2406600.0,,10951910.0,23184.0,3895204.0,7220835.0,3037204.0,1547754.0,24360025.0,26457158.0,48546818.0,250800271.0,19394799.0,,142.0,NC,5022.0,2010,68886515.0,9913285.445336001,5750131.0,0.011162613788448596,-1039654.0,-0.008590116569577474,3.0868632863584318,1.598847554850098,2.8354245579980146,0.11794606301848634,1.1472981322977363,0.53429848191134,0.46570151808865995,2.0351550307453827,68886515.0,0.8182070382220754,6.2402859137648194,govt
ALBERT EINSTEIN MEDICAL CENTER (390142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,12114061.0,,32767.0,1.0,2011-06-30,219264322.0,355.0,,442636648.0,660036000.0,,127745717.0,273810178.0,22235723.0,126774589.0,18014906.0,129561765.0,27931557.0,819396869.0,13850703.0,159870.0,526804938.0,39.0,16754145.0,0.18832,3409.2,2010-07-01 00:00:00,7444582.0,341.7,18112195.0,121052.0,1952797.0,28307801.0,,1119845.0,116936473.0,848484353.0,175067651.0,2797386487.0,61474857.0,,438.0,PA,26471.0,2010,376760221.0,159786573.35696,15803500.0,0.03368865183111224,-16214573.0,-0.02456619487421898,1.3704385173242246,0.6049389272283783,1.303395745158329,0.1084240108026479,1.1748497408382188,0.540198119795354,0.45980188020464596,,376760221.0,0.805514427710121,10.736682152835265,non-profit
ALEGENT HEALTH COMMUNITY HOSPITAL (161309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,351774.0,,1634.0,2.0,2011-06-30,,25.0,,2553000.0,22939000.0,,2242000.0,10636048.0,1633000.0,,3154422.0,1442844.0,968156.0,23611000.0,9528000.0,9125.0,20437138.0,,816198.0,0.561272,113.99,2010-07-01 00:00:00,485000.0,,2644756.0,2196.0,,311080.0,11917.0,,,2945239.0,12725000.0,36412172.0,4046000.0,,25.0,IA,481.0,2010,21058000.0,1653080.184008,9528000.0,0.07118880509176512,931000.0,0.04058590173939579,5.675735950044603,6.054415700267618,,4.249776984834969,0.12123658467090892,0.10812756765914193,0.8918724323408581,104.22757405387262,21058000.0,0.9715386895938334,5.66955017301038,non-profit
ALEGENT HEALTH MEMORIAL HOSPITAL (281323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,42714.0,,593.0,2.0,2011-06-30,,25.0,,2133000.0,11597773.0,,345000.0,5299620.0,281151.0,,1693356.0,707161.0,903466.0,9002000.0,1610000.0,9125.0,11123846.0,,766540.0,0.801166,63.85,2010-07-01 00:00:00,234000.0,,1415046.0,1012.0,,332424.0,53612.0,,,1096496.0,3914000.0,13884574.0,1086000.0,,25.0,NE,251.0,2010,6869000.0,878475.314336,1610000.0,0.024241809181814473,116025.0,0.010004075782479964,11.344927536231884,7.814492753623188,,4.666666666666667,0.3105255495705343,0.2369473450344368,0.7630526549655632,8.364713123927478,6869000.0,1.2883551433014886,10.679348987108655,non-profit
ALEGENT HEALTH MERCY HOSPITAL (161304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,215780.0,,1329.0,2.0,2011-06-30,,22.0,,1318444.0,15538638.0,,973310.0,6555121.0,403053.0,,3116207.0,883085.0,443455.0,17773350.0,989079.0,8030.0,15810983.0,,441367.0,0.617464,95.74,2010-07-01 00:00:00,381327.0,,3028062.0,1678.0,,871961.0,15660.0,,,1442339.0,8154986.0,25606326.0,2069440.0,,22.0,IA,222.0,2010,16454906.0,890592.408296,989079.0,0.025938759883588253,-322897.0,-0.02078026401026911,8.378611131088759,3.1423893723479672,,1.0162014157873647,0.0801246752792146,0.07418095069303199,0.925819049306968,35.061558109833975,16454906.0,0.8742661344091013,7.508619723210144,non-profit
