Hospital,Hospital type,Control type,Medicaid charges,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Cost of Uncompensated Care,"Donations, Land Improvements",IPPS Payment amount (unadjusted),BALANCE SHEET: Temporary Investments (G_C1THRU4_2),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Cost To Charge Ratio,State,Total Costs,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,NUMBER OF BEDS: ICU,Net Revenue from Medicaid,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Fiscal Year End Date,FTE Employees on Payroll,Number of Interns & Residents,Total Liabilities,Total discharges,Fiscal Year Begin Date,Total cost of charity care,NUMBER OF BEDS: Total Hospital,BED DAYS: Total Hospital,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Inventory (G_C1THRU4_7),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Total Charges,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),IPPS Interim payment,Total Inpatient Days,NUMBER OF BEDS: Adults & Pediatrics,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,Total Salaries,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Urban (1) and Rural (2) Indicator,Total Days Title XVIII,Beginning FFY,Financial Indicators: Ratio of Charity Care to Total Operating Expense,Financial Indicators: Total Net Assets,Financial Indicators: Medicaid Costs,Financial Indicators: Medicaid Shortfall,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,,,,,,10298768.0,,AZ,31200066.0,2053237.0,238756.0,233980.0,,,,8396831.0,-45785.0,2023-12-31,,261.36,-31605503.0,3693.0,2023-01-01 00:00:00,,140.0,51100.0,154263.0,,1287471.0,111488604.0,49234700.0,,47233.0,140.0,,,,22462756.0,,32109500.0,9813047.0,1.0,2858.0,2023,,63715003.0,,,-45785.0,0.20917702352202816,10240328.0,0.2079900557939827,4.089557610738556,4.757006619304055,,-0.02229893577799348,-0.49604491111771587,-0.9843038041701054,1.9843038041701053,,63715003.0,1.5333374857908095,5.017269355787249,for-profit
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,,,,,1553560.0,,LA,16613866.0,2568888.0,7655.0,7502.0,,,,1796517.0,-55452.0,2023-12-31,,160.33,1423750.0,3055.0,2023-01-01 00:00:00,,78.0,28470.0,63083.0,,646622.0,56569962.0,19780158.0,,23093.0,78.0,,,,9177837.0,,10072760.0,2304837.0,1.0,528.0,2023,,8649010.0,,,-55452.0,0.07854133419965605,1426445.0,0.072114944683455,0.6993364444070742,0.8756259517736857,,-0.0215859936283715,0.1646142159622893,0.14134656241189109,0.858653437588109,,8649010.0,1.963727717130161,8.58202033375896,for-profit
ACADIAN MEDICAL CENTER (190318),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,2770623.0,,-4729719.0,,LA,37413560.0,10516518.0,2153999.0,2110929.0,,6.0,,8212212.0,-91946.0,2023-09-30,,210.0,20008202.0,1348.0,2022-10-01 00:00:00,,49.0,17885.0,180917.0,1244192.0,665451.0,213234603.0,32405556.0,2460084.0,4960.0,43.0,17489317.0,,,17489317.0,,-708590.0,6879049.0,2.0,1417.0,2023,,-20716792.0,,,-91946.0,-0.145953953081379,-10988262.0,-0.3390857419635077,0.7808869817937838,0.6453754940561125,0.6453754940561125,-0.008743007904327268,-0.9657963453028828,-28.23664178156621,29.23664178156621,,-20716792.0,-45.73244894791064,4.710761036881697,for-profit
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,,,,,218034.0,1097571.0,,TX,11567126.0,1969956.0,,,,,,2959588.0,937336.0,2023-12-31,,65.3,6720145.0,622.0,2023-01-01 00:00:00,,149.0,54385.0,194046.0,,57399.0,22691358.0,14077531.0,,7535.0,149.0,3902691.0,,,4461085.0,,8591639.0,1759633.0,1.0,6475.0,2023,,1871494.0,,,1155370.0,0.07796615755987325,1068314.0,0.07588788119166635,1.5023624893144822,1.4797300041219195,,0.47581570349794616,3.590791634918413,0.7821726448236478,0.21782735517635227,,1871494.0,1.6385151890110838,8.00026539625024,for-profit
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,,,,,,41837.0,,OH,3829216.0,4208443.0,,,,,,5501895.0,1222113.0,2023-12-31,,30.21,4208443.0,873.0,2023-01-01 00:00:00,,36.0,13140.0,,,643306.0,14265185.0,3476798.0,,4871.0,36.0,,,,2883764.0,,5857912.0,4386318.0,1.0,779.0,2023,,1649469.0,,,1222113.0,0.012033198362401267,-1318885.0,-0.3793389779906684,1.3073469214148796,1.3326617468740816,,0.29039552157413084,2.551392599679048,0.7184203176831608,0.28157968231683916,,1649469.0,0.5935217190015828,0.7926461328157238,for-profit
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1679700.0,,,,7864412.0,608218.0,,OH,34755153.0,4495857.0,1737221.0,2796447.0,,,,22112607.0,7154789.0,2023-12-31,,217.96,29459935.0,493.0,2023-01-01 00:00:00,,25.0,9125.0,359754.0,365095.0,1084639.0,118510204.0,36600457.0,,3231.0,25.0,,,,16898707.0,,48537590.0,25198026.0,2.0,1518.0,2023,,19077655.0,,,15019201.0,0.01661777064696214,-2533749.0,-0.06922725035919633,4.918440911265638,8.945397284655629,4.757214920314414,1.5914182768713507,1.5442115396258083,0.60695092195554,0.39304907804446,-0.8627195332499851,19077655.0,0.7540641593453651,1.4525128674762062,non-profit
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,,,,,,-8094543.0,,IN,72456202.0,6002649.0,6183648.0,6838638.0,,4.0,,13987617.0,-94399.0,2023-12-31,,562.41,28839922.0,931.0,2023-01-01 00:00:00,,25.0,9125.0,1087334.0,484240.0,1630154.0,133539993.0,80738416.0,,3844.0,21.0,,,,42128484.0,,60117514.0,41041746.0,1.0,1473.0,2023,,31277592.0,,,-94399.0,-0.1002564008687017,-3380508.0,-0.041869882609537445,2.33024069873151,6.821546120721035,2.0684272893517512,-0.01572622353897421,0.9220633736765925,0.47972579172186,0.5202742082781401,,31277592.0,1.3430098922586853,1.9672266379700318,govt
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,14615428.0,,2619318.0,,MA,33642350.0,11774966.0,797627.0,781673.0,,,,18212823.0,461168.0,2023-09-30,,344.6,11974587.0,4472.0,2022-10-01 00:00:00,,114.0,41610.0,56130.0,176044.0,2044171.0,62426882.0,32198050.0,13544902.0,29935.0,114.0,17335930.0,,,17507841.0,,19440157.0,5865829.0,1.0,11077.0,2023,,7465570.0,,,461168.0,0.08135020599073546,1766794.0,0.05487270191828387,1.5467410266832193,0.5373261375022229,1.5270234325942003,0.039165123703966534,1.603974914172662,0.6159717228621148,0.38402827713788523,,7465570.0,1.6562649159674996,5.489087731674415,for-profit
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,38267141.0,,83169657.0,,OH,413026497.0,79822549.0,29214192.0,29152679.0,-31172.0,12.0,,112029260.0,3852708.0,2023-12-31,35.45,1682.97,406961877.0,9884.0,2023-01-01 00:00:00,,223.0,81395.0,8046860.0,11738440.0,25582815.0,2002958590.0,490109441.0,35140481.0,43843.0,211.0,113418324.0,,,121068638.0,,788677858.0,239646025.0,2.0,11103.0,2023,,381715981.0,,,3852708.0,0.1696960924284664,29314176.0,0.05981149014430024,1.4034788590877998,3.0505005922574586,1.1556128081051382,0.0482659104258873,1.0661379068643186,0.5160052014545082,0.4839947985454918,,381715981.0,0.6214317240284436,2.0451390378788883,non-profit
ADHC (670321),General Short Term,Proprietary-Corporation,,280594.0,,,40016.0,,-20179647.0,,TX,20690394.0,49072068.0,,,,,,266666.0,-197675.0,2023-12-31,,47.87,50268396.0,772.0,2023-07-18 00:00:00,,28.0,4648.0,701795.0,,3459385.0,165947788.0,166089130.0,34839.0,3176.0,28.0,7101258.0,,,7153948.0,,3919236.0,,1.0,11.0,2023,,-46349160.0,,,-197675.0,-0.12149890242666693,144416914.0,0.8695145431853367,0.005434170819945881,,,-0.004028259008770529,-1.0845589434630531,12.82607018306629,-11.82607018306629,527.0116217738084,-46349160.0,42.37793539353078,,for-profit
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,9076207.0,5103609.0,-1733721.0,,NY,112744403.0,23460214.0,10303001.0,10243233.0,,8.0,,35067147.0,5381993.0,2023-12-31,,656.7,49417977.0,1811.0,2023-01-01 00:00:00,,83.0,30295.0,3596489.0,2943988.0,4239751.0,316047028.0,127682051.0,9422421.0,8031.0,75.0,46057469.0,,31708.0,61799550.0,,122096217.0,15927957.0,2.0,2685.0,2023,,72678240.0,,,10485602.0,-0.013578423798972339,-9423661.0,-0.07380568314962296,1.4947496642613747,1.1258873853409863,1.2159594963626503,0.22940937367408498,0.6799556098221421,0.40474617653387246,0.5952538234661275,,72678240.0,1.045749443653934,8.016222733398891,non-profit
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,,,,,,-211107.0,,NM,10432416.0,223561822.0,5350.0,5243.0,,,,-10214952.0,89499.0,2024-02-29,,42.92,233112888.0,267.0,2023-03-01 00:00:00,,20.0,7320.0,-102600.0,85888.0,269978.0,19573294.0,8938522.0,,4905.0,20.0,,,,3958255.0,,245282565.0,2355964.0,1.0,1357.0,2023,,12169677.0,,,89499.0,-0.02361766296486153,-351866.0,-0.039365120989801224,-0.04569184446886464,0.010938643182108259,-0.04561709109706576,0.0004003322177254397,19.155223922541246,0.9503850711932991,0.04961492880670096,,12169677.0,0.03644173404660865,3.7939977011533284,for-profit
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,,,,,,-1441675.0,,AR,6716527.0,4499227.0,262.0,257.0,,,,3104535.0,1105276.0,2023-09-30,,48.27,4499227.0,182.0,2022-10-01 00:00:00,,20.0,7300.0,49707.0,242927.0,141012.0,17469693.0,5637818.0,,4106.0,20.0,,,,3737045.0,,3866189.0,7376126.0,2.0,2361.0,2023,,-633038.0,,,1105276.0,-0.25571506565128566,-1453974.0,-0.25789658339449767,0.6900151959436588,1.8850798148215238,0.6249742455759623,0.24565908766105823,-7.107356904324859,1.163736951297518,-0.16373695129751806,,-633038.0,1.4582365218048057,0.7643332014664609,for-profit
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,,,,,,-324645.0,,OH,13142640.0,1472616.0,,,,,,12726448.0,-22912.0,2024-02-29,0.67,64.51,1690709.0,217.0,2023-03-01 00:00:00,,35.0,12810.0,409479.0,,63437.0,34436912.0,12710965.0,,7260.0,35.0,,,,5213804.0,,13087780.0,12841960.0,1.0,1254.0,2023,,11397071.0,,,-22912.0,-0.025540547078840986,-325515.0,-0.025608991921541757,8.642068264910879,8.704949559151876,,-0.015558706410904132,0.1483459215091316,0.1291822600930028,0.8708177399069972,,11397071.0,0.97120863889827,0.9897994542889091,for-profit
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,,-25201.0,,,2964151.0,,3157553.0,,PA,21311434.0,3809496.0,871980.0,854361.0,,,,4395985.0,2267032.0,2023-12-31,,81.83,6865514.0,455.0,2023-01-01 00:00:00,,14.0,5110.0,84844.0,986.0,512091.0,87353966.0,24249970.0,2541093.0,816.0,14.0,6067554.0,,,5713867.0,,36160407.0,7835804.0,1.0,415.0,2023,,29294893.0,,,2267032.0,0.1302085322167409,3083161.0,0.1271408170814232,1.1539544863677504,2.652013809700811,1.1314239468948124,0.5951002442317829,0.23435873276615143,0.18986274131261852,0.8101372586873815,-142.66306892583628,29294893.0,0.6706221531190177,3.094764749092754,for-profit
ADVENT HEALTH CASTLE ROCK HOSP (060125),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,218391.0,,,11169964.0,,8415133.0,,CO,132671435.0,269752249.0,6696488.0,6558424.0,22285.0,12.0,,293063196.0,259832787.0,2023-12-31,,545.76,282306806.0,4518.0,2023-01-01 00:00:00,,89.0,32485.0,415205.0,4116582.0,10607477.0,817019576.0,176618419.0,9984024.0,15478.0,77.0,47705001.0,,,66643656.0,,446559077.0,82632301.0,1.0,3424.0,2023,,164252271.0,,,259832787.0,0.04764584038089482,6041920.0,0.03420888961756588,1.0864161358669524,1.2695541530035586,1.0696163241256238,0.96322750955081,1.7187391339021425,0.6321824379800929,0.3678175620199072,76.23664436721293,164252271.0,0.39550963824658747,2.137401680246082,non-profit
ADVENTHEALTH - NORTH PINELLAS (100055),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,2964728.0,,,16491048.0,,-7863290.0,,FL,153442758.0,24251049.0,4203926.0,4124093.0,896.0,13.0,,-19639557.0,-49618489.0,2023-12-31,,740.22,69992445.0,6783.0,2023-01-01 00:00:00,,136.0,49640.0,2873069.0,4274580.0,7004063.0,909914758.0,163561761.0,14610473.0,27660.0,123.0,56772923.0,,,61915424.0,,75326494.0,29863364.0,1.0,6557.0,2023,,5334049.0,,,-49618489.0,-0.04807535668437808,-9760354.0,-0.059673813367661165,-0.80984360717757,-0.8146090917551649,-1.1045792699524049,-2.0460347509091257,13.121822652922761,0.9291876109354035,0.07081238906459658,-0.9296943935497624,5334049.0,2.1713709521645863,5.47700389681484,non-profit
ADVENTHEALTH CARROLLWOOD (100069),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,,1544710.0,,,19016409.0,5095000.0,30294487.0,,FL,213459573.0,31401955.0,7412025.0,7241914.0,10143.0,8.0,,136737167.0,82925891.0,2023-12-31,2.09,784.69,78878719.0,7315.0,2023-01-01 00:00:00,,119.0,43435.0,3005652.0,5028287.0,15673136.0,1619534779.0,257371915.0,17521907.0,28789.0,111.0,71151383.0,,,73824139.0,,326152121.0,25450381.0,1.0,4923.0,2023,,247273402.0,,,88020891.0,0.11770704274396063,24942229.0,0.09691123058240446,4.354415736217697,3.6135097958072993,4.098573735297691,2.640787524216247,0.3189939490540111,0.24184640822863146,0.7581535917713685,26.293197428643563,247273402.0,0.7891161774784227,10.112693990710788,non-profit
ADVENTHEALTH CENTRAL TEXAS (450152),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,,10256.0,,,17515935.0,,2447895.0,,TX,129679048.0,18469217.0,7043441.0,6904440.0,,10.0,,40879202.0,21648656.0,2023-09-30,,767.05,22338369.0,7108.0,2022-10-01 00:00:00,,208.0,75920.0,576370.0,3300063.0,5425191.0,755702070.0,148550703.0,15466759.0,29324.0,194.0,64891085.0,,,79435681.0,,89293935.0,22344372.0,1.0,5383.0,2023,,66955566.0,,,21648656.0,0.016478515083163222,-1486211.0,-0.010004738920690264,2.213369521837336,2.3819649744761784,2.0034833636964686,1.1721480125551613,0.33362975379821297,0.2501666994516481,0.749833300548352,384.06591263650546,66955566.0,1.6636147012672249,6.648237999259948,non-profit
ADVENTHEALTH CONNERTON (102026),General Long Term,Proprietary-Corporation,,566913.0,,,,,66257.0,,FL,47619907.0,7685351.0,248.0,506.0,,10.0,,9004913.0,-6228147.0,2023-12-31,,298.0,24336746.0,739.0,2023-01-01 00:00:00,,77.0,28105.0,474812.0,230158.0,2260194.0,271595361.0,49585385.0,,25328.0,67.0,24256814.0,,,25336189.0,,46814818.0,16090716.0,1.0,8444.0,2023,,22478072.0,,,-6228147.0,0.001336220339924758,-236261.0,-0.004764730575349974,1.1716983388266846,1.2832945430859306,1.079969281819399,-0.8103920042168536,1.082688319532031,0.5198513427949245,0.48014865720507555,3.5700945294957074,22478072.0,1.0591814113215179,3.0816145782449955,for-profit
ADVENTHEALTH DADE CITY (100211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,278802.0,,,9356116.0,,5881446.0,,FL,81126780.0,15152641.0,1265907.0,1241216.0,,12.0,,27063862.0,10914433.0,2023-09-30,,475.7,27016392.0,5142.0,2022-10-01 00:00:00,,75.0,27375.0,782685.0,2511837.0,4011489.0,763337079.0,91671530.0,8633128.0,17503.0,63.0,33032264.0,,,36632496.0,,54632333.0,18648298.0,1.0,3641.0,2023,,27615941.0,,,10914433.0,0.06415782522665434,5386106.0,0.058754402811865364,1.7860821753778764,1.9509952753450701,1.5686598791590192,0.7202990554583851,0.9782897493878626,0.4945128739056412,0.5054871260943589,33.70705733818265,27615941.0,1.677972090263837,4.9158121561549475,non-profit
