Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,653004.0,0.819969,2.0,6936822.0,,,670474.0,,8459859.0,25.0,824.0,732171.0,2752379.0,6075.0,185.0,803918.0,2015-05-31,LA,594.0,797028.0,,,,2014-10-01 00:00:00,,,,363763.0,969340.0,77.84,25.0,2015
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,137538.0,0.695357,2.0,3827872.0,,,963366.0,,5504900.0,25.0,485.0,392629.0,1517832.0,3050.0,83.0,202054.0,2015-09-30,LA,348.0,390166.0,,,,2015-06-01 00:00:00,,,,1488780.0,1432299.0,71.42,25.0,2015
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,,,,1.0,8959095.0,,,,,21675590.0,88.0,14084.0,231936.0,5234746.0,32120.0,1612.0,,2015-12-31,TX,2417.0,236666.0,,,,2015-01-01 00:00:00,,,,37708.0,,122.4,88.0,2015
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,7623187.0,2504222.0,0.378983,1.0,35757770.0,,8135020.0,2846697.0,,94351794.0,140.0,12053.0,4102663.0,14383134.0,51100.0,2487.0,6287395.0,2015-09-30,LA,5667.0,4186735.0,4.0,132835.0,-57563.0,2014-10-01 00:00:00,,,15097743.0,6725173.0,10731317.0,354.9,136.0,2015
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,,,1.0,9562367.0,,,,,28741933.0,73.0,20728.0,212811.0,5784288.0,26645.0,2483.0,,2015-12-31,GA,9018.0,217162.0,,,,2015-01-01 00:00:00,,,,1929108.0,,113.49,73.0,2015
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,,,1.0,42049500.0,,,,,84750365.0,68.0,20654.0,1695173.0,28386352.0,24752.0,1391.0,,2016-09-24,ME,4565.0,1659991.0,,,,2015-09-27 00:00:00,,,,30976563.0,,472.59,68.0,2015
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,,,1.0,13264733.0,,,,,32209458.0,72.0,22500.0,62602.0,8566907.0,26280.0,2974.0,,2015-12-31,AZ,1681.0,63881.0,,,,2015-01-01 00:00:00,,,,-5486477.0,,139.14,72.0,2015
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,223077.0,1.032411,2.0,12914608.0,,,712400.0,,12509179.0,25.0,3590.0,1772142.0,4562871.0,9150.0,50.0,600000.0,2016-06-30,LA,3538.0,2211911.0,,,,2015-07-01 00:00:00,,,4768739.0,1666387.0,786433.0,102.98,25.0,2015
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,,1.0,9502421.0,,,,,21605200.0,54.0,18002.0,,5910265.0,19710.0,2004.0,,2015-11-30,LA,2919.0,,,,,2014-12-01 00:00:00,,,,9763568.0,,114.28,54.0,2015
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,,,1.0,9145897.0,,,,,18878386.0,149.0,7536.0,109288.0,3317697.0,54385.0,573.0,,2015-12-31,TX,5950.0,111519.0,,,,2015-01-01 00:00:00,,,2872571.0,5376649.0,,62.01,149.0,2015
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,,,1.0,6004076.0,,,,,20592000.0,52.0,10560.0,,2820390.0,18980.0,889.0,,2015-12-31,OH,5922.0,,,,,2015-01-01 00:00:00,,,,3874079.0,,87.93,52.0,2015
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,,,1.0,21032626.0,,,,,129409492.0,50.0,11365.0,286.0,12442267.0,18300.0,356.0,,2016-08-31,NJ,9314.0,292.0,,,,2015-09-01 00:00:00,,,,9873308.0,,137.62,50.0,2015
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,625067.0,,,2.0,11772124.0,,575970.0,,,154794.0,6.0,561.0,1479469.0,9610211.0,2190.0,171.0,,2015-09-30,NM,279.0,1325696.0,,,,2014-10-01 00:00:00,,,5910441.0,,,189.0,6.0,2015
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,,,1.0,16153300.0,,,,,54657264.0,30.0,9287.0,2714.0,7050670.0,10980.0,352.0,,2016-08-31,TX,5754.0,2769.0,,,,2015-09-01 00:00:00,,,,9143843.0,,113.27,30.0,2015
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,,,1.0,19804923.0,,,,,146919302.0,30.0,10340.0,9355.0,8927281.0,10980.0,350.0,,2016-08-31,NJ,7995.0,9547.0,,,,2015-09-01 00:00:00,,,,3982935.0,,110.17,30.0,2015
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,,,1.0,29219629.0,,,,,130081759.0,72.0,19316.0,4305.0,11758569.0,26352.0,763.0,,2016-08-31,OH,13905.0,4393.0,,,,2015-09-01 00:00:00,,,,9096883.0,,203.87,72.0,2015
ACUITY SPECIALTY HOSPITAL - MESA (032007),General Long Term,Proprietary-Corporation,,,,1.0,5974755.0,,,,,11851424.0,69.0,1988.0,,2112079.0,8418.0,116.0,,2015-09-30,AZ,1323.0,,,,,2015-06-01 00:00:00,,,,6308211.0,,27.47,69.0,2015
ACUITY SPECIALTY HOSPITAL - SUN CITY (032008),General Long Term,Proprietary-Corporation,,,,1.0,4744817.0,,,,,9255080.0,49.0,1036.0,,2041919.0,5978.0,44.0,,2015-09-30,AZ,887.0,,,,,2015-06-01 00:00:00,,,,7119226.0,,26.28,49.0,2015
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,,,1.0,6581546.0,,,,,13972147.0,30.0,4732.0,42.0,3059541.0,10950.0,188.0,,2015-09-30,OH,2271.0,43.0,,,,2014-10-01 00:00:00,,,3429326.0,-388605.0,,50.75,30.0,2015
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4200509.0,435242.0,0.448726,2.0,12294770.0,,4402627.0,,,27399269.0,30.0,5880.0,596357.0,13072173.0,10980.0,1534.0,741094.0,2016-06-30,OK,3641.0,596628.0,,128376.0,7948.0,2015-07-01 00:00:00,,,5440045.0,1042000.0,8322331.0,181.03,30.0,2015
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,205545.0,0.857908,2.0,11784005.0,,,1484773.0,,13735751.0,25.0,545.0,2021107.0,4527364.0,9150.0,67.0,218693.0,2016-06-30,IA,420.0,2269196.0,,17927.0,,2015-07-01 00:00:00,,,,14493605.0,2034123.0,64.45,25.0,2015
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,1061554.0,0.390177,2.0,20787536.0,,,3884300.0,,53277150.0,25.0,4201.0,2486730.0,7785076.0,9125.0,818.0,2529808.0,2015-12-31,OH,2601.0,2170679.0,,414572.0,,2015-01-01 00:00:00,,,,39293483.0,15048434.0,165.66,25.0,2015
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,2524996.0,0.420841,1.0,39395662.0,,,1402591.0,,93611745.0,25.0,5664.0,2215280.0,23293469.0,9125.0,1590.0,4133501.0,2015-12-31,IN,2400.0,2245184.0,4.0,866224.0,,2015-01-01 00:00:00,,,,41363834.0,8616771.0,350.04,21.0,2015
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,19865311.0,825773.0,0.459213,1.0,30312049.0,,20787663.0,8005901.0,,66008747.0,114.0,37942.0,1552631.0,16454831.0,41610.0,6090.0,2359020.0,2015-09-30,MA,17941.0,1480800.0,,,,2014-10-01 00:00:00,,,16810853.0,8500116.0,21042293.0,337.86,114.0,2015
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,31963419.0,12959574.0,0.246122,2.0,223599444.0,,39134994.0,40387853.0,,908488597.0,189.0,38206.0,27331817.0,160998610.0,68985.0,9360.0,38765932.0,2015-12-31,OH,14183.0,27852201.0,12.0,3108208.0,-23661.0,2015-01-01 00:00:00,28.38,381877.0,82282635.0,45437221.0,204804877.0,2465.51,177.0,2015
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9079646.0,1478680.0,0.441082,2.0,79114118.0,,8945288.0,7660448.0,,179363687.0,83.0,8558.0,7853547.0,42070803.0,30295.0,2024.0,3311865.0,2015-12-31,NY,3644.0,7961062.0,8.0,76438.0,7234.0,2015-01-01 00:00:00,,,33598179.0,25520087.0,27518592.0,540.5,75.0,2015
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1786665.0,,0.832287,1.0,159427814.0,,1711121.0,,,191553786.0,85.0,23855.0,145696.0,79727070.0,31110.0,1773.0,,2016-06-30,PR,808.0,148656.0,85.0,,,2015-07-01 00:00:00,,,50658628.0,521895416.0,,1372.66,,2015
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,,,1.0,8547839.0,,,,,19626851.0,20.0,6024.0,138.0,3805249.0,7320.0,239.0,,2016-02-29,NM,3142.0,141.0,,,,2015-03-01 00:00:00,,,,83528271.0,,50.44,20.0,2015
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,-27249.0,0.424445,1.0,6323882.0,,,,,14899194.0,26.0,4159.0,,2154827.0,9516.0,132.0,,2016-08-31,AR,2714.0,,,,,2015-09-01 00:00:00,,,2154827.0,-23938.0,,31.37,26.0,2015
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,-19084.0,0.369689,1.0,7780120.0,,,,,21045063.0,25.0,5960.0,,2716104.0,9150.0,217.0,,2016-08-31,AR,3541.0,,,,,2015-09-01 00:00:00,,,2716104.0,613844.0,,41.96,25.0,2015
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,,,1.0,16148512.0,,,,,33670420.0,40.0,10897.0,,8209465.0,14640.0,393.0,,2016-08-31,MT,6030.0,,,,,2015-09-01 00:00:00,,,,182821958.0,,127.75,40.0,2015
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,,,2.0,6395915.0,,,,,22955760.0,27.0,5283.0,,2855111.0,9855.0,190.0,,2015-09-30,AR,4360.0,,,,,2014-10-01 00:00:00,,,,933797.0,,51.27,27.0,2015
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,,,1.0,11809094.0,,,,,32763188.0,40.0,7976.0,933.0,4255906.0,14640.0,315.0,,2016-02-29,OH,2943.0,991.0,,,,2015-03-01 00:00:00,1.92,,,1833853.0,,71.09,40.0,2015
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,1215852.0,,0.218877,1.0,13955483.0,,1417831.0,1078.0,,63759520.0,14.0,1483.0,594153.0,4389219.0,5110.0,532.0,,2015-12-31,PA,328.0,606606.0,,,15973.0,2015-01-01 00:00:00,,,4663855.0,618984.0,37386.0,77.43,14.0,2015
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,,,,1.0,21225666.0,,,,,33784071.0,107.0,26090.0,21805.0,23066616.0,39055.0,2650.0,,2015-12-31,MD,4719.0,22250.0,,,,2015-01-01 00:00:00,1.07,,13190079.0,9976479.0,,288.86,107.0,2015
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,15475237.0,2985502.0,0.20582,1.0,99040627.0,,16939765.0,12582110.0,,481200411.0,134.0,22101.0,6772900.0,35071621.0,48910.0,6665.0,6359508.0,2015-12-31,IL,7223.0,6665768.0,12.0,1570978.0,31702.0,2015-01-01 00:00:00,,,40285747.0,103682855.0,103252263.0,514.83,122.0,2015
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,12985780.0,2550869.0,0.265003,1.0,66167417.0,,14458481.0,33241742.0,,249685843.0,127.0,24886.0,3140932.0,35538294.0,46355.0,4827.0,2850976.0,2015-12-31,IL,7551.0,3041760.0,10.0,1725638.0,-3961.0,2015-01-01 00:00:00,,,31635303.0,22868808.0,78359970.0,523.81,117.0,2015
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,88207367.0,10806079.0,0.153901,1.0,333444609.0,,94866113.0,71391618.0,,2166623140.0,332.0,77480.0,15751076.0,155826990.0,121180.0,17558.0,28594560.0,2015-12-31,CA,31834.0,15112940.0,,6195769.0,206908.0,2015-01-01 00:00:00,21.21,,147548645.0,243812851.0,560624011.0,1837.91,283.0,2015
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,2290791.0,3617520.0,0.351627,2.0,71399961.0,,2616206.0,33209490.0,,203056204.0,49.0,6878.0,1334850.0,29816510.0,17885.0,2028.0,4485055.0,2015-12-31,CA,977.0,1325983.0,,2040526.0,4165.0,2015-01-01 00:00:00,4.07,26168.0,21098292.0,76053755.0,132240392.0,256.13,49.0,2015
ADVENTIST HINSDALE HOSPITAL (140122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,31986177.0,3753937.0,0.230041,1.0,219881484.0,,37423534.0,10543669.0,,955834117.0,244.0,50001.0,17382854.0,92240120.0,89060.0,11162.0,7186882.0,2015-12-31,IL,15277.0,17599440.0,58.0,2035229.0,115441.0,2015-01-01 00:00:00,26.73,,84388537.0,229253099.0,80163923.0,1655.48,186.0,2015
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,3031511.0,291963.0,0.223677,1.0,11093469.0,,3419062.0,589907.0,,49595965.0,159.0,2994.0,1019074.0,5171011.0,4929.0,670.0,271409.0,2015-01-31,IL,1745.0,1027412.0,27.0,227286.0,19031.0,2015-01-01 00:00:00,19.3,,4792230.0,170959430.0,4331710.0,736.59,132.0,2015
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,30844540.0,3069849.0,0.236197,1.0,128713776.0,,34717576.0,8735289.0,,544941906.0,160.0,28821.0,11155172.0,50476305.0,53440.0,6946.0,3783813.0,2015-12-31,IL,15402.0,11133462.0,27.0,2116490.0,176439.0,2015-02-01 00:00:00,19.46,,50970066.0,162668255.0,51094815.0,781.36,133.0,2015
ADVENTIST MEDICAL CENTER (050121),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,41259278.0,4360094.0,0.215751,1.0,209315220.0,,46043591.0,52029775.0,,970168145.0,248.0,41909.0,12344339.0,88252243.0,90520.0,9623.0,15621440.0,2015-12-31,CA,18515.0,12368520.0,22.0,782162.0,-218048.0,2015-01-01 00:00:00,1.78,108599.0,87964636.0,237179362.0,378765311.0,1243.23,226.0,2015
ADVENTIST MEDICAL CENTER-PORTLAND (380060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,24268204.0,4896722.0,0.250455,1.0,193987850.0,,26719086.0,117862504.0,,774542402.0,168.0,29189.0,9003799.0,129931018.0,61506.0,9420.0,10257261.0,2015-12-31,OR,6793.0,9021439.0,12.0,2265604.0,146212.0,2015-01-01 00:00:00,,,86020856.0,92002553.0,244767346.0,1596.65,156.0,2015
ADVENTIST REHAB. HOSPT. OF MD (213029),Rehabilitation,Voluntary Nonprofit-Church,,-1116.0,0.550481,1.0,37992669.0,,,,,69017203.0,87.0,26483.0,2112.0,23230767.0,31755.0,1946.0,,2015-12-31,MD,15082.0,2155.0,,,,2015-01-01 00:00:00,,,20754872.0,7519794.0,,305.3,87.0,2015
ADVOCATE BROMENN MEDICAL CENTER (140127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,21923752.0,4405502.0,0.286714,1.0,129354634.0,,24792634.0,17978354.0,,451162493.0,206.0,33375.0,7713247.0,55195575.0,75190.0,8222.0,7025575.0,2015-12-31,IL,10023.0,7703224.0,30.0,2345072.0,34822.0,2015-01-01 00:00:00,12.57,,53633737.0,3629394000.0,72230136.0,912.07,176.0,2015
ADVOCATE CHRIST HOSPITAL (140208),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,176374638.0,22963535.0,0.258698,1.0,804927531.0,,200307191.0,168709717.0,,3111462168.0,580.0,198651.0,34862196.0,325950120.0,211700.0,37937.0,32198230.0,2015-12-31,IL,57459.0,35604083.0,147.0,14197737.0,418680.0,2015-01-01 00:00:00,239.74,,297114954.0,3629394000.0,757004826.0,4464.0,433.0,2015
ADVOCATE EUREKA HOSPITAL (141309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,943670.0,0.470055,2.0,11762000.0,,,408226.0,,25022614.0,23.0,1168.0,1982884.0,5494815.0,8395.0,173.0,1170000.0,2015-12-31,IL,831.0,1904884.0,,411104.0,,2015-01-01 00:00:00,,,,3629394000.0,3079823.0,85.99,23.0,2015
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,53854249.0,9612997.0,0.234374,1.0,295648568.0,,61095789.0,17361830.0,,1261438221.0,288.0,60708.0,19989411.0,114815646.0,105120.0,14159.0,15257424.0,2015-12-31,IL,23956.0,20080146.0,61.0,5915316.0,95590.0,2015-01-01 00:00:00,,,108167169.0,3629394000.0,147363835.0,1572.0,227.0,2015
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,116070430.0,17139384.0,0.252967,1.0,546024838.0,,128765034.0,56986800.0,,2158479442.0,530.0,135450.0,31764000.0,238462162.0,193450.0,26916.0,22310860.0,2015-12-31,IL,41911.0,32398470.0,29.0,11265621.0,278252.0,2015-01-01 00:00:00,213.32,,210213905.0,3629394000.0,375536343.0,3226.3,415.0,2015
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,41201691.0,13412834.0,0.216241,1.0,298805603.0,,44524996.0,91896143.0,,1381818601.0,249.0,56191.0,16011953.0,135770191.0,90754.0,12827.0,19781138.0,2015-12-31,IL,10058.0,15460947.0,74.0,8795137.0,-79563.0,2015-01-01 00:00:00,178.45,295497.0,109772143.0,95727000.0,320548114.0,1987.0,132.0,2015
ADVOCATE SHERMAN HOSPITAL (140030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,49209504.0,9461087.0,0.201831,1.0,260062755.0,,55257085.0,32768266.0,,1288515661.0,255.0,61462.0,21225327.0,94116890.0,93075.0,14685.0,15621752.0,2015-12-31,IL,24932.0,21673807.0,30.0,6126734.0,183282.0,2015-01-01 00:00:00,,,93728803.0,339180000.0,181043253.0,1332.08,225.0,2015
ADVOCATE TRINITY HOSPITAL (140048),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,23740479.0,6000404.0,0.254735,1.0,138190945.0,,27165194.0,36204561.0,,542489472.0,191.0,39788.0,4855383.0,53595138.0,69715.0,9282.0,11973629.0,2015-12-31,IL,12236.0,4602546.0,27.0,2757822.0,-60431.0,2015-01-01 00:00:00,,,54610765.0,3629394000.0,178880019.0,808.0,164.0,2015
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,14932432.0,2628493.0,0.177939,1.0,85915332.0,,16788666.0,10077828.0,,482836889.0,107.0,20206.0,4718517.0,32848325.0,39162.0,4319.0,6321709.0,2016-06-30,OH,6831.0,4681853.0,21.0,1424826.0,-41790.0,2015-07-01 00:00:00,18.36,,30758965.0,4927138.0,88671879.0,550.82,86.0,2015
AIKEN REGIONAL MEDICAL CENTER (420082),General Short Term (Acute Care Hospitals),Proprietary-Corporation,29848505.0,10322100.0,0.173805,1.0,135116592.0,,33879732.0,24882087.0,,777404401.0,197.0,45648.0,10675961.0,50806152.0,56940.0,10045.0,7151499.0,2015-12-31,SC,17942.0,10641515.0,22.0,8819211.0,-197386.0,2015-01-01 00:00:00,4.84,334675.0,48915362.0,-64244123.0,138071350.0,900.97,175.0,2015
AKRON GENERAL MEDICAL CENTER (360027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,66262744.0,6474974.0,0.190399,1.0,392096055.0,,75837801.0,59920821.0,,2059342445.0,326.0,93615.0,26532099.0,192539547.0,118990.0,20907.0,16412935.0,2015-12-31,OH,27308.0,26839579.0,35.0,3033809.0,107595.0,2015-01-01 00:00:00,132.92,693272.0,153524896.0,331933366.0,385509463.0,3128.49,258.0,2015
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,26689278.0,14272725.0,0.386151,1.0,196175015.0,,30358540.0,15657813.0,,508026526.0,182.0,41750.0,14852498.0,80694187.0,66430.0,10588.0,16023844.0,2015-09-30,NC,13048.0,14875981.0,32.0,8127370.0,-84425.0,2014-10-01 00:00:00,,298927.0,69116433.0,32528300.0,59285831.0,1383.0,150.0,2015
