Hospital,Hospital type,Control type,IPPS Payment amount (unadjusted),Total Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C8_14),S10 DATA: Cost of Uncompensated Care (S10_C1_30),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,HVBP payment adjustment amount,Total Salaries,State,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Interim payment,S10 DATA: Net Revenue from Medicaid (S10_C1_2),S10 DATA: Cost of charity care (S10_C3_23),NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Total Charges,Total Costs,S10 DATA: Total Bad Debt expense (S10_C1_26),REIMBURSEMENT SETTLEMENT: Interim payments,Total Inpatient DaysOutpatient Visits: Total Facility FTEs (S3_1_C9_27),Total Inpatient DaysOutpatient Visits: Total discharges (S3_1_C15_14),Medicare Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C6_14),S10 DATA: Medicaid charges (S10_C1_6),S10 DATA: Cost To Charge Ratio (S10_C1_1),Total Liabilities,Fiscal Year Begin Date,Fiscal Year End Date,Beginning FFY
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,2971.0,475138.0,,,,,5320933.0,LA,1494311.0,25.0,,,5166653.0,12304.0,,9125.0,27891497.0,15489537.0,850774.0,1526454.0,,250.0,2557.0,5629466.0,0.55535,2373526.0,2017-10-01 00:00:00,2018-09-30,2018
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9056887.0,9374.0,1068355.0,,,26481.0,14970.0,14057868.0,LA,6878089.0,140.0,14200841.0,8623459.0,7734042.0,98665.0,4.0,51100.0,182172961.0,39491377.0,4100499.0,6736746.0,,1971.0,5377.0,42669636.0,0.21678,6820321.0,2017-10-01 00:00:00,2018-09-30,2018
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,33067.0,,,,,,8350415.0,GA,336163.0,103.0,,,,,,37595.0,62893630.0,14979797.0,,329443.0,,3578.0,12321.0,,,-4267959.0,2018-01-01 00:00:00,2018-12-31,2018
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,24152.0,,,,,,30581468.0,ME,1550125.0,68.0,,,,,,24820.0,94233748.0,45418470.0,,1629278.0,,1676.0,4387.0,,,22351039.0,2017-10-01 00:00:00,2018-09-30,2018
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,32228.0,,,,,,13966854.0,AZ,325352.0,140.0,,,,,,51100.0,55289581.0,21090574.0,,318845.0,,4212.0,1939.0,,,2153919.0,2018-01-01 00:00:00,2018-12-31,2018
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,3693.0,346902.0,,,,,4440286.0,LA,3160225.0,15.0,4440286.0,,1329497.0,,,5475.0,15231360.0,14655690.0,629119.0,3236641.0,,33.0,3649.0,1437509.0,0.962205,2045520.0,2018-07-01 00:00:00,2019-06-30,2018
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,25127.0,,,,,,7743669.0,LA,64186.0,78.0,,,,,,30888.0,57537833.0,14160735.0,,62903.0,,3082.0,1811.0,,,16409010.0,2017-12-01 00:00:00,2018-12-31,2018
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,5992.0,,,,,,2813377.0,TX,157577.0,149.0,2555272.0,,,,,54385.0,14772416.0,8072508.0,,154425.0,,471.0,4887.0,,,5065460.0,2018-01-01 00:00:00,2018-12-31,2018
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,11163.0,,,,,,4304102.0,OH,,52.0,,,,,,26884.0,7337214.0,6920053.0,,,,1079.0,3630.0,,,7866433.0,2018-01-01 00:00:00,2018-12-31,2018
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,10248.0,,,,,,12536552.0,NJ,2947.0,50.0,,,,,,18250.0,135721654.0,20410072.0,,2888.0,,306.0,8885.0,,,18687997.0,2018-09-01 00:00:00,2019-08-31,2018
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,135572.0,122.0,,,,,,8885730.0,NM,2396455.0,6.0,5837047.0,125613.0,,,,2190.0,161063.0,13728249.0,,1774668.0,,38.0,41.0,,,,2017-10-01 00:00:00,2018-09-30,2018
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,10036.0,,,,,,9179271.0,NJ,267.0,30.0,,,,,,10950.0,154430328.0,19810876.0,,262.0,,312.0,7386.0,,,4645642.0,2018-09-01 00:00:00,2019-08-31,2018
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,14794.0,,,,,,10604336.0,OH,588.0,72.0,,,,,,26280.0,98922950.0,24353628.0,,576.0,,544.0,9526.0,,,14918849.0,2018-09-01 00:00:00,2019-08-31,2018
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3485923.0,5441.0,504450.0,,,,66175.0,11488243.0,OK,706854.0,30.0,6171902.0,3546644.0,,169126.0,,10950.0,29042316.0,14913109.0,744102.0,693365.0,,1047.0,3907.0,7553601.0,0.513496,2236750.0,2018-07-01 00:00:00,2019-06-30,2018
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,404.0,354002.0,,,,,4734705.0,IA,2616211.0,25.0,,,1541729.0,20043.0,,9125.0,15212050.0,13012744.0,390402.0,2532336.0,,50.0,325.0,2111067.0,0.855423,14324467.0,2018-07-01 00:00:00,2019-06-30,2018
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,4955.0,1731505.0,,,,,10068952.0,OH,2593738.0,25.0,,,3630588.0,312012.0,,9125.0,81472949.0,24929651.0,4409373.0,3632857.0,,863.0,3246.0,18666247.0,0.305987,50512867.0,2018-01-01 00:00:00,2018-12-31,2018
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,5942.0,2431347.0,,,,,27440993.0,IN,4898405.0,25.0,,,2396472.0,193510.0,4.0,9125.0,93239744.0,49324267.0,4284710.0,4102030.0,,1305.0,2659.0,10153281.0,0.529005,60833587.0,2018-01-01 00:00:00,2018-12-31,2018
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,22263257.0,38030.0,1009056.0,,,,,18581947.0,MA,1695548.0,114.0,18932930.0,20847412.0,7301816.0,,,41610.0,74473092.0,38509661.0,2524569.0,1657039.0,,5972.0,18756.0,24758392.0,0.517095,4934469.0,2017-10-01 00:00:00,2018-09-30,2018
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,49980032.0,41191.0,7178739.0,,,,-102591.0,95609359.0,OH,37645332.0,189.0,92990088.0,44121012.0,42073167.0,3011440.0,12.0,68985.0,1284610314.0,291780125.0,16785241.0,37729197.0,49.02,10231.0,16392.0,278675302.0,0.227135,-4304134.0,2018-01-01 00:00:00,2018-12-31,2018
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9791598.0,7534.0,1033843.0,,,111779.0,70064.0,52190692.0,NY,9179728.0,83.0,40532821.0,10236677.0,8490369.0,267563.0,8.0,30295.0,241257734.0,95409174.0,1973899.0,9210710.0,,2001.0,3393.0,34702123.0,0.395466,54993425.0,2018-01-01 00:00:00,2018-12-31,2018
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,2639825.0,21407.0,,,,,,66837074.0,PR,111484.0,68.0,46038747.0,2353404.0,,,68.0,24820.0,158706621.0,132306391.0,,109253.0,,1826.0,569.0,,0.833654,1129934803.0,2018-07-01 00:00:00,2019-06-30,2018
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,5227.0,,,,,,3606544.0,NM,590.0,20.0,,,,,,7300.0,18425395.0,7824341.0,,578.0,,225.0,2548.0,,,114022936.0,2018-03-01 00:00:00,2019-02-28,2018
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,12185.0,,,,,,9320926.0,MT,607.0,40.0,,,,,,14600.0,37560403.0,18525309.0,,595.0,,463.0,6366.0,,,250245954.0,2018-09-01 00:00:00,2019-08-31,2018
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,4176.0,,,,,,2816920.0,AR,,27.0,,,,,,9855.0,16199105.0,5645163.0,,,,180.0,2616.0,,,1999488.0,2017-10-01 00:00:00,2018-09-30,2018
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,6794.0,,,,,,4175441.0,OH,5399.0,40.0,,,,,,14600.0,28088065.0,11004070.0,,5228.0,1.0,313.0,2098.0,,,796699.0,2018-03-01 00:00:00,2019-02-28,2018
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,2891774.0,1431.0,82367.0,,,,,4968877.0,PA,936671.0,14.0,5336641.0,2504963.0,48126.0,,,5110.0,74495244.0,19323854.0,317532.0,916638.0,,742.0,461.0,390753.0,0.259397,1940266.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH - NORTH PINELLAS (100055),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,17715732.0,20947.0,5192009.0,,,,113955.0,40780994.0,FL,5726549.0,136.0,37348129.0,15823579.0,4550048.0,3560071.0,13.0,49640.0,566869115.0,105776332.0,8379429.0,5716880.0,,5389.0,7374.0,64370729.0,0.186597,27343559.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH CARROLLWOOD (100069),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16267371.0,19364.0,7567051.0,,,,21719.0,37413577.0,FL,4884837.0,103.0,37334134.0,14761756.0,4452074.0,5883150.0,8.0,37595.0,786316697.0,124537411.0,10075960.0,4930965.0,,5157.0,4893.0,89414386.0,0.158381,78144855.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH CENTRAL TEXAS (450152),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,19309634.0,26068.0,13607247.0,,,,,51818081.0,TX,9632695.0,208.0,43474305.0,17419987.0,11868304.0,11828202.0,10.0,75920.0,523137233.0,94911508.0,9072075.0,9728372.0,,8012.0,7415.0,84136898.0,0.181428,8806652.0,2017-10-01 00:00:00,2018-09-30,2018
ADVENTHEALTH CONNERTON (102026),General Long Term,Proprietary-Corporation,,17796.0,17447.0,,,,,12932592.0,FL,5285.0,50.0,12778313.0,,,,4.0,18250.0,111535610.0,27283533.0,,7646.0,,692.0,7621.0,,0.244617,26026090.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH DADE CITY (100211),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2416823.0,3455.0,1617714.0,,,,-6411.0,7450439.0,FL,855994.0,120.0,7846161.0,2072687.0,1327341.0,1617714.0,12.0,21960.0,168167929.0,18936061.0,,885107.0,,935.0,958.0,27371986.0,0.112602,18973252.0,2018-04-01 00:00:00,2018-09-30,2018
ADVENTHEALTH DAYTONA BEACH (100068),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,63316276.0,80635.0,12700518.0,,,,20797.0,120497971.0,FL,20960271.0,295.0,108514440.0,56575367.0,10197557.0,9990837.0,62.0,107675.0,1570804497.0,262605058.0,14767522.0,20914943.0,,16502.0,28508.0,148352115.0,0.167179,162043409.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH DELAND (100045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,25226768.0,34262.0,10546263.0,,,,181191.0,66747617.0,FL,7272054.0,154.0,47740938.0,22435418.0,8106041.0,8696426.0,24.0,56210.0,746131865.0,128392365.0,9900725.0,7348246.0,,8436.0,11751.0,110675432.0,0.172077,43934096.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH DURAND (521307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,1304.0,234587.0,,,,,5926168.0,WI,3645057.0,25.0,,,435969.0,44356.0,,9125.0,20825724.0,13328498.0,372804.0,3583129.0,,251.0,1155.0,1051676.0,0.640002,5811479.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH FISH MEMORIAL (100072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,29734109.0,42707.0,10154921.0,,,,-57358.0,60298824.0,FL,6500814.0,179.0,49289065.0,26031022.0,5520007.0,8082110.0,21.0,65335.0,753677841.0,125751118.0,11853361.0,6613654.0,,9710.0,14929.0,82269453.0,0.16685,69349659.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH HENDERSONVILLE (340023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,12875262.0,14009.0,7799722.0,,,,99384.0,77109989.0,NC,23932309.0,73.0,43628982.0,11457616.0,6210509.0,5404892.0,14.0,26645.0,484358556.0,135669915.0,8304094.0,23721482.0,,3375.0,5139.0,36406521.0,0.280102,48879562.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH MANCHESTER (180043),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,5367757.0,5566.0,1387757.0,,,,63106.0,28557171.0,KY,3602454.0,49.0,15900614.0,5322705.0,10988607.0,879090.0,6.0,17885.0,168647166.0,43438503.0,1687422.0,3664365.0,,1642.0,2188.0,66472794.0,0.25757,18920267.0,2017-10-01 00:00:00,2018-09-30,2018
ADVENTHEALTH NEW SMYRNA BEACH (100014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16901086.0,24673.0,6204643.0,,,166630.0,-167985.0,40991252.0,FL,9161073.0,112.0,33021637.0,14250722.0,2734907.0,4793556.0,14.0,40880.0,405778352.0,106347291.0,5233073.0,9002141.0,,5605.0,8772.0,30279751.0,0.262082,10146962.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH OCALA (100062),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,67820726.0,96884.0,6842165.0,,,,-183341.0,117608925.0,FL,24775435.0,425.0,118073979.0,59145787.0,9474669.0,6819092.0,56.0,181050.0,2378706958.0,319295727.0,70953.0,24597021.0,,22541.0,29648.0,161246886.0,0.134231,243208328.0,2018-08-01 00:00:00,2019-09-30,2018
ADVENTHEALTH ORLANDO (100007),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,473590018.0,658243.0,183869436.0,,,,1863357.0,1188550442.0,FL,128668402.0,2753.0,1094052026.0,424681929.0,220032170.0,158453764.0,370.0,1004845.0,18415506792.0,2788487455.0,162139749.0,127049854.0,168.47,128501.0,180598.0,2558861296.0,0.151421,1359370112.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH PALM COAST (100118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,39557356.0,32683.0,7373067.0,,,,-133333.0,50672466.0,FL,11659775.0,99.0,40719774.0,34813855.0,7660121.0,5752480.0,18.0,36135.0,751992206.0,131791994.0,8738725.0,11611503.0,,8093.0,14469.0,59462898.0,0.175257,77857034.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH ROLLINS BROOK (451323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,2850.0,2425303.0,,,,,5032242.0,TX,1086467.0,25.0,,,752839.0,1888475.0,,9125.0,50430386.0,15569987.0,1719938.0,1146936.0,,595.0,1981.0,4745491.0,0.308742,3997595.0,2017-10-01 00:00:00,2018-09-30,2018
ADVENTHEALTH SEBRING (100109),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,43000331.0,45483.0,7541574.0,,,,-73162.0,95717696.0,FL,21155526.0,180.0,70700063.0,37184321.0,9329683.0,5426348.0,22.0,65700.0,1138391558.0,183788567.0,12089350.0,21182876.0,,10927.0,21185.0,142142683.0,0.161446,75488719.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH SHAWNEE MISSION (170104),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,56660405.0,86912.0,19751827.0,,,,222124.0,198899120.0,KS,28555427.0,323.0,130343478.0,50369912.0,19370810.0,16244749.0,64.0,117877.0,2209113219.0,348536217.0,20415957.0,28260393.0,0.96,19408.0,23408.0,158790027.0,0.157772,214690672.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH TAMPA (100173),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,64378804.0,116953.0,24981153.0,,,,-476245.0,169069774.0,FL,16338302.0,506.0,156079051.0,57706363.0,32928626.0,20277958.0,86.0,184690.0,3015775894.0,424529837.0,30583292.0,16427636.0,7.22,21845.0,31598.0,461808411.0,0.14077,250546581.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH WAUCHULA (101300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,8318.0,2204457.0,,,,,9461847.0,FL,-527405.0,25.0,,,1831289.0,1312193.0,,9125.0,112277620.0,23580900.0,3228631.0,-431083.0,,272.0,5679.0,23669752.0,0.210023,6581124.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTHEALTH ZEPHYRHILLS (100046),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,27419400.0,34001.0,7606624.0,,,,32626.0,58590208.0,FL,10119028.0,149.0,50987591.0,24152864.0,7704918.0,6435150.0,14.0,54385.0,995660892.0,136872199.0,7599108.0,10108899.0,,8942.0,10654.0,129062782.0,0.137469,70963183.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,,19416.0,,,,,,14590453.0,MD,57447.0,117.0,,,,,,24804.0,26635729.0,18783311.0,,56298.0,1.21,2211.0,3105.0,,,12317406.0,2018-01-01 00:00:00,2018-07-31,2018
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16829076.0,22747.0,4462569.0,,,,30529.0,38711060.0,IL,8664999.0,110.0,38556794.0,15064619.0,12295719.0,2904119.0,12.0,40150.0,539034898.0,116077142.0,6944049.0,8629844.0,,5834.0,7027.0,104181175.0,0.215343,104536586.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,14618356.0,23625.0,3119546.0,,,,4339.0,34381639.0,IL,2688554.0,122.0,29827219.0,13416537.0,26614407.0,2225956.0,10.0,44530.0,270757822.0,71305290.0,3262045.0,2674374.0,,5196.0,7436.0,84114565.0,0.263354,24731088.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH BAKERSFIELD (050455),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,51781815.0,67655.0,2074547.0,,,,-133919.0,124278491.0,CA,23208171.0,254.0,132654917.0,47174015.0,67325099.0,392070.0,43.0,92710.0,2009941606.0,320266876.0,7685598.0,23396058.0,,17389.0,16349.0,508143345.0,0.159341,161717883.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH CASTLE (120006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,24423102.0,32760.0,1277303.0,,,,288665.0,62559187.0,HI,6397280.0,160.0,62446693.0,22471683.0,19570878.0,278265.0,8.0,58400.0,475507989.0,139009091.0,3372187.0,6294346.0,,7708.0,6905.0,95232727.0,0.292338,96176530.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH CLEARLAKE (051317),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,5888.0,5835810.0,,,,,33642609.0,CA,5782355.0,25.0,,,23991112.0,3265575.0,4.0,9125.0,265153174.0,108351466.0,6903246.0,6403497.0,,1417.0,3302.0,111227914.0,0.408637,68883678.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH FEATHER RIVER (050225),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,25108371.0,14854.0,1445802.0,,,,225848.0,59884859.0,CA,19797547.0,100.0,58536104.0,23346646.0,38366822.0,642631.0,12.0,36500.0,1109384486.0,170322897.0,3703762.0,19816671.0,,3795.0,7806.0,308923748.0,0.153529,104540616.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,106114024.0,78905.0,2214798.0,,,,157364.0,155482967.0,CA,19179963.0,323.0,157048335.0,97300867.0,65197732.0,658566.0,,116347.0,2536688242.0,354123669.0,6514832.0,19001670.0,21.34,17633.0,34548.0,669941306.0,0.139601,239154534.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH HANFORD (050121),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,42723177.0,47221.0,4227718.0,,,424525.0,-23708.0,98866612.0,CA,13017102.0,230.0,108381902.0,37522158.0,92662521.0,1173324.0,22.0,83950.0,1143210398.0,250028552.0,13046188.0,13338166.0,1.81,9455.0,16515.0,482246135.0,0.218707,279977826.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH LODI MEMORIAL (050336),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,46071173.0,34259.0,1891703.0,,,456325.0,-18743.0,85100061.0,CA,13289451.0,182.0,88772839.0,41087895.0,34628255.0,542932.0,10.0,66430.0,1418845336.0,198999844.0,6991887.0,13346963.0,,8990.0,14802.0,460266903.0,0.140255,233168798.0,2018-01-01 00:00:00,2018-12-31,2018
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,2404888.0,6199.0,3746725.0,,,,13105.0,52462163.0,CA,1673539.0,49.0,47507493.0,2579471.0,116131168.0,1906622.0,,17885.0,301523274.0,186936897.0,3118902.0,1755776.0,10.62,1838.0,875.0,199285827.0,0.619975,27166233.0,2018-01-01 00:00:00,2018-12-31,2018
