Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,1009406.0,,0.969945,1.0,145804711.0,,2887010.0,,,150322676.0,66.0,20070.0,96462.0,63988379.0,24090.0,1331.0,,2022-06-30,PR,58.0,96693.0,66.0,,,2021-07-01 00:00:00,,,44593583.0,1065250112.0,,1062.26,,2021
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,,,1.0,10434552.0,,,,,22811496.0,20.0,5623.0,1180.0,3991218.0,7300.0,230.0,,2022-02-28,NM,1708.0,1180.0,,,,2021-03-01 00:00:00,,,,185390211.0,,46.02,20.0,2021
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,,,1.0,20798029.0,,,,,44814765.0,40.0,13042.0,690.0,10938238.0,14600.0,535.0,,2022-08-31,MT,5417.0,702.0,,,,2021-09-01 00:00:00,,,,372822720.0,,131.67,40.0,2021
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,,,2.0,8584484.0,,,,,26643320.0,27.0,4580.0,205090.0,4362834.0,9855.0,209.0,,2021-09-30,AR,2552.0,206049.0,,,,2020-10-01 00:00:00,,,,2677491.0,,65.56,27.0,2021
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,,,1.0,11987190.0,,,,,29944901.0,40.0,7266.0,188.0,4202349.0,14600.0,291.0,,2022-02-28,OH,1943.0,360.0,,,,2021-03-01 00:00:00,0.83,,,548752.0,,57.53,40.0,2021
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,1939588.0,73544.0,0.252332,1.0,19778211.0,,2221954.0,12131.0,,78381736.0,14.0,1082.0,1081633.0,5029953.0,5110.0,533.0,291458.0,2021-12-31,PA,345.0,1081813.0,,,,2021-01-01 00:00:00,,,5435250.0,9994252.0,439890.0,83.94,14.0,2021
ADVENTHEALTH - NORTH PINELLAS (100055),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,15912907.0,8019978.0,0.203022,2.0,133936852.0,,17517072.0,3348353.0,,659717536.0,136.0,26186.0,5173551.0,45412959.0,49653.0,5015.0,6047936.0,2021-12-31,FL,7609.0,5068794.0,13.0,6732760.0,66839.0,2021-01-01 00:00:00,,,43327341.0,71125521.0,71757927.0,598.87,123.0,2021
ADVENTHEALTH CARROLLWOOD (100069),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16068289.0,11714405.0,0.150864,1.0,184621743.0,,17444092.0,5013513.0,,1223761421.0,103.0,30083.0,7652894.0,55871913.0,37595.0,6566.0,16067162.0,2021-12-31,FL,5407.0,7592954.0,8.0,9198268.0,65610.0,2021-01-01 00:00:00,,,55446326.0,86219374.0,134060013.0,687.19,95.0,2021
ADVENTHEALTH CENTRAL TEXAS (450152),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,18490387.0,14560751.0,0.17202,1.0,116065798.0,,20888357.0,13302708.0,,674721348.0,208.0,31180.0,8438699.0,67037311.0,75920.0,7108.0,10684291.0,2021-09-30,TX,6881.0,8166268.0,10.0,12647442.0,-38513.0,2020-10-01 00:00:00,,,54849885.0,49804537.0,99203880.0,804.3,194.0,2021
ADVENTHEALTH CONNERTON (102026),General Long Term,Proprietary-Corporation,,,,1.0,41576346.0,,,,,192591396.0,77.0,24904.0,6590.0,22375734.0,28105.0,832.0,,2021-12-31,FL,9013.0,3728.0,10.0,,,2021-01-01 00:00:00,,,20909756.0,25078738.0,,275.14,67.0,2021
ADVENTHEALTH DADE CITY (100211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,8879217.0,5021060.0,0.112612,1.0,66735547.0,,9512811.0,3570188.0,,592616097.0,75.0,15061.0,1641036.0,27710577.0,27375.0,3674.0,6877413.0,2021-09-30,FL,3640.0,1597937.0,12.0,4180536.0,-45424.0,2020-10-01 00:00:00,,,24717782.0,27400861.0,53400167.0,315.16,63.0,2021
ADVENTHEALTH DAYTONA BEACH (100068),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,62973479.0,15884136.0,0.16823,1.0,366045430.0,,69833211.0,9730897.0,,2175860643.0,330.0,99725.0,21731282.0,161712225.0,120450.0,18031.0,15038187.0,2021-12-31,FL,28676.0,21745561.0,62.0,13201369.0,-4965.0,2021-01-01 00:00:00,,,150952154.0,186021382.0,159881156.0,2172.32,268.0,2021
ADVENTHEALTH DELAND (100045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,21505204.0,11778648.0,0.179971,1.0,155034131.0,,24081660.0,6826754.0,,861437788.0,154.0,36976.0,7527637.0,60812487.0,56210.0,7731.0,9234757.0,2021-12-31,FL,10001.0,7523238.0,24.0,10021268.0,12038.0,2021-01-01 00:00:00,,,52244809.0,75971772.0,114346168.0,722.16,130.0,2021
ADVENTHEALTH DURAND (521307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,359179.0,0.572655,2.0,14337653.0,,,636570.0,,25037164.0,25.0,838.0,3701768.0,6625161.0,9125.0,165.0,436244.0,2021-12-31,WI,649.0,3017707.0,,154831.0,,2021-01-01 00:00:00,,,,8031932.0,1883191.0,82.61,25.0,2021
ADVENTHEALTH FISH MEMORIAL (100072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,24570157.0,11983670.0,0.183451,1.0,186271709.0,,27707484.0,7260986.0,,1015377293.0,257.0,51168.0,6668961.0,70194525.0,93805.0,9628.0,12027085.0,2021-12-31,FL,12908.0,6663478.0,36.0,9672106.0,65530.0,2021-01-01 00:00:00,,,65945407.0,109170065.0,124083781.0,851.25,221.0,2021
ADVENTHEALTH GORDON (110023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16405217.0,10170965.0,0.14463,2.0,123398047.0,,17178061.0,9834668.0,,853201087.0,69.0,24458.0,8493172.0,86176321.0,25185.0,4315.0,9815645.0,2021-12-31,GA,7403.0,8164081.0,8.0,8661566.0,56168.0,2021-01-01 00:00:00,,40712.0,42835734.0,57395688.0,105152760.0,872.64,61.0,2021
ADVENTHEALTH HEART OF FLORIDA (100137),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,20021140.0,8922529.0,0.098693,1.0,199302048.0,,22685646.0,10774278.0,,2019414128.0,193.0,44993.0,6222558.0,66516147.0,70445.0,8979.0,10860070.0,2022-06-30,FL,9391.0,6034127.0,15.0,7756896.0,-11630.0,2021-07-01 00:00:00,,,68088527.0,63968387.0,223033240.0,837.77,178.0,2021
ADVENTHEALTH HENDERSONVILLE (340023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,11287991.0,7891955.0,0.261822,1.0,170358922.0,,12322133.0,6903260.0,,650666138.0,73.0,17102.0,25438688.0,91974534.0,26645.0,3734.0,8085997.0,2021-12-31,NC,4444.0,25412938.0,14.0,5754981.0,87358.0,2021-01-01 00:00:00,,,52831402.0,88958979.0,50651946.0,935.5,59.0,2021
ADVENTHEALTH LAKE WALES (100099),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,7940058.0,2988791.0,0.110767,1.0,71775100.0,,9095590.0,2511498.0,,647981265.0,11.0,17585.0,2070455.0,31240817.0,51830.0,3461.0,4385214.0,2022-06-30,FL,4062.0,1888590.0,8.0,2455370.0,1222.0,2021-07-01 00:00:00,,,25824532.0,30166503.0,71296041.0,347.85,3.0,2021
ADVENTHEALTH MANCHESTER (180043),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,4247325.0,512117.0,0.277394,2.0,65069060.0,,3876173.0,13283087.0,,234572525.0,49.0,7287.0,2028356.0,34432005.0,17885.0,1544.0,544493.0,2021-09-30,KY,1838.0,1883825.0,6.0,352206.0,59457.0,2020-10-01 00:00:00,,,20246045.0,38979237.0,76049710.0,336.3,43.0,2021
ADVENTHEALTH MURRAY (110050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2689914.0,2971531.0,0.111865,1.0,21544207.0,,2985625.0,3226877.0,,192590541.0,29.0,2991.0,1615671.0,9521439.0,10585.0,867.0,3237554.0,2021-12-31,GA,987.0,1535031.0,,2579795.0,,2021-01-01 00:00:00,,,8542880.0,5270587.0,36871103.0,149.73,29.0,2021
ADVENTHEALTH NEW SMYRNA BEACH (100014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,14679065.0,6649839.0,0.237848,1.0,128936514.0,,17929063.0,4158237.0,,542095513.0,109.0,26640.0,9975453.0,43147187.0,39785.0,5396.0,4475240.0,2021-12-31,FL,7484.0,9976648.0,14.0,5561980.0,39515.0,2021-01-01 00:00:00,,,38337195.0,31043922.0,44972778.0,545.43,95.0,2021
ADVENTHEALTH OCALA (100062),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,50427725.0,16332279.0,0.119035,1.0,313402996.0,,57125408.0,20850811.0,,2632857216.0,385.0,90909.0,18153393.0,109914516.0,148761.0,17316.0,15765274.0,2021-09-30,FL,23057.0,17818302.0,56.0,14243326.0,-190898.0,2020-10-01 00:00:00,,,109258907.0,183494859.0,232202663.0,1511.37,329.0,2021
ADVENTHEALTH ORLANDO (100007),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,433149637.0,204337727.0,0.14967,2.0,3775918675.0,,480256704.0,247530022.0,,25228335063.0,2791.0,772819.0,124616017.0,1542556057.0,1018715.0,130555.0,133738078.0,2021-12-31,FL,163808.0,126418280.0,383.0,182703494.0,2153898.0,2021-01-01 00:00:00,176.94,,1401585111.0,1646747211.0,3314016095.0,19277.0,2314.0,2021
ADVENTHEALTH OTTAWA (170014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,9469552.0,2041364.0,0.161516,2.0,40647609.0,,7258599.0,3327415.0,,251662695.0,44.0,3724.0,6238957.0,20840036.0,16060.0,1126.0,2939493.0,2021-09-30,KS,1719.0,6220201.0,8.0,1540443.0,50103.0,2020-10-01 00:00:00,,,15576701.0,21538224.0,25964336.0,239.4,36.0,2021
ADVENTHEALTH PALM COAST (100118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,39759691.0,7910949.0,0.188083,1.0,187008082.0,,43951080.0,7684297.0,,994284833.0,99.0,44391.0,12692630.0,70323752.0,36135.0,8569.0,8309238.0,2021-12-31,FL,15832.0,12525758.0,18.0,6294015.0,-10063.0,2021-01-01 00:00:00,,,58967271.0,91226621.0,58108128.0,838.11,81.0,2021
ADVENTHEALTH REDMOND (110168),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,58205699.0,9418110.0,0.125977,1.0,280707869.0,,59827715.0,12867850.0,,2228255240.0,217.0,64335.0,14576105.0,93707010.0,79205.0,11328.0,14129066.0,2022-06-30,GA,20180.0,14226133.0,16.0,7344945.0,52464.0,2021-07-01 00:00:00,50.89,,79931229.0,143908647.0,175378890.0,1163.38,177.0,2021
ADVENTHEALTH ROLLINS BROOK (451323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,2081419.0,0.298617,1.0,19227930.0,,,1078967.0,,64389912.0,25.0,3420.0,1398143.0,5614411.0,9125.0,441.0,1399838.0,2021-09-30,TX,1554.0,1028444.0,,1657303.0,,2020-10-01 00:00:00,,,,5110535.0,5549327.0,87.56,25.0,2021
ADVENTHEALTH SEBRING (100109),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,38514140.0,10097726.0,0.165537,2.0,237944480.0,,42527254.0,10396590.0,,1437405718.0,204.0,58893.0,17221605.0,121934365.0,74460.0,11167.0,11304646.0,2021-12-31,FL,19903.0,16732601.0,22.0,8088462.0,-37398.0,2021-01-01 00:00:00,4.04,,88133987.0,59451563.0,184242165.0,1356.17,182.0,2021
ADVENTHEALTH SHAWNEE MISSION (170104),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,46559782.0,20186769.0,0.145568,1.0,387872436.0,,51462939.0,20448667.0,,2664541309.0,343.0,78466.0,33867217.0,222056459.0,125195.0,17173.0,21649970.0,2021-12-31,KS,18137.0,33860578.0,64.0,16822236.0,118201.0,2021-01-01 00:00:00,1.0,,143301131.0,321272218.0,192103483.0,2556.56,279.0,2021
ADVENTHEALTH TAMPA (100173),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,54927239.0,27480028.0,0.131952,2.0,475862353.0,,60276790.0,23879954.0,,3606320767.0,596.0,123045.0,15780573.0,201849628.0,192700.0,22379.0,27715961.0,2021-12-31,FL,24036.0,15759571.0,110.0,23557403.0,-183508.0,2021-01-01 00:00:00,4.25,,179378249.0,401864985.0,518338259.0,2707.03,486.0,2021
ADVENTHEALTH WATERMAN (100057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,50573388.0,15629838.0,0.166196,2.0,275320403.0,,56720130.0,13439482.0,,1656601023.0,268.0,67436.0,17961893.0,111128254.0,97820.0,14274.0,15567554.0,2021-12-31,FL,22839.0,17927921.0,,12894931.0,210204.0,2021-01-01 00:00:00,,,96265661.0,125584865.0,201060971.0,1473.0,228.0,2021
ADVENTHEALTH WAUCHULA (101300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,2882517.0,0.219555,2.0,27526851.0,,,1920317.0,,125375447.0,25.0,8610.0,271653.0,11859818.0,9125.0,35.0,2982164.0,2021-12-31,FL,5480.0,-368508.0,,2153593.0,,2021-01-01 00:00:00,,,,51652500.0,27016555.0,118.73,25.0,2021
ADVENTHEALTH WESLEY CHAPEL (100319),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,21017522.0,11236123.0,0.144843,1.0,255325902.0,,25267203.0,4938956.0,,1762771238.0,169.0,41342.0,11583706.0,82954189.0,61685.0,10151.0,13386276.0,2021-12-31,FL,9152.0,10968418.0,24.0,9215490.0,93910.0,2021-01-01 00:00:00,,,87289820.0,171463916.0,158874057.0,1051.23,145.0,2021
ADVENTHEALTH ZEPHYRHILLS (100046),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,22328338.0,9490185.0,0.134139,2.0,167463992.0,,24917190.0,8592802.0,,1248440753.0,149.0,42350.0,8252019.0,75448457.0,54385.0,9970.0,8359398.0,2021-12-31,FL,9537.0,8213193.0,14.0,8274134.0,75322.0,2021-01-01 00:00:00,,,64035747.0,80917881.0,166826982.0,900.0,135.0,2021
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,14187768.0,7751132.0,0.226331,1.0,174261474.0,,15406330.0,23013545.0,,769941823.0,110.0,21669.0,7492942.0,44308037.0,40150.0,5461.0,2248141.0,2021-12-31,IL,5628.0,7487736.0,12.0,7114552.0,48174.0,2021-01-01 00:00:00,,,43703391.0,122619376.0,138457398.0,504.89,98.0,2021
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,11114118.0,4141269.0,0.271781,1.0,86352018.0,,12093225.0,31192844.0,,317727047.0,122.0,23456.0,2689132.0,36358598.0,44530.0,4832.0,1370916.0,2021-12-31,IL,6009.0,2690055.0,10.0,3715953.0,-42406.0,2021-01-01 00:00:00,,,32203344.0,46990660.0,105484589.0,405.79,112.0,2021
ADVENTIST HEALTH AND RIDEOUT (050133),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,97875980.0,10091056.0,0.212974,2.0,406237653.0,,93131461.0,122055798.0,,1907450720.0,209.0,68120.0,33726206.0,146468265.0,76285.0,12041.0,16410122.0,2021-12-31,CA,29536.0,33156898.0,30.0,6524861.0,-193369.0,2021-01-01 00:00:00,,711074.0,150359718.0,268468762.0,598904816.0,1329.49,179.0,2021
