Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,,512686.0,0.517864,2.0,16550595.0,,,4790632.0,,31959317.0,25.0,2853.0,1654089.0,5931614.0,9125.0,220.0,971603.0,2019-09-30,LA,1904.0,1437273.0,,11555.0,,2018-10-01 00:00:00,,,,1584224.0,7238376.0,102.57,25.0,2019
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,8273895.0,1154597.0,0.205488,1.0,40284622.0,,8459869.0,7836349.0,,196043220.0,129.0,7889.0,6475071.0,14236085.0,46994.0,1700.0,4976316.0,2019-09-30,LA,4754.0,6609827.0,4.0,50858.0,8808.0,2018-10-01 00:00:00,,93538.0,14347546.0,6065294.0,44342364.0,248.66,125.0,2019
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,,,,1.0,16535861.0,,,,,64012287.0,113.0,33713.0,399525.0,9167471.0,41245.0,3739.0,,2019-12-31,GA,13342.0,382787.0,,,,2019-01-01 00:00:00,,,,-10158964.0,,198.3,113.0,2019
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,,,1.0,45682888.0,,,,,96467873.0,68.0,23941.0,1368908.0,30754962.0,24820.0,1693.0,,2019-09-30,ME,4155.0,1290321.0,,,,2018-10-01 00:00:00,,,,19830641.0,,486.27,68.0,2019
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,,,,1.0,26322741.0,,,,,73965639.0,140.0,38196.0,301946.0,17546612.0,51100.0,4502.0,,2019-12-31,AZ,2841.0,308113.0,,,,2019-01-01 00:00:00,,,,2753409.0,,244.27,140.0,2019
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,721124.0,0.873935,2.0,14894389.0,,,1707379.0,,17042903.0,15.0,3733.0,3064561.0,5021251.0,5490.0,90.0,1227904.0,2020-06-30,LA,3646.0,2757352.0,,,,2019-07-01 00:00:00,,,,9916008.0,1589964.0,103.79,15.0,2019
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,,,1.0,13342166.0,,,,,58805906.0,78.0,25810.0,109523.0,7077158.0,28470.0,2953.0,,2019-12-31,LA,1159.0,111757.0,,,,2019-01-01 00:00:00,,,,13289346.0,,138.1,78.0,2019
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,,,1.0,8301173.0,,,,,16608255.0,149.0,6206.0,126399.0,2828709.0,54385.0,514.0,,2019-12-31,TX,5221.0,133484.0,,,,2019-01-01 00:00:00,,,2556894.0,4934633.0,,62.01,149.0,2019
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,,,1.0,6620684.0,,,,,23323950.0,52.0,10537.0,,4813001.0,18980.0,1733.0,,2019-12-31,OH,3091.0,,,,,2019-01-01 00:00:00,,,,6788465.0,,65.18,52.0,2019
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,,,1.0,22804385.0,,,,,150562804.0,50.0,10258.0,4905.0,13456180.0,18300.0,277.0,,2020-08-31,NJ,7800.0,4972.0,,,,2019-09-01 00:00:00,,,,10826277.0,,119.01,50.0,2019
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,345414.0,,,2.0,13856424.0,,341476.0,,,159118.0,6.0,465.0,1787487.0,9492500.0,2190.0,149.0,,2019-09-30,NM,154.0,1844332.0,,,,2018-10-01 00:00:00,,,6188974.0,,,158.0,6.0,2019
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,,,1.0,20076162.0,,,,,138141029.0,30.0,9125.0,1105.0,9303015.0,10980.0,280.0,,2020-08-31,NJ,6645.0,1121.0,,,,2019-09-01 00:00:00,,,,3687340.0,,110.79,30.0,2019
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,,,1.0,20629415.0,,,,,85246703.0,72.0,12686.0,,8902506.0,22896.0,388.0,,2020-07-14,OH,6940.0,,,,,2019-09-01 00:00:00,,,,5977717.0,,145.13,72.0,2019
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3263240.0,125459.0,0.591118,2.0,14822086.0,,3045650.0,1364034.0,,25074645.0,30.0,4257.0,471930.0,10443383.0,10980.0,915.0,333321.0,2020-06-30,OK,2832.0,480463.0,,2743.0,62094.0,2019-07-01 00:00:00,,,5427168.0,6232196.0,5642175.0,154.74,30.0,2019
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,428731.0,0.761638,2.0,13485735.0,,,922570.0,,17706226.0,25.0,322.0,3133473.0,4489784.0,9150.0,43.0,506499.0,2020-06-30,IA,259.0,3249399.0,,56375.0,,2019-07-01 00:00:00,,,,18889914.0,2018547.0,67.0,25.0,2019
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,1215083.0,0.265843,2.0,17541405.0,,,2623465.0,,65984001.0,25.0,3460.0,2711180.0,7452051.0,6825.0,690.0,3270876.0,2019-09-30,OH,2257.0,1470849.0,,227577.0,,2019-01-01 00:00:00,,,,49928161.0,17096618.0,207.57,25.0,2019
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,2647072.0,0.531569,1.0,51025367.0,,,2396472.0,,95990043.0,25.0,5810.0,4908137.0,30275203.0,9125.0,1285.0,4691952.0,2019-12-31,IN,2382.0,4594666.0,4.0,208762.0,,2019-01-01 00:00:00,,,,35920466.0,10153281.0,440.34,21.0,2019
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,23823287.0,774747.0,0.550683,1.0,41378647.0,,25067504.0,6739809.0,,75140652.0,114.0,37647.0,1632102.0,18816057.0,41610.0,6037.0,2043917.0,2019-09-30,MA,19113.0,1670551.0,,,,2018-10-01 00:00:00,,,19153123.0,6446058.0,24777167.0,342.98,114.0,2019
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,48527674.0,6815017.0,0.226958,2.0,326698130.0,,53697881.0,45053792.0,,1439465024.0,189.0,40961.0,38702118.0,102962441.0,68985.0,10403.0,14218994.0,2019-12-31,OH,15601.0,38773028.0,12.0,3257570.0,78067.0,2019-01-01 00:00:00,58.16,133763.0,101183693.0,390866002.0,289856984.0,1836.34,177.0,2019
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11855461.0,1163434.0,0.383712,2.0,101222287.0,,11238513.0,9144534.0,,263797744.0,48.0,8706.0,9350973.0,57003615.0,17520.0,2127.0,2201062.0,2019-12-31,NY,3833.0,9345309.0,8.0,330754.0,106701.0,2019-01-01 00:00:00,,127348.0,43107455.0,52410083.0,38251210.0,654.4,40.0,2019
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,2449477.0,,0.975806,1.0,137432943.0,,2730187.0,,,140840471.0,68.0,19581.0,97463.0,65527425.0,24888.0,1443.0,,2020-06-30,PR,295.0,99163.0,68.0,,,2019-07-01 00:00:00,,,45719121.0,1168231944.0,,1216.26,,2019
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,,,1.0,8788293.0,,,,,20672052.0,20.0,5301.0,1395.0,3746995.0,7320.0,217.0,,2020-02-29,NM,2231.0,1424.0,,,,2019-03-01 00:00:00,,,,124973779.0,,47.1,20.0,2019
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,,,1.0,20324369.0,,,,,38617045.0,40.0,12598.0,147.0,10121329.0,14640.0,495.0,,2020-08-31,MT,6314.0,150.0,,,,2019-09-01 00:00:00,,,,281192201.0,,123.56,40.0,2019
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,,,2.0,5081317.0,,,,,12787308.0,27.0,3419.0,,2623748.0,9855.0,162.0,,2019-09-30,AR,2075.0,,,,,2018-10-01 00:00:00,,,,590212.0,,42.9,27.0,2019
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,,,1.0,12270227.0,,,,,34146944.0,40.0,7884.0,782.0,4528636.0,14640.0,322.0,,2020-02-29,OH,3030.0,820.0,,,,2019-03-01 00:00:00,2.0,,,688150.0,,68.8,40.0,2019
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,2318381.0,67777.0,0.252802,1.0,19473413.0,,2730224.0,39732.0,,77030220.0,14.0,1629.0,898877.0,5109769.0,5110.0,740.0,268103.0,2019-12-31,PA,475.0,917138.0,,,,2019-01-01 00:00:00,,,5568261.0,12645459.0,588056.0,87.59,14.0,2019
ADVENTHEALTH - NORTH PINELLAS (100055),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,15488226.0,9212382.0,0.184141,1.0,108951653.0,,17464688.0,3974769.0,,591674280.0,136.0,20588.0,5582371.0,41165878.0,49640.0,5214.0,8178997.0,2019-12-31,FL,6932.0,5577514.0,13.0,7617524.0,148773.0,2019-01-01 00:00:00,,,38063696.0,43997868.0,61302670.0,612.17,123.0,2019
ADVENTHEALTH CARROLLWOOD (100069),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,17514954.0,9560088.0,0.150505,1.0,141156692.0,,18991924.0,4219925.0,,937884139.0,103.0,21617.0,5776096.0,41690713.0,35405.0,5716.0,9292928.0,2019-12-31,FL,5465.0,5769631.0,8.0,8028663.0,145697.0,2019-01-01 00:00:00,,,40936494.0,76939085.0,93197861.0,617.63,95.0,2019
ADVENTHEALTH CENTRAL TEXAS (450152),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,17518060.0,11404573.0,0.169169,1.0,97745487.0,,19703921.0,11883003.0,,577798905.0,208.0,26316.0,9993809.0,55112058.0,75920.0,6702.0,13693814.0,2019-09-30,TX,6519.0,9906803.0,10.0,8877856.0,63995.0,2018-10-01 00:00:00,,,46875671.0,11257000.0,82337076.0,779.04,194.0,2019
ADVENTHEALTH CONNERTON (102026),General Long Term,Proprietary-Corporation,,,,1.0,29190271.0,,,,,113157403.0,77.0,16933.0,6234.0,13651046.0,18493.0,651.0,,2019-12-31,FL,6888.0,3579.0,10.0,,,2019-01-01 00:00:00,,,13133715.0,27091849.0,,210.0,67.0,2019
ADVENTHEALTH DADE CITY (100211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5170815.0,4118037.0,0.12209,1.0,42355150.0,,5984297.0,2240427.0,,346918667.0,75.0,7495.0,1537157.0,16942404.0,38490.0,2334.0,1073463.0,2019-09-30,FL,2224.0,1518502.0,12.0,3971320.0,48288.0,2018-10-01 00:00:00,,,16632317.0,40622604.0,58381662.0,241.71,63.0,2019
ADVENTHEALTH DAYTONA BEACH (100068),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,60513952.0,17404553.0,0.156322,1.0,272303837.0,,67022949.0,11775423.0,,1741938777.0,330.0,82606.0,22875090.0,131719300.0,114115.0,16856.0,17097179.0,2019-12-31,FL,28892.0,22959267.0,62.0,14511367.0,268052.0,2019-01-01 00:00:00,,,118463751.0,170493668.0,154960825.0,2021.53,268.0,2019
ADVENTHEALTH DELAND (100045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,22617423.0,12353570.0,0.159138,1.0,124338930.0,,25582577.0,8402961.0,,781329011.0,154.0,33861.0,7973650.0,69088611.0,56210.0,8645.0,12555375.0,2019-12-31,FL,11376.0,7909065.0,24.0,10219188.0,171792.0,2019-01-01 00:00:00,,,48987230.0,50726738.0,115016074.0,765.2,130.0,2019
ADVENTHEALTH DURAND (521307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,364361.0,0.621233,2.0,13194946.0,,,463864.0,,21239915.0,25.0,1085.0,3569630.0,5597536.0,9125.0,187.0,338585.0,2019-12-31,WI,983.0,3216812.0,,215352.0,,2019-01-01 00:00:00,,,,6002431.0,1529380.0,84.46,25.0,2019
ADVENTHEALTH FISH MEMORIAL (100072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,27502223.0,11752926.0,0.156917,1.0,131072497.0,,31415973.0,6859436.0,,835298642.0,179.0,44449.0,7266784.0,64796221.0,65335.0,10064.0,14340074.0,2019-12-31,FL,14866.0,7192240.0,23.0,9280843.0,55257.0,2019-01-01 00:00:00,,,52011271.0,89346556.0,93265037.0,767.76,156.0,2019
ADVENTHEALTH HEART OF FLORIDA (100137),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,13445678.0,6449727.0,0.100082,2.0,117746179.0,,15713696.0,4343403.0,,1176499709.0,193.0,24288.0,5335452.0,40498501.0,58672.0,5817.0,884973.0,2020-06-30,FL,6186.0,5267141.0,15.0,6139986.0,78659.0,2019-09-01 00:00:00,,,41088600.0,19497435.0,167046493.0,769.6,178.0,2019
ADVENTHEALTH HENDERSONVILLE (340023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,12867185.0,8387722.0,0.258001,1.0,144275262.0,,14230284.0,3171189.0,,559205116.0,73.0,14011.0,24409670.0,78982626.0,26645.0,3750.0,10067327.0,2019-12-31,NC,4571.0,24501370.0,14.0,5702891.0,115999.0,2019-01-01 00:00:00,,,44477355.0,65294645.0,40492389.0,921.35,59.0,2019
ADVENTHEALTH LAKE WALES (100099),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,6583348.0,4582982.0,0.131261,1.0,55170617.0,,7687132.0,6785365.0,,420312615.0,93.0,13889.0,1838715.0,22813001.0,28272.0,4162.0,4019762.0,2020-06-30,FL,4331.0,1773222.0,8.0,3975487.0,-95324.0,2019-09-01 00:00:00,,,20360836.0,12690726.0,124588029.0,347.75,85.0,2019
ADVENTHEALTH MANCHESTER (180043),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,4801174.0,3261503.0,0.276401,2.0,51923892.0,,4573490.0,11010266.0,,187857424.0,49.0,5498.0,2760875.0,26382474.0,17885.0,1535.0,2213809.0,2019-09-30,KY,2046.0,2582077.0,6.0,2604156.0,31254.0,2018-10-01 00:00:00,,,17754360.0,16697659.0,66472794.0,343.47,43.0,2019
ADVENTHEALTH NEW SMYRNA BEACH (100014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,14093462.0,7999366.0,0.228925,1.0,99117613.0,,16374464.0,2615298.0,,432969299.0,109.0,23145.0,9105920.0,49146365.0,39785.0,5468.0,6215361.0,2019-12-31,FL,7858.0,9195806.0,14.0,6545512.0,-57065.0,2019-01-01 00:00:00,,122532.0,35214909.0,28639507.0,29446031.0,567.39,95.0,2019
ADVENTHEALTH ORLANDO (100007),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,416481003.0,189159250.0,0.143132,1.0,2868698972.0,,469867695.0,205340267.0,,20042301292.0,2735.0,676760.0,128398252.0,1264926996.0,998275.0,130838.0,189879238.0,2019-12-31,FL,171885.0,130766963.0,396.0,160390272.0,2318935.0,2019-01-01 00:00:00,166.05,,1146260758.0,1392240626.0,2514946114.0,18864.83,2245.0,2019
ADVENTHEALTH OTTAWA (170014),General Short Term (Acute Care Hospitals),Governmental-County,3006945.0,877848.0,0.355354,2.0,15395640.0,,2774694.0,1126544.0,,43324765.0,47.0,1521.0,2265211.0,8939240.0,7191.0,525.0,2199548.0,2019-09-30,KS,793.0,2285738.0,5.0,96635.0,19391.0,2019-05-01 00:00:00,,,6775447.0,11315383.0,5040127.0,277.72,42.0,2019
ADVENTHEALTH PALM COAST (100118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,36556800.0,10961417.0,0.174086,1.0,142290217.0,,41468095.0,9458148.0,,817356390.0,99.0,33492.0,11582388.0,54768563.0,36135.0,8241.0,10093646.0,2019-12-31,FL,15086.0,11646546.0,18.0,9095754.0,-138661.0,2019-01-01 00:00:00,,,43840667.0,83413181.0,62135190.0,722.64,81.0,2019
ADVENTHEALTH ROLLINS BROOK (451323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,2905384.0,0.312176,1.0,16703093.0,,,584119.0,,53505421.0,25.0,3192.0,972679.0,5137296.0,9125.0,397.0,2063341.0,2019-09-30,TX,1758.0,1028203.0,,2245657.0,,2018-10-01 00:00:00,,,,6960291.0,4213809.0,87.25,25.0,2019
ADVENTHEALTH SEBRING (100109),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,37361599.0,10495740.0,0.159721,1.0,187146422.0,,42800928.0,10305268.0,,1171705416.0,180.0,45195.0,20483121.0,100588802.0,65700.0,10808.0,12720899.0,2019-12-31,FL,19636.0,20332425.0,22.0,8091175.0,34844.0,2019-01-01 00:00:00,,,72620590.0,70285337.0,137359797.0,1289.7,158.0,2019
ADVENTHEALTH SHAWNEE MISSION (170104),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,49154115.0,23474794.0,0.149407,1.0,347514100.0,,55505755.0,18070490.0,,2325954676.0,317.0,79669.0,30361033.0,204325626.0,115705.0,17921.0,28261984.0,2019-12-31,KS,20437.0,30659087.0,64.0,18979709.0,78619.0,2019-01-01 00:00:00,0.94,,132515717.0,234606223.0,165037469.0,2710.93,253.0,2019
ADVENTHEALTH TAMPA (100173),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,58777561.0,32687172.0,0.13166,1.0,420196381.0,,65851453.0,25646318.0,,3191524440.0,506.0,116945.0,17206171.0,173892744.0,184690.0,21293.0,30487739.0,2019-12-31,FL,29334.0,17105298.0,86.0,28261839.0,-56656.0,2019-01-01 00:00:00,5.69,,162334427.0,344332199.0,440439171.0,2571.57,420.0,2019
ADVENTHEALTH WAUCHULA (101300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,3067470.0,0.204357,2.0,24431558.0,,,1788789.0,,119553229.0,25.0,8617.0,-302169.0,9980039.0,9150.0,86.0,3410121.0,2019-12-31,FL,5965.0,-664282.0,,2184306.0,,2019-01-01 00:00:00,,,,32433421.0,22567625.0,107.98,25.0,2019
ADVENTHEALTH ZEPHYRHILLS (100046),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,26212789.0,9859774.0,0.131275,1.0,141499070.0,,29438649.0,7897570.0,,1077881016.0,149.0,36088.0,9958382.0,64238532.0,54385.0,9398.0,9615842.0,2019-12-31,FL,11087.0,9960573.0,14.0,8444515.0,76665.0,2019-01-01 00:00:00,,,54974680.0,66755692.0,136518721.0,898.0,135.0,2019
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,14725608.0,5595635.0,0.225999,1.0,125291528.0,,16429062.0,16068555.0,,554389477.0,110.0,21774.0,9455969.0,37121422.0,40150.0,5794.0,10128284.0,2019-12-31,IL,6423.0,9434973.0,12.0,3179379.0,4671.0,2019-01-01 00:00:00,,,36867789.0,101775709.0,103095018.0,465.19,98.0,2019
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,13904658.0,4455265.0,0.263425,1.0,75188745.0,,15217754.0,26117404.0,,285427350.0,122.0,25041.0,2777583.0,33754140.0,44530.0,5300.0,5730800.0,2019-12-31,IL,7833.0,2730282.0,10.0,2863183.0,-33600.0,2019-01-01 00:00:00,,,28888344.0,23875787.0,85241939.0,687.17,112.0,2019
ADVENTIST HEALTH AND RIDEOUT (050133),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,41293990.0,3844008.0,0.308817,2.0,245121381.0,,40570712.0,21072902.0,,793744029.0,209.0,29374.0,17001742.0,76908369.0,38456.0,6010.0,731573.0,2019-12-31,CA,14886.0,16952740.0,30.0,3587958.0,-140649.0,2019-07-01 00:00:00,,403109.0,77467919.0,197577088.0,524842191.0,1531.67,179.0,2019
ADVENTIST HEALTH BAKERSFIELD (050455),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,42797323.0,6090158.0,0.156995,1.0,331516667.0,,46950738.0,60478423.0,,2111643486.0,254.0,63242.0,22248931.0,127185827.0,92710.0,16867.0,12495580.0,2019-12-31,CA,14239.0,21972917.0,43.0,3846930.0,-182133.0,2019-01-01 00:00:00,,,135908232.0,164654282.0,508322926.0,1401.86,211.0,2019
ADVENTIST HEALTH CASTLE (120006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,21212855.0,2624690.0,0.291565,1.0,138779968.0,,23090620.0,20024853.0,,475982608.0,160.0,29474.0,7577988.0,62406666.0,58400.0,7138.0,4368463.0,2019-12-31,HI,6715.0,7710755.0,8.0,1325186.0,254320.0,2019-01-01 00:00:00,,,58902498.0,86283892.0,95382594.0,677.76,152.0,2019
ADVENTIST HEALTH CLEARLAKE (051317),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,27102122.0,0.409901,2.0,118560293.0,,,15441234.0,,289241610.0,25.0,5939.0,6560607.0,35696450.0,9125.0,1347.0,5780939.0,2019-12-31,CA,3349.0,5945998.0,4.0,24983247.0,,2019-01-01 00:00:00,,,,75867423.0,95064934.0,281.57,21.0,2019
