Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,17214092.0,782939.0,0.49463,1.0,25199163.0,,18614233.0,4408939.0,,50945499.0,114.0,36875.0,1267926.0,13950712.0,41610.0,6125.0,2632000.0,2011-09-30,MA,19633.0,1243550.0,,19190.0,,2010-10-01 00:00:00,,,14111790.0,4995478.0,12202762.0,315.2,114.0,2011
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,40143136.0,14998783.0,0.293189,2.0,196344067.0,,43557632.0,8679103.0,,669683216.0,178.0,42991.0,16409483.0,153457297.0,64534.0,14456.0,24987416.0,2011-12-31,OH,17381.0,16414101.0,12.0,7839914.0,,2011-01-01 00:00:00,,,84641750.0,231925879.0,120685809.0,1948.42,166.0,2011
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11128301.0,2623128.0,0.516264,2.0,78272954.0,,11138671.0,9904408.0,,151614229.0,85.0,12288.0,6707469.0,37869463.0,31025.0,2636.0,4980078.0,2011-12-31,NY,6086.0,6522227.0,8.0,113472.0,,2011-01-01 00:00:00,,,31475146.0,19199738.0,25108094.0,561.21,77.0,2011
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,211435.0,,0.875153,1.0,116796731.0,,259106.0,,,133458704.0,76.0,24941.0,169415.0,37992602.0,27816.0,1764.0,,2012-06-30,PR,333.0,169415.0,76.0,,,2011-07-01 00:00:00,,,40689740.0,351541689.0,,1343.0,,2011
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,,,1.0,9509489.0,,,,,22417454.0,20.0,5849.0,916.0,3930310.0,7320.0,230.0,,2012-02-29,NM,3621.0,916.0,,,,2011-03-01 00:00:00,,,,74662903.0,,49.61,20.0,2011
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,,,1.0,6219406.0,,,,,17395297.0,27.0,5258.0,,2517970.0,9855.0,180.0,,2011-09-30,AR,3552.0,,,,,2010-10-01 00:00:00,,,,1244898.0,,45.7,27.0,2011
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,6246252.0,-14949.0,0.30715,1.0,8875200.0,,,,,28895343.0,25.0,7579.0,646.0,3448500.0,9125.0,254.0,,2011-11-30,AR,5151.0,646.0,,,,2010-12-01 00:00:00,,,,87177.0,,60.01,25.0,2011
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,,,1.0,16634890.0,,,,,31390702.0,40.0,11493.0,,7564023.0,14640.0,410.0,,2012-08-31,MT,6851.0,,,,,2011-09-01 00:00:00,,,,113694417.0,,132.3,40.0,2011
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,,,2.0,6781093.0,,,,,27830019.0,27.0,5960.0,,2880348.0,9855.0,221.0,,2011-09-30,AR,4602.0,,,,,2010-10-01 00:00:00,,,,801051.0,,58.16,27.0,2011
ADVANCED HEALTHCARE MEDICAL CENTER (261304),General Short Term (Critical Access Hospitals),Proprietary-Corporation,,449646.0,0.615975,2.0,10916603.0,,,1321395.0,,17722469.0,25.0,1278.0,1534620.0,6530055.0,9125.0,358.0,910936.0,2011-12-31,MO,758.0,1351853.0,,3437.0,,2011-01-01 00:00:00,,,,6520546.0,3291250.0,73.88,25.0,2011
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,,,1.0,11255489.0,,,,,36131926.0,40.0,8343.0,368.0,4081580.0,14640.0,356.0,,2012-02-29,OH,3809.0,368.0,,,,2011-03-01 00:00:00,0.15,,,3256211.0,,71.18,40.0,2011
ADVANCED SPECIALTY OF GREENBRIAR (363032),Rehabilitation,Proprietary-Corporation,,,,1.0,3251142.0,,,,,5909644.0,29.0,3546.0,,1106648.0,10585.0,311.0,,2011-12-31,OH,2610.0,,,,,2011-01-01 00:00:00,,,,588252.0,,24.02,29.0,2011
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Corporation,810382.0,,0.226668,1.0,10719577.0,,983443.0,971.0,,47291959.0,14.0,1120.0,600349.0,3315236.0,5110.0,280.0,,2011-12-31,PA,253.0,600033.0,,,,2011-01-01 00:00:00,,,3490519.0,3169070.0,9961.0,64.0,14.0,2011
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,,-48338.0,0.627681,1.0,18774243.0,,,,,29910480.0,107.0,26973.0,21009.0,28391260.0,39055.0,3500.0,,2011-12-31,MD,6386.0,21155.0,,,,2011-01-01 00:00:00,1.8,,13522850.0,15081719.0,,290.0,107.0,2011
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16217727.0,5427136.0,0.233269,1.0,92174766.0,,18328431.0,3602906.0,,395144155.0,138.0,21708.0,3123280.0,34710582.0,50370.0,5701.0,5312905.0,2011-12-31,IL,8148.0,2971844.0,12.0,4295048.0,,2011-01-01 00:00:00,,,37290485.0,106552034.0,83457733.0,471.87,126.0,2011
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,16390138.0,3937846.0,0.274813,1.0,63682828.0,,16680270.0,10214707.0,,231731900.0,121.0,26720.0,1698174.0,34029943.0,44165.0,5018.0,2902567.0,2011-12-31,IL,11335.0,1610264.0,10.0,3265879.0,,2011-01-01 00:00:00,,,28439845.0,23721833.0,63455634.0,482.45,111.0,2011
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,97380465.0,4107383.0,0.166622,1.0,311683166.0,,102970670.0,37669425.0,,1870597367.0,321.0,85701.0,13888410.0,138157675.0,117889.0,17016.0,6441453.0,2011-12-31,CA,38609.0,13360774.0,10.0,3580709.0,,2011-01-01 00:00:00,22.62,,128806214.0,259468058.0,391473270.0,1806.86,275.0,2011
ADVENTIST HINSDALE HOSPITAL (140122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,39871004.0,4035277.0,0.249397,1.0,242094906.0,,44696587.0,1431681.0,,970720885.0,229.0,52942.0,14302307.0,109532027.0,83585.0,11722.0,4858091.0,2011-12-31,IL,20570.0,14142659.0,35.0,2919419.0,,2011-01-01 00:00:00,26.08,,91822542.0,213361718.0,71432070.0,1762.55,194.0,2011
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,44053859.0,6321122.0,0.232031,1.0,137963911.0,,47968788.0,4942843.0,,594593617.0,200.0,41932.0,10235217.0,59598291.0,73000.0,8690.0,3360802.0,2011-10-31,IL,27121.0,10131169.0,27.0,5642402.0,,2010-11-01 00:00:00,19.09,,56356149.0,175577276.0,39507737.0,809.78,173.0,2011
ADVENTIST MEDICAL CENTER-PORTLAND (380060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,22415684.0,12356134.0,0.304387,1.0,185739281.0,,24621653.0,20915245.0,,610207872.0,174.0,30834.0,6332928.0,115192367.0,63510.0,9512.0,20577837.0,2011-12-31,OR,7185.0,6108497.0,12.0,6095928.0,,2011-01-01 00:00:00,,,75601434.0,94817936.0,82322492.0,1364.25,162.0,2011
ADVENTIST REHAB. HOSPT. OF MD (213029),Rehabilitation,Proprietary-Corporation,,-7948.0,0.542508,1.0,29532969.0,,,,,54437893.0,77.0,18947.0,264.0,17159126.0,28105.0,1589.0,,2011-12-31,MD,13133.0,264.0,,,,2011-01-01 00:00:00,,,17036324.0,7730361.0,,263.54,77.0,2011
ADVOCATE CHRIST HOSPITAL (140208),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,192730456.0,31354660.0,0.292071,1.0,702833048.0,,203543970.0,105403329.0,,2406381258.0,591.0,194854.0,25714127.0,312823235.0,215715.0,38403.0,43565330.0,2011-12-31,IL,69605.0,25816157.0,116.0,19718681.0,,2011-01-01 00:00:00,214.23,,288448469.0,2813845000.0,471850925.0,4554.0,475.0,2011
ADVOCATE EUREKA HOSPITAL (141309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,1118560.0,0.450158,2.0,12045623.0,,,872045.0,,26758678.0,23.0,1874.0,2803955.0,5252550.0,8395.0,501.0,955632.0,2011-12-31,IL,1598.0,2046809.0,,753566.0,,2011-01-01 00:00:00,,,,2813845000.0,2776202.0,123.49,23.0,2011
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,65655309.0,17961349.0,0.263064,1.0,315038616.0,,71661106.0,17122314.0,,1197574908.0,289.0,72157.0,14790030.0,130497549.0,105485.0,17631.0,24376636.0,2011-12-31,IL,34444.0,14674265.0,55.0,11749266.0,,2011-01-01 00:00:00,,,123347389.0,2813845000.0,91707923.0,1987.0,234.0,2011
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,123767466.0,17411380.0,0.296955,1.0,504354606.0,,134140216.0,43204471.0,,1698422046.0,530.0,132306.0,24796079.0,221892462.0,193450.0,27390.0,13076000.0,2011-12-31,IL,49005.0,24925181.0,29.0,14071424.0,,2011-01-01 00:00:00,197.73,,202546920.0,2813845000.0,245019590.0,3342.65,415.0,2011
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,54638034.0,16828072.0,0.239261,1.0,272406901.0,,56786802.0,39871343.0,,1138532138.0,264.0,62914.0,13082249.0,133837886.0,96220.0,14976.0,20256472.0,2011-12-31,IL,17130.0,12482998.0,78.0,12515313.0,,2011-01-01 00:00:00,181.71,,114158865.0,111832000.0,236165000.0,2047.0,143.0,2011
ADVOCATE TRINITY HOSPITAL (140048),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,35011819.0,10392397.0,0.286174,1.0,135838317.0,,37531355.0,17529914.0,,474670914.0,188.0,45390.0,4458595.0,57032802.0,68620.0,10905.0,23678020.0,2011-12-31,IL,17776.0,4271785.0,25.0,4064931.0,,2011-01-01 00:00:00,5.84,,56936507.0,2813845000.0,115912284.0,926.0,163.0,2011
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,15619348.0,1722746.0,0.19917,1.0,72560727.0,,15677398.0,8235276.0,,364315531.0,118.0,18762.0,3966033.0,30994510.0,43154.0,4499.0,8910638.0,2012-06-30,OH,6725.0,3980844.0,21.0,,,2011-07-01 00:00:00,16.74,,27954755.0,71960760.0,50379918.0,567.62,97.0,2011
AIKEN REGIONAL MEDICAL CENTER (420082),General Short Term (Acute Care Hospitals),Proprietary-Corporation,37270821.0,9363122.0,0.241747,1.0,131019195.0,,39289830.0,22511908.0,,541968497.0,189.0,47516.0,9607868.0,51506594.0,58299.0,12283.0,8786915.0,2011-12-31,SC,21535.0,9127255.0,22.0,7437386.0,,2011-01-01 00:00:00,4.1,,48638151.0,3388599.0,101209763.0,936.8,167.0,2011
AKRON GENERAL MEDICAL CENTER (360027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,69261683.0,29247516.0,0.231757,1.0,337963374.0,,76215162.0,45771634.0,,1458265350.0,408.0,101090.0,21964360.0,184022339.0,148920.0,21310.0,37380788.0,2011-12-31,OH,35911.0,22380346.0,35.0,20735408.0,,2011-01-01 00:00:00,109.11,,148413744.0,273745898.0,179852015.0,3135.93,335.0,2011
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,29867871.0,16903316.0,0.419535,1.0,177536871.0,,32865635.0,16117201.0,3840.0,423175156.0,182.0,45559.0,14357445.0,81656367.0,66430.0,11112.0,17448776.0,2011-12-31,NC,16605.0,14017055.0,32.0,10013440.0,,2011-01-01 00:00:00,,,73722897.0,82955030.0,50503851.0,1458.0,150.0,2011
ALAMEDA COUNTY MEDICAL CENTER (050320),General Short Term (Acute Care Hospitals),Governmental-County,24414283.0,52277735.0,0.43587,1.0,408824923.0,,22852019.0,114834580.0,,937951778.0,198.0,47930.0,8583994.0,244006682.0,72468.0,10749.0,48702186.0,2012-06-30,CA,4908.0,7806900.0,20.0,31466892.0,,2011-07-01 00:00:00,102.1,,188879671.0,326691306.0,436884138.0,1292.11,178.0,2011
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,14300486.0,2316900.0,0.248822,1.0,64121982.0,,15444303.0,40301070.0,,257702145.0,92.0,10880.0,3444857.0,34411557.0,33672.0,2799.0,8041658.0,2012-06-30,CA,5585.0,3310392.0,,413889.0,,2011-07-01 00:00:00,,,29020409.0,21506578.0,58128895.0,356.45,84.0,2011
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-Hospital District,,-71803.0,1.203334,1.0,31272582.0,,,,,25988273.0,80.0,21867.0,18260.0,15224841.0,29200.0,1641.0,,2012-06-30,AK,3595.0,33719.0,,,,2011-07-01 00:00:00,,,15156129.0,,,250.28,80.0,2011
ALASKA REGIONAL HOSPITAL (020017),General Short Term (Acute Care Hospitals),Proprietary-Corporation,24989991.0,4511054.0,0.240268,1.0,144365209.0,,26078161.0,16780019.0,,600850809.0,181.0,24029.0,4960168.0,50625533.0,66065.0,5586.0,14153334.0,2011-12-31,AK,7813.0,4841072.0,36.0,1164472.0,,2011-01-01 00:00:00,,,49033188.0,-265502538.0,59248718.0,618.44,130.0,2011
ALASKA SPECIALTY HOSPITAL  LLC (022001),General Long Term,Proprietary-Partnership,,,,1.0,33283102.0,,,,,74550782.0,60.0,11917.0,,12775770.0,21900.0,343.0,,2011-12-31,AK,5735.0,,,,,2011-01-01 00:00:00,,,,27379320.0,,207.25,60.0,2011
ALBANY AREA HOSPITAL (241331),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,233282.0,0.702201,2.0,10508311.0,,,896059.0,,14964816.0,17.0,1195.0,1011073.0,4761603.0,6222.0,234.0,281546.0,2012-06-30,MN,633.0,1105616.0,,40511.0,,2011-07-01 00:00:00,,,,-3904847.0,1533871.0,50.16,17.0,2011
ALBANY MEDICAL CENTER HOSPITAL (330013),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,117804785.0,13885870.0,0.268473,2.0,562608034.0,,124519953.0,102812305.0,,2095588573.0,597.0,180403.0,14177442.0,226339270.0,217905.0,30967.0,18471356.0,2011-12-31,NY,49172.0,14447630.0,45.0,8995387.0,,2011-01-01 00:00:00,320.94,,199808092.0,372808877.0,403626364.0,4042.8,484.0,2011
ALBANY MEMORIAL HOSPITAL (330003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11863916.0,3837281.0,0.329589,1.0,76938839.0,,13802189.0,2153448.0,,233438524.0,165.0,23941.0,5392244.0,34387573.0,60225.0,4682.0,6461963.0,2011-12-31,NY,10360.0,5306687.0,21.0,1745008.0,,2011-01-01 00:00:00,,,33607347.0,24879044.0,5930353.0,687.4,144.0,2011
ALBEMARLE HOSPITAL (340109),General Short Term (Acute Care Hospitals),Governmental-County,24360025.0,8576043.0,0.374692,2.0,93972930.0,,26352620.0,9014126.0,,250800271.0,142.0,23184.0,11143740.0,38937205.0,51830.0,5022.0,17346917.0,2011-09-30,NC,14115.0,10951910.0,,2447675.0,,2010-10-01 00:00:00,,,38540160.0,79033370.0,26457158.0,840.9,125.0,2011
ALBERT EINSTEIN MEDICAL CENTER (390142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,117975990.0,17444426.0,0.193888,1.0,533546659.0,,124334011.0,126131593.0,,2751829612.0,438.0,110370.0,20013347.0,283048308.0,160308.0,25032.0,33105306.0,2012-06-30,PA,29901.0,20547999.0,39.0,11655965.0,,2011-07-01 00:00:00,371.05,,225350259.0,538435417.0,840089633.0,3359.67,355.0,2011
ALEGENT HEALTH COMMUNITY HOSPITAL (161309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,563696.0,0.55491,2.0,20538225.0,,,310092481.0,,37011801.0,25.0,1926.0,3123266.0,10441800.0,9150.0,462.0,749305.0,2012-06-30,IA,1554.0,3018015.0,,198280.0,,2011-07-01 00:00:00,,,,2491076.0,119253345.0,111.14,25.0,2011
ALEGENT HEALTH MEMORIAL HOSPITAL (281323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,503670.0,0.757497,2.0,11418466.0,,,599345.0,,15073948.0,25.0,750.0,1744123.0,5396587.0,9150.0,166.0,481277.0,2012-06-30,NE,504.0,1565338.0,,143920.0,,2011-07-01 00:00:00,,,,1760000.0,1034507.0,71.76,25.0,2011
ALEGENT HEALTH MERCY HOSPITAL (161304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,482562.0,0.585144,1.0,16474783.0,,,1800391.0,,28155106.0,22.0,1400.0,3795543.0,6515912.0,8030.0,230.0,594461.0,2012-06-30,IA,1127.0,3353933.0,,179778.0,,2011-07-01 00:00:00,,,,2102178.0,4175302.0,81.98,22.0,2011
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),Psychiatric,Governmental-State,,,,2.0,4319318.0,,,,,27510.0,14.0,4585.0,,2895963.0,5124.0,205.0,,2012-06-30,MN,1144.0,,,,,2011-07-01 00:00:00,,,,,,34.42,14.0,2011
ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031),Psychiatric,Voluntary Nonprofit-Church,,-105388.0,0.387816,1.0,45671358.0,,,,,117765511.0,141.0,46996.0,681406.0,32718710.0,51465.0,6120.0,,2011-12-31,IL,17837.0,644405.0,,,,2011-01-01 00:00:00,,,23206586.0,15623766.0,,502.76,141.0,2011
ALEXIAN BROTHERS MEDICAL CENTER (140258),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,87193421.0,10946133.0,0.230996,1.0,382694917.0,,97042307.0,33742822.0,,1656718417.0,335.0,92141.0,20759639.0,141426451.0,122275.0,18636.0,13557346.0,2011-12-31,IL,48288.0,20246078.0,36.0,8064022.0,,2011-01-01 00:00:00,,,129050248.0,137787000.0,163917599.0,2132.04,299.0,2011
