Hospital,Hospital type,Control type,Number of Interns & Residents,"Donations, Land Improvements",Net Revenue from Medicaid,BED DAYS: Total Hospital,Total discharges,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total cost of charity care,HVBP payment adjustment amount,Urban (1) and Rural (2) Indicator,Total Bad Debt expense,NUMBER OF BEDS: ICU,Cost To Charge Ratio,IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total Days Title XVIII,FTE Employees on Payroll,Total Costs,State,Cost of Uncompensated Care,Fiscal Year End Date,Total Salaries,Total Days,Total Charges,Fiscal Year Begin Date,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,HAC reduction adjustment amount,REIMBURSEMENT SETTLEMENT: Interim payments,IPPS Interim payment,Medicaid charges,FFY
AIKEN REGIONAL MEDICAL CENTER (420082),General Short Term (Acute Care Hospitals),Proprietary-Corporation,928.93,,22856570.0,60612.0,10628.0,174.0,9769667.0,196.0,4495548.0,-1710.0,1.0,15496412.0,22.0,0.222614,38660793.0,,21294.0,4.86,133069196.0,SC,7733201.0,2012-12-31,51874131.0,47176.0,597757627.0,2012-01-01 00:00:00,49207444.0,-6935484.0,,10125658.0,35444873.0,114570899.0,2012
AKRON GENERAL MEDICAL CENTER (360027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3120.67,,42319435.0,147711.0,19986.0,330.0,22771489.0,403.0,9397424.0,2786.0,1.0,42618241.0,35.0,0.229734,79166260.0,,34762.0,124.34,364119671.0,OH,18977577.0,2012-12-31,188951588.0,99539.0,1584964008.0,2012-01-01 00:00:00,149800696.0,373544313.0,,22719279.0,72839254.0,200615130.0,2012
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1518.0,,15937898.0,66612.0,10538.0,150.0,14859423.0,182.0,11691759.0,,1.0,18372503.0,32.0,0.425507,31474890.0,,15348.0,,186763803.0,NC,18940800.0,2012-12-31,85531646.0,42437.0,438920650.0,2012-01-01 00:00:00,76692383.0,78448900.0,,15221115.0,29107730.0,52591451.0,2012
ALAMEDA COUNTY MEDICAL CENTER (050320),General Short Term (Acute Care Hospitals),Governmental-County,1292.11,,87043848.0,72270.0,10720.0,178.0,8630360.0,198.0,8013547.0,-8861.0,1.0,59850173.0,20.0,0.393719,27083941.0,,5691.0,125.53,437355590.0,CA,31187439.0,2013-06-30,268326221.0,48196.0,1110831341.0,2012-07-01 00:00:00,204436936.0,405695219.0,,9446083.0,26530474.0,482680526.0,2012
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,395.09,,61936074.0,33580.0,2838.0,84.0,3817242.0,92.0,442182.0,-66468.0,1.0,11738810.0,,0.254316,17136296.0,,5876.0,,79953571.0,CA,3375711.0,2013-06-30,41105916.0,11559.0,314386936.0,2012-07-01 00:00:00,32304111.0,29633189.0,,3981543.0,15917998.0,79763899.0,2012
ALASKA NATIVE MEDICAL CENTER (020026),General Short Term (Acute Care Hospitals),Proprietary-Other,,,,,,,,,,,,,,,,,,,,AK,,2012-09-30,,,,2011-10-01 00:00:00,,,,,,,2012
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-Hospital District,245.55,,,29200.0,1683.0,80.0,16954.0,80.0,,,1.0,,,1.149783,,,2911.0,,30161126.0,AK,-41926.0,2013-06-30,16103927.0,20724.0,26232025.0,2012-07-01 00:00:00,15926150.0,,,16276.0,,,2012
ALASKA REGIONAL HOSPITAL (020017),General Short Term (Acute Care Hospitals),Proprietary-Corporation,627.98,,15372899.0,66612.0,5813.0,131.0,4681351.0,182.0,2146316.0,4842.0,1.0,21057023.0,36.0,0.235662,29667995.0,,8203.0,,152417140.0,AK,7066556.0,2012-12-31,53841756.0,25027.0,646762639.0,2012-01-01 00:00:00,52174258.0,-313615200.0,,4769441.0,28354577.0,63708000.0,2012
ALASKA SPECIALTY HOSPITAL  LLC (022001),General Long Term,Proprietary-Partnership,224.1,,,21960.0,309.0,60.0,,60.0,,,1.0,,,,,,4922.0,,33355966.0,AK,,2012-12-31,14219445.0,12495.0,75845272.0,2012-01-01 00:00:00,,25988814.0,,,,,2012
ALBANY AREA HOSPITAL (241331),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,42.07,,612538.0,6205.0,255.0,17.0,1237243.0,17.0,166240.0,,2.0,335290.0,,0.681963,,,650.0,,11107149.0,MN,388726.0,2013-06-30,4897953.0,1125.0,16287020.0,2012-07-01 00:00:00,,-3517879.0,,1239017.0,,1048540.0,2012
ALBANY MEDICAL CENTER HOSPITAL (330013),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4160.2,,95710962.0,219600.0,31835.0,487.0,16542463.0,600.0,8672099.0,-6550.0,2.0,14452034.0,45.0,0.262443,135917854.0,,52821.0,330.53,597179879.0,NY,12396766.0,2012-12-31,236763283.0,188139.0,2275462145.0,2012-01-01 00:00:00,204971630.0,496557539.0,,16400163.0,127676933.0,447246750.0,2012
ALBANY MEMORIAL HOSPITAL (330003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,686.55,,1580236.0,60225.0,3917.0,144.0,6016574.0,165.0,1047589.0,-6403.0,1.0,8436744.0,21.0,0.329789,11260980.0,,8050.0,,78837235.0,NY,3791311.0,2012-12-31,35858371.0,21553.0,239053434.0,2012-01-01 00:00:00,34328078.0,21576000.0,,6076825.0,9799751.0,6281515.0,2012
ALBERT EINSTEIN MEDICAL CENTER (390142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3260.62,,98866906.0,157390.0,24248.0,360.0,21061055.0,431.0,55254486.0,-88155.0,1.0,30484084.0,32.0,0.186234,125472011.0,,28034.0,356.46,522114775.0,PA,60402842.0,2013-06-30,309375648.0,107554.0,2803548732.0,2012-07-01 00:00:00,242709111.0,449796436.0,,21212377.0,119557695.0,535085814.0,2012
ALEGENT HEALTH COMMUNITY HOSPITAL (161309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,124.24,,3124450.0,9125.0,518.0,25.0,2366886.0,25.0,229408.0,,2.0,1611093.0,,0.49395,,,1720.0,,20474063.0,IA,978852.0,2013-06-30,11317265.0,2135.0,41449670.0,2012-07-01 00:00:00,,5556661.0,,3306016.0,,1141708.0,2012
ALEGENT HEALTH MEMORIAL HOSPITAL (281323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,68.9,,400780.0,9125.0,116.0,25.0,1650117.0,25.0,96965.0,,2.0,943958.0,,0.735205,,,376.0,,11086888.0,NE,783193.0,2013-06-30,5450150.0,524.0,15080004.0,2012-07-01 00:00:00,,99468.0,,1450446.0,,821233.0,2012
ALEGENT HEALTH MERCY HOSPITAL (161304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,81.26,,903557.0,8030.0,228.0,22.0,3100526.0,22.0,192774.0,,1.0,806399.0,,0.556203,,,822.0,,16440922.0,IA,587060.0,2013-06-30,6725371.0,1129.0,29559189.0,2012-07-01 00:00:00,,-5439797.0,,3660808.0,,1863087.0,2012
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),Psychiatric,Governmental-State,26.2,,,5110.0,153.0,14.0,,14.0,,,2.0,,,,,,1217.0,,4561317.0,MN,,2013-06-30,3009778.0,4904.0,29424.0,2012-07-01 00:00:00,,,,,,,2012
ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031),Psychiatric,Voluntary Nonprofit-Church,518.92,,,25662.0,3180.0,141.0,293851.0,141.0,,,1.0,,,0.363988,,,8742.0,,23949668.0,IL,-30460.0,2012-06-30,16737644.0,23549.0,65798029.0,2012-01-01 00:00:00,11823771.0,14378000.0,,308151.0,,,2012
