Hospital,Hospital type,Control type,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,BED DAYS: Total Hospital,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Total cost of charity care,Total Salaries,Total Bad Debt expense,Total Charges,Cost To Charge Ratio,Net Revenue from Medicaid,Total Liabilities,Medicaid charges,Total Costs,Total discharges,IPPS Payment amount (unadjusted),State,Number of Interns & Residents,Total Days,NUMBER OF BEDS: Total Hospital,Cost of Uncompensated Care,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,FTE Employees on Payroll,Urban (1) and Rural (2) Indicator,HAC reduction adjustment amount,IPPS Interim payment,Fiscal Year End Date,FFY
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,140.0,202318.0,,51100.0,204720.0,2593.0,,,,,20459606.0,,105423274.0,,,-18528526.0,,30821789.0,3727.0,,AZ,250.52,45203.0,140.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,78.0,3994.0,,28470.0,4043.0,735.0,,,,,8251276.0,,48853149.0,,,2329077.0,,14609098.0,3133.0,,LA,142.26,22123.0,78.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
ACADIAN MEDICAL CENTER (190318),General Short Term (Acute Care Hospitals),Proprietary-Corporation,43.0,2207749.0,,17885.0,2225472.0,1320.0,13961013.0,,,,13961013.0,2028723.0,197994876.0,0.160374,,6116999.0,,31753234.0,1945.0,2722152.0,LA,,6078.0,49.0,374575.0,2021-10-01 00:00:00,6.0,,2.0,,2309220.0,2022-09-30,2022
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,149.0,,,54385.0,,5643.0,3783687.0,,,,4282905.0,,20361659.0,,,7994929.0,,12131634.0,635.0,,TX,63.08,7638.0,149.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,36.0,,,13140.0,,827.0,,,,,1863515.0,,11893145.0,,,4719667.0,,2743917.0,493.0,,OH,30.21,4395.0,36.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,6.0,356950.0,,828.0,536754.0,,2092896.0,,,,3247739.0,,67609.0,,,,,7884478.0,3.0,,NM,148.0,3.0,6.0,,2021-10-01 00:00:00,,,2.0,,,2022-02-15,2022
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,3099904.0,,9125.0,2899657.0,1498.0,,,,212978.0,14710185.0,5321454.0,104499867.0,0.327385,7124498.0,33234287.0,31861120.0,34211706.0,552.0,,OH,204.98,3561.0,25.0,1976270.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,21.0,6968205.0,,9125.0,6415888.0,1617.0,,,,127151.0,36870599.0,5706904.0,119232359.0,0.558606,5933138.0,32020257.0,21787257.0,66603893.0,957.0,,IN,404.85,4532.0,25.0,3263944.0,2022-01-01 00:00:00,4.0,,1.0,,,2022-12-31,2022
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,114.0,1177626.0,,41610.0,1185829.0,13280.0,19802335.0,,,,19949202.0,1851834.0,75153727.0,0.532264,6528234.0,7323637.0,13641352.0,40001639.0,5792.0,18889187.0,MA,307.27,36054.0,114.0,739782.0,2021-10-01 00:00:00,,,1.0,,17417213.0,2022-09-30,2022
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,197.0,32378416.0,,76285.0,32227163.0,12190.0,109913089.0,,,6703305.0,114135626.0,33344797.0,1802423380.0,0.218231,64721529.0,405543896.0,372778008.0,393344029.0,9655.0,42492244.0,OH,1711.42,45407.0,209.0,14213821.0,2022-01-01 00:00:00,12.0,39.74,2.0,,39149856.0,2022-12-31,2022
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,75.0,9854602.0,,30295.0,9826156.0,2961.0,41699757.0,,,43464.0,60371685.0,2230400.0,300700109.0,0.373235,9156698.0,51946336.0,42293738.0,112231691.0,1893.0,9868307.0,NY,641.39,7784.0,83.0,862899.0,2022-01-01 00:00:00,8.0,,2.0,86401.0,10291444.0,2022-12-31,2022
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,20.0,283.0,,7300.0,288.0,1599.0,,,,,3986905.0,,21569212.0,,,218458949.0,,10861041.0,226.0,,NM,43.42,5221.0,20.0,,2022-03-01 00:00:00,,,1.0,,,2023-02-28,2022
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,27.0,203139.0,,9855.0,203901.0,1582.0,,,,,3856911.0,,20729784.0,,,2672023.0,,7476600.0,148.0,,AR,50.3,3924.0,27.0,,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,40.0,113.0,,14600.0,118.0,1205.0,,,,,4130521.0,,22293888.0,,,1659371.0,,11110853.0,186.0,,OH,53.1,5163.0,40.0,,2022-03-01 00:00:00,,0.17,1.0,,,2023-02-28,2022
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,14.0,1126531.0,,5110.0,1139983.0,329.0,5822899.0,,,1430.0,5509420.0,245955.0,77203530.0,0.25451,25247.0,7868791.0,229363.0,19649098.0,326.0,2127077.0,PA,81.35,602.0,14.0,64028.0,2022-01-01 00:00:00,,,1.0,,1826424.0,2022-12-31,2022
ADVENTHEALTH - NORTH PINELLAS (100055),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,123.0,4402990.0,,49640.0,4436613.0,7849.0,54302940.0,,,8198789.0,58910600.0,5888043.0,784985363.0,0.198311,3258373.0,,74501281.0,155671354.0,6379.0,17416868.0,FL,745.11,28172.0,136.0,9499104.0,2022-01-01 00:00:00,13.0,,1.0,,15514985.0,2022-12-31,2022
ADVENTHEALTH CARROLLWOOD (100069),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,111.0,6652393.0,,43435.0,6761101.0,5153.0,60368382.0,,,10575108.0,62528349.0,11099282.0,1322348507.0,0.151996,2267514.0,,141455788.0,200991714.0,6643.0,17544176.0,FL,749.05,27301.0,119.0,12422159.0,2022-01-01 00:00:00,8.0,1.9,1.0,,15844248.0,2022-12-31,2022
ADVENTHEALTH CENTRAL TEXAS (450152),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,194.0,6877832.0,,75920.0,6917741.0,5663.0,55994772.0,,,11778006.0,68868664.0,12511791.0,665060943.0,0.186864,14880744.0,12433393.0,99312328.0,124275824.0,7108.0,17628694.0,TX,746.82,28247.0,208.0,14267885.0,2021-10-01 00:00:00,10.0,,1.0,175559.0,15248137.0,2022-09-30,2022
ADVENTHEALTH CONNERTON (102026),General Long Term,Proprietary-Corporation,67.0,2076.0,,28105.0,980.0,10370.0,23426737.0,,,,24856861.0,,218216540.0,,,24047896.0,,47410350.0,1015.0,,FL,290.0,27382.0,77.0,,2022-01-01 00:00:00,10.0,,1.0,,,2022-12-31,2022
ADVENTHEALTH DADE CITY (100211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,63.0,1388569.0,-13828.0,27375.0,1308051.0,3487.0,27330062.0,,,4534066.0,30922932.0,4766332.0,677206539.0,0.110643,4144896.0,,112147191.0,74928080.0,4644.0,8695878.0,FL,392.55,16524.0,75.0,5135513.0,2021-10-01 00:00:00,12.0,,1.0,,8083797.0,2022-09-30,2022
ADVENTHEALTH DAYTONA BEACH (100068),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,268.0,23262225.0,,120450.0,23567118.0,30119.0,154893127.0,,,14823181.0,174240015.0,17585427.0,2369706568.0,0.17499,13706584.0,178328160.0,240776035.0,414675097.0,18830.0,75440172.0,FL,2310.88,99998.0,330.0,18140344.0,2022-01-01 00:00:00,62.0,,2.0,,67349513.0,2022-12-31,2022
ADVENTHEALTH DELAND (100045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,118.0,7149910.0,,51830.0,7242238.0,9016.0,56694958.0,,,10231622.0,66249548.0,10106481.0,946025062.0,0.158184,6368820.0,57257845.0,113776330.0,149645584.0,7497.0,22567672.0,FL,728.43,33221.0,142.0,12043745.0,2022-01-01 00:00:00,24.0,,1.0,,19536036.0,2022-12-31,2022
ADVENTHEALTH DURAND (521307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,25.0,3498220.0,,9125.0,3342693.0,406.0,,,,155788.0,6757097.0,436818.0,24085922.0,0.616004,612616.0,6395751.0,1885274.0,14837028.0,155.0,,WI,78.93,522.0,25.0,376726.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
ADVENTHEALTH FISH MEMORIAL (100072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,221.0,6894375.0,,93805.0,6979308.0,13627.0,75089533.0,,,10027954.0,80444927.0,12988923.0,1054178633.0,0.17958,8474888.0,75201394.0,146988486.0,189309765.0,10097.0,29986901.0,FL,901.73,49075.0,257.0,12583690.0,2022-01-01 00:00:00,36.0,,2.0,,25667381.0,2022-12-31,2022
ADVENTHEALTH GORDON (110023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,61.0,9066079.0,,25185.0,9060347.0,5612.0,42745514.0,,,8711939.0,79893513.0,11248931.0,894034774.0,0.138003,9574728.0,50610510.0,94970023.0,123379906.0,3991.0,13976615.0,GA,872.64,21259.0,69.0,10528780.0,2022-01-01 00:00:00,8.0,,2.0,106415.0,12190095.0,2022-12-31,2022
ADVENTHEALTH HENDERSONVILLE (340023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,59.0,21662939.0,,26645.0,21925942.0,5087.0,56967827.0,,,6377252.0,95583921.0,9025782.0,644626683.0,0.275535,10275617.0,60841957.0,57079796.0,177616892.0,4132.0,13224102.0,NC,970.72,19529.0,73.0,8916621.0,2022-01-01 00:00:00,14.0,,1.0,,11628011.0,2022-12-31,2022
ADVENTHEALTH MANCHESTER (180043),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,43.0,1538726.0,,17885.0,1543780.0,1907.0,22029488.0,,,851763.0,37866799.0,1914592.0,258191363.0,0.272355,13380844.0,35290662.0,81525890.0,70319778.0,1442.0,4019439.0,KY,334.5,7895.0,49.0,1400481.0,2021-10-01 00:00:00,6.0,,2.0,47322.0,4305297.0,2022-09-30,2022
ADVENTHEALTH MURRAY (110050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,29.0,1291473.0,,10585.0,1270655.0,993.0,8545826.0,,,2540642.0,15084534.0,3546984.0,195672730.0,0.107914,1914508.0,3631514.0,34676916.0,21115880.0,775.0,2687939.0,GA,149.73,2794.0,29.0,3021002.0,2022-01-01 00:00:00,,,1.0,,2322904.0,2022-12-31,2022
ADVENTHEALTH NEW SMYRNA BEACH (100014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,95.0,9074135.0,,39785.0,9187514.0,7549.0,46838647.0,,,5787609.0,52342588.0,4619685.0,602593187.0,0.225961,2737786.0,32397331.0,44826496.0,136162269.0,6015.0,18233586.0,FL,587.34,27722.0,109.0,6894084.0,2022-01-01 00:00:00,14.0,,2.0,,14470608.0,2022-12-31,2022
ADVENTHEALTH OCALA (100062),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,329.0,15960592.0,,140525.0,16045580.0,16238.0,121985343.0,,,17817191.0,125230386.0,19762307.0,2753481680.0,0.127889,11606076.0,,477492776.0,352141293.0,18024.0,48426756.0,FL,1588.43,84663.0,385.0,20603514.0,2021-10-01 00:00:00,56.0,,1.0,,43006584.0,2022-09-30,2022
ADVENTHEALTH ORLANDO (100007),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2240.0,140883618.0,,999370.0,145565404.0,175206.0,1691028805.0,,,206177809.0,1813697538.0,172560266.0,27872188450.0,0.15469,273233078.0,1665337079.0,3727906663.0,4311537641.0,140787.0,502333562.0,FL,22858.0,799342.0,2738.0,234324774.0,2022-01-01 00:00:00,384.0,195.65,2.0,,451693260.0,2022-12-31,2022
ADVENTHEALTH OTTAWA (170014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,28.0,6102821.0,,13140.0,6029797.0,1743.0,16762368.0,,,1687807.0,21029611.0,3059195.0,289718559.0,0.159739,4152462.0,17761373.0,31844093.0,46279285.0,1149.0,6872598.0,KS,224.08,3765.0,36.0,2202158.0,2021-10-01 00:00:00,8.0,,2.0,81888.0,7835243.0,2022-09-30,2022
ADVENTHEALTH PALM COAST (100118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,81.0,12178575.0,,36135.0,12342511.0,15953.0,76329247.0,,,6958989.0,88591764.0,8365877.0,1107192913.0,0.180489,9033571.0,95664671.0,83866841.0,199835815.0,8847.0,43066736.0,FL,1060.95,47055.0,99.0,8625599.0,2022-01-01 00:00:00,18.0,,1.0,308862.0,37945575.0,2022-12-31,2022
ADVENTHEALTH ROLLINS BROOK (451323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,25.0,1109607.0,,9125.0,835633.0,1142.0,,,,2015376.0,5990688.0,2178976.0,71494045.0,0.26673,1849787.0,15065384.0,8213865.0,19069578.0,359.0,,TX,81.37,2870.0,25.0,2628728.0,2021-10-01 00:00:00,,,1.0,,,2022-09-30,2022
ADVENTHEALTH SEBRING (100109),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,182.0,16577120.0,,74460.0,17084710.0,18255.0,97557399.0,,,9364829.0,130817947.0,13747091.0,1485357732.0,0.163923,9589528.0,45575286.0,184107528.0,243483993.0,11297.0,44132675.0,FL,1409.36,56809.0,204.0,12004861.0,2022-01-01 00:00:00,22.0,15.85,2.0,,39702536.0,2022-12-31,2022
ADVENTHEALTH SHAWNEE MISSION (170104),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,253.0,31878407.0,,115705.0,32389039.0,15288.0,136163827.0,,,16612777.0,222831260.0,25852612.0,2667865279.0,0.145116,15150062.0,271568284.0,161626229.0,387149294.0,14785.0,46113003.0,KS,2526.29,68182.0,317.0,20473893.0,2022-01-01 00:00:00,64.0,,1.0,,40338178.0,2022-12-31,2022
ADVENTHEALTH SOUTH OVERLAND PARK (170208),General Short Term,Voluntary Nonprofit-Church,32.0,1957506.0,,14719.0,1952638.0,534.0,13801366.0,,,1392593.0,15320889.0,554148.0,156542015.0,0.319997,629142.0,4171150.0,7247200.0,50092937.0,968.0,2378550.0,KS,177.55,4896.0,41.0,1569952.0,2021-10-07 00:00:00,9.0,,1.0,,1953202.0,2022-09-30,2022
ADVENTHEALTH TAMPA (100173),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,486.0,16565660.0,,217540.0,16773605.0,26038.0,216800569.0,,,29974678.0,233349135.0,32952706.0,4092647385.0,0.145363,25047430.0,394276793.0,584059525.0,594917900.0,23944.0,62486009.0,FL,3335.9,132434.0,596.0,35179017.0,2022-01-01 00:00:00,110.0,3.8,1.0,,55922273.0,2022-12-31,2022
ADVENTHEALTH WATERMAN (100057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,248.0,17688156.0,,105120.0,17895910.0,23558.0,112613671.0,,,16800282.0,128979075.0,16040914.0,1785929870.0,0.173462,12894640.0,122952892.0,199309237.0,309791387.0,15189.0,59231327.0,FL,1534.0,69019.0,288.0,19836376.0,2022-01-01 00:00:00,,,1.0,,51700683.0,2022-12-31,2022
ADVENTHEALTH WAUCHULA (101300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,25.0,-331268.0,,9125.0,-437131.0,5002.0,,,,2189066.0,12855113.0,3253475.0,140189078.0,0.212415,2127114.0,62451382.0,30701160.0,29778269.0,105.0,,FL,119.75,8399.0,25.0,3049264.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
ADVENTHEALTH WESLEY CHAPEL (100319),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,145.0,10584850.0,,61685.0,10645635.0,10031.0,102508584.0,,,9957745.0,96736935.0,15257592.0,1938856589.0,0.148048,4430421.0,151821749.0,160038581.0,287044739.0,10861.0,27736204.0,FL,1227.0,42088.0,169.0,12404740.0,2022-01-01 00:00:00,24.0,,1.0,,23822674.0,2022-12-31,2022
ADVENTHEALTH ZEPHYRHILLS (100046),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,135.0,7449581.0,,54385.0,7522205.0,8988.0,68103128.0,,,13320544.0,78847021.0,8796527.0,1356256283.0,0.135881,8679294.0,64610229.0,175080911.0,184289331.0,9917.0,24633733.0,FL,888.0,42102.0,149.0,14724771.0,2022-01-01 00:00:00,14.0,,1.0,,21674914.0,2022-12-31,2022
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,98.0,7812309.0,,40150.0,7904695.0,5931.0,55356577.0,,,9841796.0,57004198.0,3248837.0,770246351.0,0.252728,12934480.0,22587965.0,151056125.0,194662812.0,5244.0,15830739.0,IL,544.06,22331.0,110.0,10763591.0,2022-01-01 00:00:00,12.0,,1.0,,14528222.0,2022-12-31,2022
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,112.0,3068519.0,,44530.0,3106134.0,6350.0,36082934.0,,,5381002.0,41256051.0,1926147.0,335967361.0,0.299187,14031259.0,6759317.0,112562994.0,100516922.0,4733.0,12708454.0,IL,401.14,22766.0,122.0,5997076.0,2022-01-01 00:00:00,10.0,,1.0,,11539749.0,2022-12-31,2022
ADVENTIST HEALTH AND RIDEOUT (050133),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,179.0,34318493.0,,76285.0,34569606.0,24321.0,158132407.0,,,6172335.0,157829038.0,18799754.0,1891276662.0,0.207617,95145293.0,223081197.0,576351434.0,392661299.0,10337.0,75807196.0,CA,1337.08,57473.0,209.0,10366591.0,2022-01-01 00:00:00,30.0,,2.0,,76313524.0,2022-12-31,2022
ADVENTIST HEALTH BAKERSFIELD (050455),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,211.0,26136708.0,,92710.0,26027386.0,14017.0,153577357.0,,,5445224.0,144858508.0,13905442.0,2682700110.0,0.157133,103091241.0,143727281.0,646389822.0,421541366.0,15848.0,44675268.0,CA,1315.51,67280.0,254.0,7896318.0,2022-01-01 00:00:00,43.0,,2.0,,41101282.0,2022-12-31,2022
ADVENTIST HEALTH CASTLE (120006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,152.0,10240937.0,,58400.0,10366648.0,6124.0,61786270.0,,,1561058.0,77179431.0,2873400.0,558523953.0,0.302369,34963715.0,113394038.0,107350189.0,168880479.0,6169.0,21039891.0,HI,800.14,26438.0,160.0,2438680.0,2022-01-01 00:00:00,8.0,,2.0,,19398452.0,2022-12-31,2022
ADVENTIST HEALTH CLEARLAKE (051317),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,21.0,12348238.0,,9125.0,10151132.0,2370.0,,,,3193761.0,56264739.0,11749430.0,401348766.0,0.450427,28626869.0,98223762.0,173017297.0,180778268.0,1136.0,,CA,409.37,5965.0,25.0,7925757.0,2022-01-01 00:00:00,4.0,,2.0,,,2022-12-31,2022
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,277.0,25271982.0,,117895.0,24626636.0,28208.0,171297351.0,,,5406972.0,172975134.0,14768721.0,3047591356.0,0.141866,120654595.0,267588058.0,769533049.0,432349436.0,15318.0,116786844.0,CA,1502.86,70091.0,323.0,8464510.0,2022-01-01 00:00:00,32.0,21.71,2.0,,110502029.0,2022-12-31,2022
ADVENTIST HEALTH HANFORD (050121),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,207.0,13570335.0,,85775.0,13231200.0,12171.0,114747834.0,,,7712651.0,107004029.0,13193002.0,1443085969.0,0.196452,149947688.0,292003380.0,621876061.0,283497203.0,9412.0,33854255.0,CA,963.02,46966.0,235.0,10519180.0,2022-01-01 00:00:00,28.0,16.38,1.0,,30301293.0,2022-12-31,2022
ADVENTIST HEALTH LODI MEMORIAL (050336),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,172.0,17348997.0,,67890.0,17232218.0,10242.0,83776583.0,,,4902020.0,82957004.0,12505937.0,1895591990.0,0.116912,42900119.0,187368175.0,583443881.0,221617631.0,7019.0,34111994.0,CA,694.71,32048.0,186.0,6630620.0,2022-01-01 00:00:00,10.0,,1.0,,31443045.0,2022-12-31,2022
ADVENTIST HEALTH MENDOCINO COAST (051325),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,21.0,14191368.0,,9125.0,16340395.0,2231.0,,,,485432.0,22215864.0,1478725.0,116074089.0,0.699406,3691444.0,22971128.0,23599004.0,81182924.0,708.0,,CA,250.71,4378.0,25.0,1049839.0,2022-01-01 00:00:00,4.0,,2.0,,,2022-12-31,2022
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,49.0,1628128.0,,17885.0,1537916.0,1371.0,45064531.0,,,6926726.0,58460662.0,3306558.0,384200392.0,0.505125,135680510.0,107997501.0,252709241.0,194069147.0,1587.0,1599325.0,CA,301.06,8695.0,49.0,8552018.0,2022-01-01 00:00:00,,,2.0,,1252490.0,2022-12-31,2022
ADVENTIST HEALTH SIMI VALLEY (050236),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,112.0,9938672.0,,52560.0,9938297.0,12449.0,81346209.0,,,3108718.0,74794683.0,6367542.0,1081402727.0,0.173376,29315036.0,142067071.0,208824623.0,187489509.0,7116.0,35869591.0,CA,646.02,32523.0,144.0,4343800.0,2022-01-01 00:00:00,24.0,,1.0,,32570528.0,2022-12-31,2022
ADVENTIST HEALTH ST. HELENA (050013),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,129.0,37748512.0,,47839.0,37873279.0,7562.0,68818359.0,,,1792198.0,80961101.0,3621432.0,1259195764.0,0.142493,36022626.0,108916400.0,206648827.0,179426060.0,3527.0,43188602.0,CA,639.11,20736.0,141.0,2493310.0,2022-01-01 00:00:00,12.0,,1.0,,45574464.0,2022-12-31,2022
