Hospital,Hospital type,Control type,Total Days,State,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,Cost of Uncompensated Care,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Payment amount (unadjusted),Medicaid charges,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Fiscal Year End Date,NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Fiscal Year Begin Date,Total Liabilities,Net Revenue from Medicaid,Total Salaries,Total Costs,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,HVBP payment adjustment amount,FTE Employees on Payroll,Total discharges,Total Bad Debt expense,IPPS Interim payment,"Donations, Land Improvements",Cost To Charge Ratio,REIMBURSEMENT SETTLEMENT: Interim payments,Total Charges,Total cost of charity care,NUMBER OF BEDS: Adults & Pediatrics,HAC reduction adjustment amount,FFY
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,45087.0,AZ,5751324.0,9501.0,3061770.0,179.0,63759567.0,24896072.0,301506921.0,,2017-04-30,20.0,65335.0,2016-05-01 00:00:00,14030804.0,35902723.0,64097545.0,151623635.0,829.7,1.0,-46498.0,,11502.0,17731464.0,22103923.0,,0.150482,5659769.0,1007586169.0,341624.0,159.0,96104.0,2016
ABROM KAPLAN MEMORIAL HOSPITAL (191322),General Short Term (Critical Access Hospitals),Governmental-County,1598.0,LA,1347217.0,1205.0,1681624.0,25.0,,,2492432.0,,2016-09-30,,9150.0,2015-10-01 00:00:00,1065788.0,1492930.0,4375520.0,12774238.0,85.32,2.0,,,220.0,2666329.0,,,0.630689,1439407.0,20254402.0,,25.0,,2016
ACADIA ABILENE PSYCH CENTER (454098),Psychiatric,Proprietary-Corporation,16639.0,TX,65781.0,2255.0,,92.0,,,,,2016-12-01,,30912.0,2016-01-01 00:00:00,-7957620.0,,5508698.0,9181328.0,124.5,1.0,,,1899.0,,,,,64463.0,24101860.0,,92.0,,2016
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10747.0,LA,5074148.0,5536.0,2433038.0,137.0,15218077.0,8963078.0,14375132.0,,2016-09-30,4.0,50142.0,2015-10-01 00:00:00,3806136.0,3113880.0,13888678.0,36457504.0,270.12,1.0,-25444.0,,2308.0,7832049.0,9158722.0,,0.288564,4971178.0,126341155.0,135237.0,133.0,,2016
ACADIA GREENLEAF HOSPITAL (114036),Psychiatric,Proprietary-Corporation,23997.0,GA,281226.0,10718.0,,73.0,,,,,2016-12-31,,26718.0,2016-01-01 00:00:00,-1113623.0,,6697772.0,11007536.0,142.71,1.0,,,2759.0,,,,,275599.0,40409821.0,,73.0,,2016
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,24249.0,ME,1640752.0,5382.0,,68.0,,,,,2017-09-30,,25228.0,2016-09-25 00:00:00,22803279.0,,30775314.0,44321615.0,500.8,1.0,,,1616.0,,,,,1707526.0,90795430.0,,68.0,,2016
ACADIA SONORA BEHAVIORAL HOSPITAL (034022),Psychiatric,Proprietary-Corporation,22140.0,AZ,111736.0,1706.0,,82.0,,,,,2016-12-31,,30012.0,2016-01-01 00:00:00,1187425.0,,10292012.0,15507028.0,147.81,1.0,,,2873.0,,,,,109501.0,31639501.0,,82.0,,2016
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,3370.0,LA,2198797.0,3342.0,563240.0,15.0,4545735.0,,1035950.0,,2017-06-30,,5475.0,2016-07-01 00:00:00,4597231.0,741612.0,4361891.0,12881714.0,75.84,2.0,,,33.0,915304.0,,,1.01841,2390844.0,12648848.0,,15.0,,2016
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,18603.0,LA,,2875.0,,54.0,,,,,2016-11-30,,19764.0,2015-12-01 00:00:00,12357399.0,,6064167.0,10779312.0,127.24,1.0,,,2088.0,,,,,,22349040.0,,54.0,,2016
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,6207.0,TX,228286.0,4973.0,,149.0,2692181.0,,,,2016-12-31,,54534.0,2016-01-01 00:00:00,5409029.0,,3127733.0,8584067.0,62.01,1.0,,,542.0,,,,,223721.0,15289103.0,,149.0,,2016
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,11888.0,OH,,6342.0,,52.0,,,,,2016-12-31,,19032.0,2016-01-01 00:00:00,4031444.0,,3431133.0,6279978.0,65.94,1.0,,,793.0,,,,,,23181600.0,,52.0,,2016
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,11613.0,NJ,1500.0,8841.0,,50.0,,,,,2017-08-31,,18250.0,2016-09-01 00:00:00,15991277.0,,13034467.0,20809340.0,136.23,1.0,,,336.0,,,,,1470.0,129732745.0,,50.0,,2016
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,27.0,NM,1617994.0,9.0,,6.0,6109600.0,61706.0,,,2016-09-30,,2196.0,2015-10-01 00:00:00,,,9886670.0,11895926.0,225.0,2.0,,,13.0,,43859.0,,,1546992.0,154647.0,,6.0,,2016
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,7470.0,TX,958.0,4876.0,,30.0,,,,,2017-08-31,,10950.0,2016-09-01 00:00:00,10475738.0,,6619818.0,15242418.0,105.63,1.0,,,294.0,,,,,939.0,43471451.0,,30.0,,2016
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,9513.0,NJ,4986.0,7544.0,,30.0,,,,,2017-08-31,,10950.0,2016-09-01 00:00:00,4063007.0,,8912907.0,19521854.0,108.48,1.0,,,339.0,,,,,4957.0,141427231.0,,30.0,,2016
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,16682.0,OH,989.0,10470.0,,72.0,,,,,2017-08-31,,26280.0,2016-09-01 00:00:00,9625494.0,,10695247.0,24531803.0,156.11,1.0,,,611.0,,,,,970.0,112911534.0,,72.0,,2016
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,4444.0,OH,,2228.0,,30.0,,,,,2016-09-30,,10980.0,2015-10-01 00:00:00,357961.0,,3141591.0,6426477.0,48.74,1.0,,,159.0,,,,,,14285812.0,,30.0,,2016
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5523.0,OK,520881.0,3562.0,305277.0,30.0,5970876.0,4297339.0,8055383.0,,2017-06-30,,10950.0,2016-07-01 00:00:00,744954.0,,12338033.0,14249724.0,184.55,2.0,,,1423.0,639932.0,4205412.0,,0.518472,508488.0,27484061.0,27210.0,30.0,,2016
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,347.0,IA,2608896.0,275.0,282587.0,25.0,,,2211339.0,,2017-06-30,,9125.0,2016-07-01 00:00:00,14801522.0,1659495.0,4431933.0,12196488.0,64.69,2.0,,,68.0,289511.0,,,0.823896,2684093.0,14803426.0,44060.0,25.0,,2016
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,4312.0,OH,2386343.0,2818.0,1205418.0,25.0,,,16437243.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,38026246.0,3864466.0,7929472.0,20725959.0,181.63,2.0,,,813.0,2831858.0,,,0.356958,3238209.0,58062817.0,203456.0,25.0,,2016
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,5086.0,IN,3321972.0,2064.0,1920468.0,25.0,,,9464322.0,,2016-12-31,4.0,9150.0,2016-01-01 00:00:00,37932051.0,1716993.0,25035880.0,40581166.0,484.76,1.0,,,1597.0,3920368.0,,,0.47288,3083283.0,85817121.0,84433.0,21.0,,2016
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,38521.0,MA,1898223.0,18648.0,1463829.0,114.0,17484701.0,21207657.0,23637139.0,,2016-09-30,,41724.0,2015-10-01 00:00:00,8245424.0,7686309.0,17074375.0,29787534.0,341.74,1.0,,,5946.0,3838822.0,19947483.0,,0.419209,1916566.0,71056469.0,,114.0,,2016
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,34361.0,OH,32576588.0,13259.0,7098089.0,189.0,80280641.0,38454252.0,229877253.0,,2016-12-31,12.0,69174.0,2016-01-01 00:00:00,40727689.0,39139935.0,80275886.0,255014448.0,1875.89,2.0,14462.0,35.69,8786.0,13481842.0,33108710.0,,0.253328,33046462.0,1006656268.0,3433360.0,177.0,375137.0,2016
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,7724.0,NY,8260634.0,3175.0,1162078.0,83.0,36241573.0,8664763.0,33120298.0,,2016-12-31,8.0,30378.0,2016-01-01 00:00:00,37789087.0,8025153.0,44913110.0,83144551.0,561.5,2.0,42748.0,,1940.0,2634889.0,9175628.0,,0.404075,8318806.0,205765363.0,126746.0,75.0,,2016
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,24753.0,PR,97888.0,152.0,,78.0,48549228.0,1360656.0,,,2017-06-30,78.0,28470.0,2016-07-01 00:00:00,583813194.0,,74787339.0,153079997.0,1241.12,1.0,,,1841.0,,497340.0,,0.914148,95933.0,167456523.0,,,,2016
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,5220.0,NM,12416.0,2352.0,,20.0,,,,,2017-02-28,,7300.0,2016-03-01 00:00:00,97732404.0,,3335809.0,7914643.0,47.65,1.0,,,232.0,,,,,12168.0,17106146.0,,20.0,,2016
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,3331.0,AR,,2218.0,,26.0,2025631.0,,,,2017-08-31,,9516.0,2016-09-01 00:00:00,715388.0,,2025631.0,5739535.0,31.76,1.0,,,134.0,,,,,,13830381.0,,26.0,,2016
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,4532.0,AR,,3014.0,,25.0,2951679.0,,,,2017-08-31,,9125.0,2016-09-01 00:00:00,628262.0,,2951679.0,7977416.0,34.18,1.0,,,195.0,,,,,,21018491.0,,25.0,,2016
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,9819.0,MT,7093.0,5404.0,,40.0,,,,,2017-08-31,,14600.0,2016-09-01 00:00:00,201810468.0,,8061189.0,14659511.0,131.42,1.0,,,363.0,,,,,6951.0,29484399.0,,40.0,,2016
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,5403.0,AR,,4120.0,,27.0,,,,,2016-09-30,,9882.0,2015-10-01 00:00:00,856818.0,,3077320.0,6979017.0,54.6,2.0,,,204.0,,,,,,27287861.0,,27.0,,2016
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,7913.0,OH,881.0,3302.0,,40.0,,,,,2017-02-28,,14600.0,2016-03-01 00:00:00,-780772.0,,3813998.0,12280792.0,63.56,1.0,,1.79,299.0,,,,,833.0,34440593.0,,40.0,,2016
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Partnership,1351.0,PA,561457.0,420.0,71024.0,14.0,4960645.0,2082182.0,83907.0,,2016-12-31,,5124.0,2016-01-01 00:00:00,1361622.0,9041.0,4669909.0,16776031.0,80.51,1.0,25122.0,,620.0,264223.0,1822249.0,,0.268805,549869.0,62409775.0,,14.0,,2016
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,29104.0,MD,74687.0,4913.0,,107.0,,,,,2016-12-31,,39162.0,2016-01-01 00:00:00,11825599.0,,26932367.0,25345272.0,355.18,1.0,,1.07,3841.0,,,,,73195.0,38554384.0,,107.0,,2016
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,22542.0,IL,8566646.0,7073.0,3910359.0,114.0,42837504.0,16868545.0,105096951.0,,2016-12-31,12.0,41724.0,2016-01-01 00:00:00,101035963.0,13506201.0,38995781.0,126878915.0,525.84,1.0,-8943.0,,5756.0,8022689.0,15138451.0,,0.253402,8617933.0,500702657.0,1817665.0,102.0,,2016
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,24971.0,IL,2446605.0,7369.0,3861650.0,127.0,31654429.0,13814898.0,82684816.0,,2016-12-31,10.0,46482.0,2016-01-01 00:00:00,24856768.0,28202017.0,34951991.0,77003409.0,460.85,1.0,6140.0,,5078.0,3329955.0,12608999.0,,0.306913,2520468.0,250896866.0,2815855.0,117.0,,2016
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,82939.0,CA,15608943.0,35686.0,14992772.0,323.0,151685002.0,104398765.0,588586820.0,,2016-12-31,,118218.0,2016-01-01 00:00:00,246154924.0,57280429.0,155161099.0,330687563.0,2018.44,1.0,178621.0,21.8,19014.0,6469179.0,96947876.0,,0.142079,15949128.0,2327491401.0,13747498.0,277.0,,2016
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,8577.0,CA,1424965.0,814.0,4834746.0,49.0,21820631.0,2263707.0,175748599.0,,2016-12-31,,17934.0,2016-01-01 00:00:00,89937130.0,102415161.0,47710489.0,171694075.0,231.42,2.0,-664.0,10.09,1939.0,2509434.0,1925878.0,,0.612259,1497352.0,280427263.0,3364956.0,49.0,17837.0,2016
ADVENTIST HINSDALE HOSPITAL (140122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,48762.0,IL,23501022.0,14536.0,4285363.0,244.0,90178567.0,37472234.0,76069140.0,,2016-12-31,58.0,89304.0,2016-01-01 00:00:00,253895284.0,10633381.0,93092309.0,271993013.0,1416.51,1.0,239330.0,27.42,10766.0,8063075.0,32809071.0,,0.276904,23068586.0,982262972.0,2023415.0,186.0,,2016
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,32797.0,IL,11672314.0,17956.0,4038605.0,160.0,58763452.0,40850885.0,53412895.0,,2016-12-31,27.0,58560.0,2016-01-01 00:00:00,162258822.0,9793845.0,55587826.0,157888853.0,732.66,1.0,215547.0,19.3,7541.0,4866625.0,36109511.0,,0.266648,11545513.0,592125493.0,2701873.0,133.0,,2016
ADVENTIST MEDICAL CENTER (050121),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,49554.0,CA,11523313.0,18657.0,12064655.0,230.0,92788291.0,46348877.0,360845147.0,,2016-12-31,22.0,85350.0,2016-01-01 00:00:00,241839851.0,57107995.0,91261634.0,215710233.0,1266.89,1.0,-129713.0,3.0,11534.0,11974675.0,40224013.0,,0.206609,11911196.0,1044049427.0,9351683.0,208.0,458130.0,2016
ADVENTIST MEDICAL CENTER-PORTLAND (380060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,30501.0,OR,8753738.0,7036.0,7422427.0,168.0,77918849.0,27585614.0,154811497.0,,2016-12-31,12.0,61488.0,2016-01-01 00:00:00,97644592.0,32726331.0,123182966.0,188193997.0,1313.67,1.0,120471.0,,8972.0,5408406.0,25152560.0,,0.238912,8680228.0,787712163.0,6004943.0,156.0,,2016
ADVENTIST REHAB. HOSPT. OF MD (213029),Rehabilitation,Voluntary Nonprofit-Church,26049.0,MD,,14882.0,,87.0,,,,,2016-12-31,,31842.0,2016-01-01 00:00:00,7727829.0,,25286569.0,41010740.0,352.74,1.0,,,1864.0,,,,,,71864713.0,,87.0,,2016
ADVOCATE BROMENN MEDICAL CENTER (140127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,31950.0,IL,7698315.0,11044.0,4616877.0,206.0,53524812.0,26763045.0,68441762.0,,2016-12-31,30.0,75396.0,2016-01-01 00:00:00,3588423000.0,16539847.0,56384582.0,126266438.0,907.68,1.0,108982.0,12.57,8012.0,5952854.0,23809774.0,,0.285197,7684473.0,442734066.0,2865513.0,176.0,,2016
ADVOCATE CHRIST HOSPITAL (140208),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,214697.0,IL,38126757.0,60383.0,29441308.0,679.0,320749099.0,204403181.0,807077202.0,,2016-12-31,175.0,248514.0,2016-01-01 00:00:00,3761414000.0,191218010.0,347259850.0,886280346.0,4740.0,1.0,29956.0,236.69,39880.0,52100979.0,184713538.0,,0.262294,37236072.0,3378961582.0,15374511.0,504.0,,2016
ADVOCATE EUREKA HOSPITAL (141309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,1225.0,IL,2320299.0,834.0,627772.0,25.0,,,3771035.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,3588423000.0,1732309.0,5660194.0,12677009.0,87.49,1.0,,,142.0,476000.0,,,0.502306,2193757.0,25237629.0,411834.0,25.0,,2016
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,57744.0,IL,20365365.0,23028.0,9301002.0,288.0,111487654.0,60858290.0,163404554.0,,2016-12-31,61.0,105408.0,2016-01-01 00:00:00,3588423000.0,24648322.0,118305646.0,297808120.0,1572.0,1.0,123087.0,,14447.0,14836997.0,53647228.0,,0.23013,20269480.0,1294083844.0,5745307.0,227.0,,2016
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,138438.0,IL,32893039.0,41908.0,19555961.0,530.0,213164378.0,129507288.0,371651376.0,,2016-12-31,29.0,193980.0,2016-01-01 00:00:00,3588423000.0,48725600.0,242123068.0,550996912.0,3240.81,1.0,58528.0,213.4,26235.0,21083000.0,117860708.0,,0.245211,32213129.0,2247028645.0,14133435.0,415.0,,2016
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,55635.0,IL,15853031.0,10617.0,14661043.0,254.0,113368831.0,47697266.0,316177696.0,,2016-12-31,74.0,92939.0,2016-01-01 00:00:00,81361000.0,98797231.0,138251553.0,305100723.0,2014.0,1.0,-124405.0,176.85,13085.0,23989248.0,44051522.0,,0.214099,15992550.0,1425046195.0,9181607.0,137.0,,2016
ADVOCATE SHERMAN HOSPITAL (140030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,61598.0,IL,24206217.0,24038.0,10545951.0,255.0,98234100.0,55170064.0,185776210.0,,2016-12-31,30.0,93330.0,2016-01-01 00:00:00,331110000.0,33889033.0,98152004.0,252984334.0,1337.39,1.0,182687.0,,16526.0,22030542.0,49444902.0,,0.189511,24004536.0,1334932958.0,6127490.0,225.0,,2016
ADVOCATE TRINITY HOSPITAL (140048),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,37263.0,IL,4941525.0,11342.0,6266104.0,193.0,54573540.0,26710050.0,173978171.0,,2016-12-31,30.0,70638.0,2016-01-01 00:00:00,3588423000.0,25650834.0,53874840.0,130243923.0,813.0,1.0,-65804.0,,8645.0,13507906.0,23642167.0,,0.245856,5182281.0,529756783.0,2749435.0,163.0,66897.0,2016
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,19004.0,OH,4615249.0,5959.0,1514705.0,107.0,31101250.0,16132343.0,87831941.0,,2017-06-30,21.0,39055.0,2016-07-01 00:00:00,9435124.0,9281742.0,33046846.0,85642056.0,519.85,1.0,27678.0,17.88,4246.0,7854633.0,14154247.0,,0.17864,4632512.0,479412004.0,20790.0,86.0,,2016
AIKEN REGIONAL MEDICAL CENTER (420082),General Short Term (Acute Care Hospitals),Proprietary-Corporation,46638.0,SC,11847479.0,18287.0,10047357.0,197.0,52018765.0,35767114.0,170031765.0,,2016-12-31,22.0,69042.0,2016-01-01 00:00:00,-92109143.0,26175658.0,54169066.0,143880913.0,951.64,1.0,-240187.0,4.77,10179.0,28255997.0,31802996.0,,0.154389,11561684.0,931934740.0,5387518.0,175.0,271936.0,2016
AKRON GENERAL MEDICAL CENTER (360027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,100845.0,OH,31207332.0,30989.0,6404008.0,361.0,172667920.0,82205285.0,445130555.0,,2016-12-31,32.0,132080.0,2016-01-01 00:00:00,277104936.0,71960535.0,210617606.0,425036108.0,3467.46,1.0,22413.0,133.02,22031.0,25717692.0,74571536.0,,0.179154,30966399.0,2372465447.0,1416134.0,293.0,786613.0,2016
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,37162.0,NC,16062309.0,10049.0,18799136.0,182.0,68777529.0,25595823.0,82444746.0,,2016-09-30,32.0,66612.0,2015-10-01 00:00:00,28795308.0,17490461.0,81078096.0,200792278.0,1333.0,1.0,-52945.0,,9717.0,27022666.0,22534108.0,,0.328521,16034141.0,611201030.0,9862546.0,150.0,,2016
ALAMEDA HEALTH SYSTEM (050320),General Short Term (Acute Care Hospitals),Governmental-County,54515.0,CA,16062800.0,9869.0,77659568.0,144.0,197378717.0,49293989.0,1107546854.0,,2017-06-30,32.0,52560.0,2016-07-01 00:00:00,786984564.0,204010131.0,276839967.0,586851718.0,2137.21,1.0,-169170.0,120.44,10241.0,69481608.0,49379052.0,,0.286031,16318643.0,2051708306.0,57645543.0,112.0,91678.0,2016
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,11727.0,CA,5881371.0,5704.0,4760126.0,36.0,37327648.0,15610880.0,143149991.0,,2017-06-30,,13140.0,2016-07-01 00:00:00,786984562.0,31057736.0,49947802.0,124479636.0,365.09,1.0,-35766.0,,2240.0,2995257.0,14182582.0,,0.313753,6001724.0,396744588.0,3713983.0,31.0,,2016
ALASKA NATIVE MEDICAL CENTER (020026),General Short Term (Acute Care Hospitals),Governmental- Federal,38687.0,AK,17357175.0,9074.0,,152.0,107735996.0,33565411.0,,,2016-09-30,,55633.0,2015-10-01 00:00:00,,,168889211.0,323300950.0,3067.0,1.0,-35159.0,,7320.0,,30999304.0,,,17712913.0,4570642.0,,152.0,,2016
