Hospital,Hospital type,Control type,IPPS Payment amount (unadjusted),Total Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C8_14),S10 DATA: Cost of Uncompensated Care (S10_C1_30),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,HVBP payment adjustment amount,Total Salaries,State,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Interim payment,S10 DATA: Net Revenue from Medicaid (S10_C1_2),S10 DATA: Cost of charity care (S10_C3_23),NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Total Charges,Total Costs,S10 DATA: Total Bad Debt expense (S10_C1_26),REIMBURSEMENT SETTLEMENT: Interim payments,Total Inpatient DaysOutpatient Visits: Total Facility FTEs (S3_1_C9_27),Total Inpatient DaysOutpatient Visits: Total discharges (S3_1_C15_14),Medicare Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C6_14),S10 DATA: Medicaid charges (S10_C1_6),S10 DATA: Cost To Charge Ratio (S10_C1_1),Total Liabilities,Fiscal Year Begin Date,Fiscal Year End Date,Beginning FFY
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,2930.0,137275.0,,,,,3972245.0,LA,2589648.0,25.0,4162912.0,,825136.0,,,9125.0,16659279.0,12865781.0,720000.0,2862905.0,,83.0,2834.0,1013177.0,0.772289,1149083.0,2013-07-01 00:00:00,2014-06-30,2013
ACADIA VERMILION HOSPITAL (194044),Psychiatric,Proprietary-Corporation,,18382.0,,,,,,6024255.0,LA,15282.0,54.0,,,,,,19710.0,22239860.0,9462364.0,,15283.0,,2254.0,4297.0,,,5419126.0,2012-12-01 00:00:00,2013-11-30,2013
ACCEL REHABILITATION HOSPITAL PLANO (673055),Rehabilitation,Proprietary-Corporation,,5308.0,,,,,,2645704.0,TX,,149.0,2358257.0,,,,,53938.0,11471629.0,6870621.0,,,,412.0,4495.0,,,4350134.0,2013-01-04 00:00:00,2013-12-31,2013
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Partnership,,,,,,,,,OH,,,,,,,,,,,,,,,,,,,2012-11-20 00:00:00,2012-12-31,2013
ACCESS HOSPITAL DAYTON (364050),Psychiatric,Proprietary-Other,,6593.0,,,,,,2346724.0,OH,,52.0,2698514.0,,,,,15808.0,8184550.0,3726714.0,,,,475.0,3293.0,,,6465918.0,2013-01-01 00:00:00,2013-12-31,2013
ACHS CENTRAL JERSEY (312017),General Long Term,Proprietary-Corporation,,10233.0,,,,,,9811234.0,NJ,10519.0,50.0,,,,,,18250.0,97344863.0,17462578.0,,10316.0,,318.0,8101.0,,,10968265.0,2013-01-01 00:00:00,2013-12-31,2013
ACOMA CANONCITO LAGUNA HOSPITAL (320070),General Short Term (Acute Care Hospitals),Governmental- Federal,689528.0,985.0,,,,,,9598328.0,NM,1091028.0,6.0,5745517.0,785921.0,,,,2190.0,215845.0,11659878.0,,1327301.0,,249.0,387.0,,,,2012-10-01 00:00:00,2013-09-30,2013
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,9843.0,,,,,,7367167.0,TX,2652.0,30.0,,,,,,10950.0,53666118.0,16508663.0,,2600.0,,321.0,6385.0,,,9709788.0,2013-06-01 00:00:00,2014-05-31,2013
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),General Long Term,Proprietary-Partnership,,9365.0,,,,,,8212948.0,NJ,83.0,30.0,,,,,,10950.0,131061451.0,19559247.0,,81.0,,304.0,6618.0,,,3645708.0,2013-09-01 00:00:00,2014-08-31,2013
ACUITY SPECIALTY HOSPITAL (362035),General Long Term,Proprietary-Partnership,,20261.0,,,,,,11241141.0,OH,14622.0,72.0,,,,,,26280.0,121265325.0,26369470.0,,14418.0,,804.0,14180.0,,,5318824.0,2013-01-01 00:00:00,2013-12-31,2013
ACUTE CARE SPECIALTY HOSPITAL (362032),General Long Term,Voluntary Nonprofit-Other,,4647.0,,,,,,3405158.0,OH,,30.0,3405158.0,,,,,10950.0,13956096.0,7021543.0,,,,177.0,2066.0,,,2647323.0,2012-10-01 00:00:00,2013-09-30,2013
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4274635.0,5418.0,,,,,-4762.0,11637759.0,OK,487340.0,30.0,5527587.0,4111715.0,,,,10950.0,23562641.0,11710346.0,,472216.0,,1454.0,3267.0,,,,2013-07-01 00:00:00,2014-06-30,2013
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,518.0,338626.0,,,,,4292585.0,IA,1930782.0,25.0,,,1170507.0,44519.0,,9125.0,11078855.0,10023604.0,325070.0,1818551.0,,98.0,470.0,1416678.0,0.904751,10936273.0,2013-07-01 00:00:00,2014-06-30,2013
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),General Short Term (Critical Access Hospitals),Governmental-County,,3097.0,2553301.0,,,,,9644477.0,OH,2852778.0,25.0,,,2616406.0,1266946.0,,9125.0,49271396.0,21532957.0,3286988.0,3335090.0,,784.0,1785.0,10367697.0,0.437028,32965017.0,2013-01-01 00:00:00,2013-12-31,2013
ADAMS MEMORIAL HOSPITAL (151330),General Short Term (Critical Access Hospitals),Governmental-County,,5745.0,2158013.0,,,,,18967413.0,IN,2130879.0,25.0,,,1929565.0,76330.0,4.0,9125.0,82013620.0,35633797.0,4954777.0,2240153.0,,1524.0,2497.0,6556731.0,0.434486,42282630.0,2013-01-01 00:00:00,2013-12-31,2013
ADCARE HOSPITAL OF WORCESTER (220062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21684902.0,36986.0,848881.0,,,,,15363912.0,MA,1729908.0,114.0,15586453.0,20558427.0,6438175.0,73320.0,,41610.0,57659309.0,28584555.0,3012000.0,1723105.0,,6300.0,19594.0,16217282.0,0.495749,9185371.0,2012-10-01 00:00:00,2013-09-30,2013
ADENA REGIONAL MEDICAL CENTER (360159),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,37237580.0,37749.0,6504931.0,,,,77723.0,148282517.0,OH,19825126.0,196.0,66883853.0,33501056.0,27689877.0,2652814.0,12.0,72763.0,751073976.0,174142637.0,17619660.0,19683753.0,,11482.0,14572.0,130507229.0,0.231858,222705081.0,2013-01-01 00:00:00,2013-12-31,2013
ADIRONDACK MEDICAL CENTER (330079),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9990916.0,10701.0,1406960.0,,,,9790.0,40531721.0,NY,6945497.0,83.0,33579275.0,10048537.0,6282379.0,30445.0,8.0,30295.0,160892950.0,75071017.0,3255968.0,6905544.0,,2368.0,5078.0,19931753.0,0.46659,30753579.0,2013-01-01 00:00:00,2013-12-31,2013
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1676139.0,23842.0,,,,,,87517597.0,PR,164053.0,79.0,43504794.0,1962040.0,,,79.0,28835.0,124949216.0,115931392.0,,160773.0,,1797.0,903.0,,,454098357.0,2013-07-01 00:00:00,2014-06-30,2013
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),General Long Term,Proprietary-Corporation,,5831.0,,,,,,3597209.0,NM,190.0,20.0,,,,,,7300.0,20888791.0,9375704.0,,186.0,,215.0,3357.0,,,91761855.0,2013-03-01 00:00:00,2014-02-28,2013
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,1067.0,,,,,,559912.0,AR,,27.0,,,,,,2484.0,3721451.0,1425433.0,,,,48.0,660.0,,,1653022.0,2012-10-01 00:00:00,2012-12-31,2013
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,2942.0,,,,,,1400971.0,AR,,27.0,,,,,,6561.0,9974116.0,3713776.0,,,,118.0,2475.0,,,1387620.0,2013-01-01 00:00:00,2013-08-31,2013
ADVANCE CARE HOSPITAL (042004),General Long Term,Voluntary Nonprofit-Church,,4164.0,,,,,,2224582.0,AR,,27.0,,,,,,9855.0,13934613.0,5785239.0,,,,158.0,2829.0,,,1453390.0,2013-09-01 00:00:00,2014-08-31,2013
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,622.0,,,,,,261467.0,AR,,25.0,,,,,,775.0,2509060.0,590132.0,,,,23.0,584.0,,,1356793.0,2012-12-01 00:00:00,2012-12-31,2013
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,4396.0,,,,,,1938280.0,AR,,25.0,,,,,,6075.0,16460438.0,5166067.0,,,,164.0,3067.0,,,1313185.0,2013-01-01 00:00:00,2013-08-31,2013
ADVANCE CARE HOSPITAL (042008),General Long Term,Voluntary Nonprofit-Church,,6698.0,,,,,,2929194.0,AR,1192.0,25.0,,,,,,9125.0,24102095.0,8257598.0,,1168.0,,246.0,4437.0,,,893181.0,2013-09-01 00:00:00,2014-08-31,2013
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,10719.0,,,,,,7507550.0,MT,,40.0,,,,,,14600.0,30612289.0,15016403.0,,,,405.0,5513.0,,,147825428.0,2013-09-01 00:00:00,2014-08-31,2013
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),General Long Term,Proprietary-Other,,5160.0,,,,,,2833549.0,AR,,27.0,,,,,,9855.0,27337119.0,6685897.0,,,,179.0,4108.0,,,679606.0,2012-10-01 00:00:00,2013-09-30,2013
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),General Long Term,Proprietary-Partnership,,9152.0,,,,,,4791217.0,OH,2451.0,40.0,,,,,,14600.0,35772884.0,12516234.0,,2442.0,1.0,364.0,4365.0,,,2532001.0,2013-03-01 00:00:00,2014-02-28,2013
ADVANCED SPECIALTY OF GREENBRIAR (363032),Rehabilitation,Proprietary-Corporation,,2707.0,,,,,,830782.0,OH,,29.0,,,,,,10585.0,3703146.0,2681834.0,,,,251.0,1718.0,,,143581.0,2013-01-01 00:00:00,2013-12-31,2013
ADVANCED SURGICAL HOSPITAL (390323),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1096436.0,1312.0,,,,,5130.0,3780413.0,PA,644145.0,14.0,3997920.0,1137153.0,1430.0,,,5110.0,52838707.0,11951261.0,,633941.0,,455.0,290.0,26285.0,0.226184,1925786.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST BEHAVIORAL HEALTH (214013),Psychiatric,Voluntary Nonprofit-Church,,29785.0,-23383.0,,,,,23960611.0,MD,19124.0,107.0,14193965.0,,,,,39055.0,36317810.0,19262696.0,,19034.0,1.2,2764.0,6589.0,,0.530393,12775139.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST BOLINGBROOK HOSPITAL (140304),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,17847493.0,21577.0,5726516.0,,,,-6132.0,36151883.0,IL,4639161.0,138.0,37560445.0,16306790.0,4436226.0,4086838.0,12.0,50370.0,414207514.0,91807094.0,7945243.0,4752888.0,,5555.0,7819.0,76314083.0,0.221645,114439647.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST GLENOAKS HOSPITAL (140292),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,17089277.0,25004.0,4294372.0,,,,-11141.0,37018572.0,IL,2502070.0,124.0,30307883.0,15565829.0,6917011.0,3378069.0,10.0,45260.0,235618371.0,64108027.0,3917585.0,2608974.0,,4928.0,10318.0,63507964.0,0.272084,29372298.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST HEALTH GLENDALE (050239),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,106803812.0,83751.0,3686920.0,,,,25964.0,140279953.0,CA,13499682.0,370.0,136477308.0,100016557.0,31597923.0,1592386.0,10.0,134957.0,1996353153.0,360324709.0,7710921.0,13866672.0,20.25,17488.0,35839.0,351973710.0,0.180491,243797201.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST HEALTH REEDLEY (050192),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,2024033.0,6177.0,907039.0,,,,-2147.0,16969563.0,CA,782088.0,49.0,14395101.0,1799248.0,14487250.0,265416.0,,17885.0,126028719.0,40801957.0,2048725.0,770501.0,,2184.0,879.0,62357681.0,0.323751,47485223.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST HINSDALE HOSPITAL (140122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,43109920.0,48616.0,3783648.0,,,,-4310.0,106290362.0,IL,16594966.0,244.0,85925754.0,38624193.0,2951234.0,2550740.0,58.0,89060.0,927416868.0,235379195.0,5260683.0,16475501.0,26.54,11115.0,18276.0,62847554.0,0.253801,220999515.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,43671350.0,36780.0,4385680.0,,,,89007.0,60940510.0,IL,12417623.0,187.0,58069299.0,39599923.0,4098564.0,3376048.0,27.0,68255.0,574815868.0,134914224.0,4788393.0,12429153.0,19.63,8087.0,22563.0,37762658.0,0.234709,179207455.0,2012-11-01 00:00:00,2013-10-31,2013
ADVENTIST MEDICAL CENTER-PORTLAND (380060),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,27532003.0,31203.0,12670286.0,,,,-29463.0,125797961.0,OR,7126984.0,167.0,77892064.0,25408265.0,23692212.0,6063879.0,12.0,60955.0,690293994.0,206125367.0,21946801.0,7209058.0,,9859.0,7574.0,94195024.0,0.298605,87656460.0,2013-01-01 00:00:00,2013-12-31,2013
ADVENTIST REHAB. HOSPT. OF MD (213029),Rehabilitation,Voluntary Nonprofit-Church,,21978.0,-8617.0,,,,,18963227.0,MD,400.0,77.0,18642615.0,,,,,28105.0,59339818.0,32220182.0,,391.0,,1601.0,12586.0,,0.542977,7981288.0,2013-01-01 00:00:00,2013-12-31,2013
ADVOCATE CHRIST HOSPITAL (140208),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,214320300.0,189806.0,38837822.0,,,,333371.0,323435730.0,IL,32102443.0,603.0,296242438.0,196361488.0,127988716.0,26356637.0,140.0,220132.0,2730995326.0,758367622.0,47280774.0,31279058.0,223.83,37329.0,65615.0,522809235.0,0.277689,3145090000.0,2013-01-01 00:00:00,2013-12-31,2013
ADVOCATE EUREKA HOSPITAL (141309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,1569.0,757053.0,,,,,5336071.0,IL,2110580.0,23.0,,,1575816.0,433231.0,,8395.0,24502981.0,11600434.0,804000.0,2019996.0,,300.0,1261.0,2653847.0,0.473429,3360399000.0,2013-01-01 00:00:00,2013-12-31,2013
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,65184687.0,63646.0,15489945.0,,,,94439.0,123804215.0,IL,18197728.0,290.0,115704977.0,60130468.0,12308827.0,9474525.0,55.0,105850.0,1217960804.0,299359832.0,25244035.0,18124180.0,,15481.0,28698.0,87968068.0,0.245788,3145090000.0,2013-01-01 00:00:00,2013-12-31,2013
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,133912245.0,130689.0,23029267.0,,,,286509.0,232901205.0,IL,30968045.0,530.0,209889627.0,120747448.0,36950385.0,18334581.0,29.0,193450.0,1929299499.0,538474048.0,18548000.0,30288515.0,208.02,26317.0,44823.0,280601924.0,0.279103,3145090000.0,2013-01-01 00:00:00,2013-12-31,2013
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,52252103.0,59737.0,13509058.0,,,,60048.0,134447167.0,IL,14783369.0,266.0,112144624.0,48616629.0,73259719.0,11129305.0,67.0,97090.0,1267825973.0,275328836.0,13067093.0,14983480.0,180.5,14145.0,13505.0,269494157.0,0.217166,126715000.0,2013-01-01 00:00:00,2013-12-31,2013
ADVOCATE SHERMAN HOSPITAL (140030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,39070800.0,40388.0,7995037.0,,,,114369.0,68506289.0,IL,13415630.0,255.0,69188084.0,34977578.0,11959438.0,4628451.0,30.0,62475.0,794594063.0,179179153.0,15385790.0,13356809.0,,9711.0,17163.0,81763276.0,0.225498,369108000.0,2013-05-01 00:00:00,2013-12-31,2013
ADVOCATE TRINITY HOSPITAL (140048),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,36240810.0,43666.0,10624852.0,,,,49269.0,57576678.0,IL,5188221.0,187.0,58368552.0,32186808.0,16826178.0,6865200.0,24.0,68255.0,520251176.0,138522149.0,15609129.0,5500049.0,,11102.0,16172.0,111405327.0,0.26626,3145090000.0,2013-01-01 00:00:00,2013-12-31,2013
AFFINITY MEDICAL CENTER (360151),General Short Term (Acute Care Hospitals),Proprietary-Corporation,15756675.0,19731.0,2843286.0,,,,11141.0,33682002.0,OH,5178357.0,107.0,30511642.0,13900209.0,8160866.0,99118.0,21.0,39055.0,443019387.0,84812363.0,14642180.0,5083334.0,17.03,4377.0,6996.0,64340159.0,0.191442,96899906.0,2013-07-01 00:00:00,2014-06-30,2013
AIKEN REGIONAL MEDICAL CENTER (420082),General Short Term (Acute Care Hospitals),Proprietary-Corporation,33862455.0,45864.0,8383016.0,,,,-8693.0,51956148.0,SC,9430897.0,197.0,49145305.0,29923894.0,24586063.0,3221411.0,22.0,61860.0,634828211.0,133690408.0,25287910.0,9689086.0,5.11,10162.0,18928.0,128721918.0,0.210593,-27283124.0,2013-01-01 00:00:00,2013-12-31,2013
AKRON GENERAL MEDICAL CENTER (360027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,76319877.0,89043.0,18063030.0,,,,51379.0,186139857.0,OH,23392179.0,381.0,143102011.0,69176672.0,42024771.0,11182837.0,35.0,139228.0,1601353852.0,339969420.0,33314938.0,22747542.0,127.45,19953.0,29757.0,208905746.0,0.212301,338457188.0,2013-01-01 00:00:00,2013-12-31,2013
ALAMANCE REGIONAL MEDICAL CENTER (340070),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,23298633.0,31778.0,14835963.0,5410.0,,,,63343050.0,NC,11327910.0,182.0,55608413.0,21404777.0,12360496.0,9290964.0,32.0,49686.0,338564526.0,142740600.0,14111200.0,11527857.0,,8718.0,10878.0,39650618.0,0.421605,87195515.0,2013-01-01 00:00:00,2013-09-30,2013
ALAMEDA COUNTY MEDICAL CENTER (050320),General Short Term (Acute Care Hospitals),Governmental-County,32813961.0,48996.0,54185378.0,,,,-57679.0,229376053.0,CA,9058192.0,198.0,160110424.0,31880137.0,269799971.0,,20.0,72270.0,1298542026.0,488800499.0,144050530.0,8473036.0,111.59,10540.0,6287.0,792488238.0,0.376423,491047573.0,2013-07-01 00:00:00,2014-06-30,2013
ALAMEDA HOSPITAL (050211),General Short Term (Acute Care Hospitals),Governmental-Hospital District,13014650.0,8659.0,2314771.0,,,,-63740.0,36582214.0,CA,3901412.0,92.0,28443763.0,12079025.0,53605391.0,303339.0,,27876.0,270247763.0,70249687.0,7938532.0,3822520.0,,2024.0,4762.0,72278768.0,0.259945,24005919.0,2013-07-01 00:00:00,2014-04-30,2013
ALASKA NATIVE MEDICAL CENTER (020026),General Short Term (Acute Care Hospitals),Governmental- Federal,30266706.0,39602.0,,,,,-105748.0,134058437.0,AK,17079190.0,152.0,92628314.0,28194174.0,,,,55480.0,3921252.0,274241308.0,,13460372.0,,7311.0,8281.0,,,,2012-10-01 00:00:00,2013-09-30,2013
ALASKA PSYCHIATRIC INSTITUTE (024002),Psychiatric,Governmental-Hospital District,,21108.0,-24768.0,,,,,16279284.0,AK,15402.0,80.0,15970391.0,,,,,29200.0,27244518.0,30612809.0,,10679.0,,1607.0,3249.0,,1.123632,,2013-07-01 00:00:00,2014-06-30,2013
ALASKA REGIONAL HOSPITAL (020017),General Short Term (Acute Care Hospitals),Proprietary-Corporation,28890804.0,23863.0,3865279.0,,,,-1706.0,53651946.0,AK,4826942.0,138.0,50373745.0,26818631.0,15142450.0,2095841.0,22.0,50370.0,627223944.0,149230997.0,7706127.0,4819597.0,,5112.0,7957.0,65155000.0,0.237923,-345292123.0,2013-01-01 00:00:00,2013-12-31,2013
ALASKA SPECIALTY HOSPITAL  LLC (022001),General Long Term,Proprietary-Partnership,,11812.0,,,,,,15621955.0,AK,,60.0,,,,,,21900.0,75652503.0,36549170.0,,,,315.0,6491.0,,,26894591.0,2013-01-01 00:00:00,2013-12-31,2013
ALBANY AREA HOSPITAL (241331),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,903.0,378441.0,,,,,4899661.0,MN,1326777.0,17.0,,,674322.0,131934.0,,6205.0,15325511.0,11249619.0,345881.0,1440948.0,,173.0,605.0,1347318.0,0.734045,-4716313.0,2013-07-01 00:00:00,2014-06-30,2013
ALBANY MEDICAL CENTER HOSPITAL (330013),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,143194919.0,185486.0,10448468.0,,,,-26234.0,239273791.0,NY,19638400.0,624.0,207976323.0,133143630.0,102755509.0,6965438.0,52.0,227760.0,2467189385.0,627973395.0,13948740.0,19268413.0,335.13,30802.0,52977.0,476894631.0,0.25453,574324019.0,2013-01-01 00:00:00,2013-12-31,2013
ALBANY MEMORIAL HOSPITAL (330003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5055413.0,9985.0,1699052.0,,,,-10892.0,18281049.0,NY,3267457.0,165.0,17540848.0,4512856.0,598182.0,489758.0,21.0,31675.0,124866812.0,39665292.0,3853229.0,3262702.0,,1630.0,3500.0,3011479.0,0.317661,19887332.0,2013-01-01 00:00:00,2013-06-30,2013
ALBANY MEMORIAL HOSPITAL (330003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11217387.0,17787.0,2649056.0,,,,-24058.0,38680471.0,NY,6608100.0,165.0,34133456.0,9061372.0,1458329.0,317963.0,21.0,60225.0,260700414.0,80262293.0,7761183.0,6470981.0,,3486.0,6832.0,6914677.0,0.307872,15912850.0,2013-07-01 00:00:00,2014-06-30,2013
ALBERT EINSTEIN MEDICAL CENTER (390142),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,120078922.0,104754.0,17815116.0,,,,17676.0,267980818.0,PA,23072998.0,407.0,207993225.0,112291217.0,131199898.0,10966736.0,32.0,148555.0,2907766632.0,499873368.0,42230216.0,23080425.0,356.88,23898.0,26537.0,833057346.0,0.17191,440939809.0,2013-07-01 00:00:00,2014-06-30,2013
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),Psychiatric,Governmental-State,,5134.0,,,,,,3312615.0,MN,,16.0,,,,,,5840.0,30804.0,4818328.0,,,,120.0,951.0,,,,2013-07-01 00:00:00,2014-06-30,2013
