PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010040,01-OCT-18,30-SEP-19,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,1159982,,,.1445,,,222,81030,20488,12082,61618,,985.9,,3947,2282,12898,,,,20,,344,
010044,01-OCT-18,30-SEP-19,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,12071,,,.0359,,,36,13140,2345,108,3133,,108.5,,259,35,479,,,,,,,
010045,01-OCT-18,30-SEP-19,As Submitted,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,14152,,,.0328,,,45,16425,2718,201,3839,,174.64,,310,65,693,,,,,,,
010051,01-OCT-18,30-SEP-19,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,12368,,,.12,,,20,7300,484,857,1764,,65.42,,105,170,355,,,,,,,
010055,01-OCT-18,30-SEP-19,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,794590,,,.085,,,235,85775,20779,7265,57206,,1069.2,,4221,1839,12538,,,,,,,
010058,01-OCT-18,30-SEP-19,As Submitted,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,21700,,,.12,,,25,9125,1801,350,3932,,123.78,,152,102,385,,,,,,,
010059,01-OCT-18,30-SEP-19,As Submitted,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,20843,,,.0741,,,43,15695,1436,105,2375,,104.32,,236,39,573,,,,,,,
010061,01-OCT-18,30-SEP-19,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,155344,,,.12,,,45,16060,4025,2796,10784,,359.61,,882,552,2622,,,,,,,
010062,01-OCT-18,30-SEP-19,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,44744,,,.1088,,,73,26645,1647,450,3502,,155.21,,337,139,805,12,,,33,,312,
010073,01-OCT-18,30-SEP-19,As Submitted,CLAY COUNTY HOSPITAL                    ,83825 HIGHWAY 9                         ,1270                                    ,ASHLAND                                 ,AL                                      ,36251                                   ,CLAY                                    ,,,,158540,,,.3085,,,46,16790,2229,1288,4712,,161.21,,404,281,927,,,,,,,
010078,01-OCT-18,30-SEP-19,As Submitted,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,1246779,,,.1613,,,272,99280,21186,14012,55893,,1284.39,,3964,2512,13011,,,,134,,737,
010083,01-OCT-18,30-SEP-19,As Submitted,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,775832,,,228159,,,.0597,327500,206017,112,40880,8507,3641,25994,10.02,627.52,,2031,678,5246,121,,,,,,
010087,01-OCT-18,30-SEP-19,As Submitted,USA HEALTH UNIVERSITY HOSPITAL          ,2451 FILLINGIM STREET                   ,,MOBILE                                  ,AL                                      ,36617                                   ,MOBILE                                  ,6118367,,,1054423,,,.2486,2708363,2374176,183,66795,10574,16010,58210,139.93,1618.79,,1694,2278,9928,,,,,,,
010092,01-OCT-18,30-SEP-19,As Submitted,DCH REGIONAL MEDICAL CENTER             ,809 UNIVERSITY BLVD EAST                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,3287513,,,3356388,,,.1844,1326686,743596,524,191260,48505,37225,146852,50.97,3336.25,,9218,8129,31491,,,,,38,2015,838
010095,01-OCT-18,30-SEP-19,As Submitted,HALE COUNTY HOSPITAL                    ,508 GREENE STREET                       ,,GREENSBORO                              ,AL                                      ,36744                                   ,HALE                                    ,,,,22587,,,.12,,,28,10220,1641,267,2666,,80.86,,167,89,380,,,,,,,
010099,01-OCT-18,30-SEP-19,As Submitted,D W MCMILLAN MEMORIAL HOSPITAL          ,1301 BELLEVILLE AVENUE                  ,908                                     ,BREWTON                                 ,AL                                      ,36427                                   ,ESCAMBIA                                ,,,,80683,,,.12,,,46,16790,2481,1530,6328,,184.23,,586,395,1586,,,,,,,
010102,01-OCT-18,30-SEP-19,As Submitted,JOHN PAUL JONES HOSPITAL                ,317 MCWILLIAMS AVENUE                   ,B                                       ,CAMDEN                                  ,AL                                      ,36726-1610                              ,WILCOX                                  ,,,,10856,,,.12,,,21,7665,293,86,504,,37.66,,92,35,180,,,,,,,
010109,01-OCT-18,30-SEP-19,As Submitted,PICKENS COUNTY MEDICAL CENTER           ,R.K. WILSON DRIVE                       ,,CARROLLTON                              ,AL                                      ,35477                                   ,PICKENS                                 ,,,,25464,,,.12,,,36,13140,1141,364,2105,,111.64,,187,100,484,,,,,,15,
010112,01-OCT-18,30-SEP-19,As Submitted,BRYAN W WHITFIELD MEMORIAL HOSPITAL     ,105 HIGHWAY 80 EAST                     ,,DEMOPOLIS                               ,AL                                      ,36732                                   ,MARENGO                                 ,,,,48825,,,.12,,,37,13505,2083,810,4949,,202.52,,339,295,1028,,,,111,,453,
010114,01-OCT-18,30-SEP-19,As Submitted,UAB MEDICAL WEST                        ,995 NINTH AVENUE  SOUTHWEST             ,847                                     ,BESSEMER                                ,AL                                      ,35023                                   ,JEFFERSON                               ,,,,278625,,,.0983,,,187,68255,7844,6004,32107,,987.52,,1535,1330,6652,,,,17,51,455,307
010120,01-OCT-18,30-SEP-19,As Submitted,MONROE COUNTY HOSPITAL                  ,2016 SOUTH ALABAMA AVENUE               ,886                                     ,MONROEVILLE                             ,AL                                      ,36461                                   ,MONROE                                  ,,,,37038,,,.12,,,49,17885,964,1126,2557,,198.15,,274,296,712,,,,,,,
010150,01-OCT-18,30-SEP-19,Amended,REGIONAL MEDICAL CTR OF CENTRAL AL      ,29 LV STABLER DRIVE                     ,,GREENVILLE                              ,AL                                      ,36037                                   ,BUTLER                                  ,,,,17660,24724,,.1033,,,44,16060,1234,451,3005,,133.09,,314,129,790,,,,,,190,
010169,01-OCT-18,30-SEP-19,As Submitted,ATMORE COMMUNITY HOSPITAL               ,401 MEDICAL PARK DRIVE                  ,,ATMORE                                  ,AL                                      ,36502                                   ,ESCAMBIA                                ,,,,61046,,,.1156,,,49,17885,2170,907,6378,,155.84,,412,182,1333,,,,,,,
011300,01-OCT-18,30-SEP-19,As Submitted,WASHINGTON COUNTY HOSPITAL              ,ST. STEPHENS AVENUE                     ,1299                                    ,CHATOM                                  ,AL                                      ,36518                                   ,WASHINGTON                              ,,,,,,,,,,15,5475,1519,123,2364,,79,,194,39,286,,,,,,,
011302,01-OCT-18,30-SEP-19,As Submitted,RED BAY HOSPITAL                        ,211 HOSPITAL ROAD                       ,490                                     ,RED BAY                                 ,AL                                      ,35582-                                  ,FRANKLIN                                ,,,,,,,,,,25,9125,1800,95,2431,,77.47,,249,37,393,,,,,,,
011306,09-JAN-19,30-JUN-19,As Submitted,TANNER MEDICAL CENTER ALABAMA  INC.     ,1032 MAIN STREET SOUTH                  ,,WEDOWEE                                 ,AL                                      ,36278                                   ,,,,,,,,,,,15,2595,449,13,581,,42.03,,74,7,120,,,,,,,
013301,01-OCT-18,30-SEP-19,As Submitted,USA CHILDRENS AND WOMENS HOSPITAL       ,1700 CENTER STREET                      ,,MOBILE                                  ,AL                                      ,36604                                   ,MOBILE                                  ,,,,,,,,,38301,248,90520,200,46329,61712,64.79,1009.35,,74,6960,9870,,,,,,,
014012,01-OCT-18,30-SEP-19,As Submitted,MARY S HARPER GERIATRIC PSYCH CEN       ,201 UNIVERSITY BOULEVARD                ,21231                                   ,TUSCALOOSA                              ,AL                                      ,35402-                                  ,TUSCALOOSA                              ,,,,,,,,,,126,45990,1220,13540,33750,,299.29,,38,75,140,,,,,,,
014014,01-OCT-18,30-SEP-19,Settled,BAYPOINTE BEHAVIORAL HEALTH             ,5800 SOUTHLAND DRIVE                    ,,MOBILE                                  ,AL                                      ,36693-3313                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014017,01-OCT-18,30-SEP-19,As Submitted,EASTPOINTE HOSPITAL                     ,7400 ROPER LANE                         ,,DAPHNE                                  ,AL                                      ,36526                                   ,BALDWIN                                 ,,,,,,,,,,66,24090,1475,,14271,,103,,97,,780,,,,,,,
021303,01-JUL-19,31-JUL-19,As Submitted,SITKA COMMUNITY HOSPITAL                ,209 MOLLER AVENUE                       ,,SITKA                                   ,AK                                      ,99835-                                  ,SITKA BOROUGH                           ,,,,,,,,,,12,348,,,,,90.84,,,,,,,,,,,
021305,01-NOV-18,30-SEP-19,As Submitted,WRANGELL MEDICAL CENTER                 ,310 BENNETT STREET                      ,1081                                    ,WRANGELL                                ,AK                                      ,99929-                                  ,,,,,,,,,,,8,2928,491,233,842,,52,,70,28,115,,,,,,,
021308,01-OCT-18,30-SEP-19,As Submitted,NORTON SOUND REGIONAL HOSPITAL          ,1000 GREG KRUSCHEK                      ,966                                     ,NOME                                    ,AK                                      ,99762-                                  ,NOME BOROUGH                            ,,,,,,,,,,18,6570,620,1392,2744,,704.2,,161,360,734,,,,,,,
021309,01-OCT-18,30-SEP-19,As Submitted,KANAKANAK HOSPITAL                      ,6000 KANAKANAK ROAD                     ,,DILLINGHAM                              ,AK                                      ,99576                                   ,DILLINGHAM                              ,,,,,,,,,,16,5840,301,,867,,399,,59,,221,,,,,,,
021310,01-OCT-18,30-SEP-19,As Submitted,MANIILAQ HEALTH CENTER                  ,436 5TH AVENUE                          ,43                                      ,KOTZEBUE                                ,AK                                      ,99752                                   ,KOBUK                                   ,,,,,,,,,,17,6205,343,762,1493,,387,,74,284,492,,,,,,,
021312,01-OCT-18,30-SEP-19,As Submitted,SAMUEL SIMMONDS MEMORIAL HOSPITAL       ,1296 AGVIK STREET                       ,29                                      ,BARROW                                  ,AK                                      ,99723                                   ,NORTH SLOPE BOROUGH                     ,,,,,,,,,,14,5110,397,122,905,,572,,100,63,246,,,,,,,
021314,01-OCT-18,30-SEP-19,As Submitted,MT EDGECUMBE HOSPITAL                   ,3245 HOSPITAL DR.                       ,,JUNEAU                                  ,AK                                      ,99801                                   ,SITKA BOROUGH                           ,,,,,,,,,,27,9855,1528,701,3337,,654,,211,225,499,,,,,,,
030010,01-OCT-18,30-SEP-19,As Submitted,CARONDELET ST. MARYS HOSPITAL           ,1601 W. ST. MARYS ROAD                  ,,TUCSON                                  ,AZ                                      ,85745-                                  ,PIMA                                    ,,,,1007364,,,.1612,,,349,127385,10411,771,44783,,803,,2463,250,10790,2030,210,,3,8,681,442
030011,01-OCT-18,30-SEP-19,As Submitted,CARONDELET ST. JOSEPH HOSPITAL          ,350 NORTH WILMOT ROAD                   ,,TUCSON                                  ,AZ                                      ,85732-                                  ,PIMA                                    ,,,,1034755,,,.1077,,,451,164615,15500,1373,60288,,1022,,3714,118,14590,2518,595,,12,,924,323
030013,01-OCT-18,30-SEP-19,As Submitted,YUMA REGIONAL MEDICAL CENTER            ,2400 S AVENUE A                         ,,YUMA                                    ,AZ                                      ,85364                                   ,YUMA                                    ,1511894,,,3025149,,,.2045,384373,366709,406,148190,24664,2396,65344,18.68,2324.79,,5490,531,15512,3785,,,,,,
030083,01-OCT-18,30-SEP-19,As Submitted,ABRAZO SCOTTSDALE CAMPUS                ,3929 EAST BELL ROAD                     ,,PHOENIX                                 ,AZ                                      ,85032                                   ,MARICOPA                                ,,,,487069,,,.1433,,,120,43800,4875,395,19065,,411.1,,1359,108,5653,1015,,,,,,
030085,01-OCT-18,30-SEP-19,As Submitted,NORTHWEST MEDICAL CENTER                ,6200 NORTH LA CHOLLA                    ,,TUCSON                                  ,AZ                                      ,85741-                                  ,PIMA                                    ,,,,1386392,,,.1199,,,281,102565,16111,2339,57517,,1303.6,,4182,208,15284,2726,,,,2,,311
030114,01-OCT-18,30-SEP-19,As Submitted,NORTHWEST MEDICAL CENTER ORO VALLEY     ,1551 E TANGERINE ROAD                   ,,ORO VALLEY                              ,AZ                                      ,85755-                                  ,PIMA                                    ,,,,,,,,,,111,40515,7631,22,16686,,487.02,,2447,360,5421,,,,112,,711,260
031305,01-OCT-18,30-SEP-19,As Submitted,HOPI HEALTH CENTER                      ,HIGHWAY 264                             ,400                                     ,POLACCA                                 ,AZ                                      ,86042                                   ,NAJAVO                                  ,,,,,,,,,,6,2190,214,164,522,,240,,87,91,248,,,,,,,
031307,01-OCT-18,30-SEP-19,As Submitted,PARKER INDIAN HEALTH CENTER             ,12033 AGENCY ROAD                       ,,PARKER                                  ,AZ                                      ,85344                                   ,LAPAZ                                   ,,,,,,,,,,20,7300,202,30,906,,300,,12,20,41,,,,,,,
031308,01-OCT-18,30-SEP-19,As Submitted,HU HU KAM MEMORIAL HOSPITAL             ,SEED FARM ROAD                          ,38                                      ,SACATON                                 ,AZ                                      ,85247                                   ,PINAL                                   ,,,,,,,,,,12,4380,36,102,210,,1742,,19,46,101,,,,,,,
031309,01-OCT-18,30-SEP-19,As Submitted,SAGE MEMORIAL HOSPITAL                  ,HIGHWAY 264                             ,,GANADO                                  ,AZ                                      ,86505                                   ,APACHE                                  ,,,,,,,,,,25,9125,369,226,951,,190.32,,106,78,244,,,,,,,
031311,01-OCT-18,30-SEP-19,As Submitted,WINSLOW MEMORIAL HOSPITAL               ,1501 N WILLIAMSON AVE                   ,,WINSLOW                                 ,AZ                                      ,86047-                                  ,NAVAJO                                  ,,,,,,,,,,25,9125,938,1316,3250,,196.6,,283,383,916,,,,,,,
031313,01-OCT-18,30-SEP-19,As Submitted,CARONDELET HOLY CROSS HOSPITAL          ,1171 W TARGET RANGE ROAD                ,,NOGALES                                 ,AZ                                      ,85621-                                  ,SANTA CRUZ                              ,,,,,,,,,,25,9125,144,131,3666,,132.6,,38,65,1148,443,,,,,,
032006,15-JUN-19,31-AUG-19,As Submitted,KPC PROMISE HOSPITAL OF PHOENIX         ,433 E 6TH ST                            ,,MESA                                    ,AZ                                      ,85203                                   ,MARICOPA                                ,,,,,,,,,,48,3744,935,7,2430,,156,,35,2,130,,,,,,,
034023,01-OCT-18,30-SEP-19,As Submitted,THE GUIDANCE CENTER  INC.               ,2187 NORTH VICKEY STREET                ,,FLAGSTAFF                               ,AZ                                      ,86004                                   ,COCONINO                                ,,,,,,,,,,16,5840,633,2359,4470,,190,,78,402,778,,,,,,,
040014,01-OCT-18,30-SEP-19,As Submitted,WHITE COUNTY MEDICAL CENTER             ,3214 EAST RACE                          ,809                                     ,SEARCY                                  ,AR                                      ,72143-                                  ,WHITE                                   ,5117505,,,1961616,,,.2485,2131090,1022021,216,78840,18039,8733,47745,40.78,1842.35,,4716,2410,11215,,,,,,532,410
040018,01-NOV-18,31-DEC-18,As Submitted,BAPTIST HEALTH MEDICAL CENTER - VB      ,EAST MAIN & SOUTH 20TH STREETS          ,,VAN BUREN                               ,AR                                      ,72956                                   ,,,,,6997,,,.12,,,39,2379,134,,481,,13.62,,49,,168,,,,,,,
040019,01-OCT-18,30-SEP-19,As Submitted,FORREST CITY MEDICAL CENTER             ,1601 NEW CASTLE ROAD                    ,,FORREST CITY                            ,AR                                      ,72335-                                  ,ST. FRANCIS                             ,,,,61449,,,.12,,,56,20440,1468,1751,7434,,181.62,,397,721,2168,67,,,,,212,
040020,01-OCT-18,30-SEP-19,Amended,ST BERNARDS MEDICAL CENTER              ,225 EAST JACKSON                        ,,JONESBORO                               ,AR                                      ,72401-3156                              ,CRAIGHEAD                               ,989360,,,3409407,,,.2427,409833,285809,337,122976,30814,13400,83767,19.47,1823.09,,6138,3226,17965,,,,,,505,
040047,01-JAN-19,30-SEP-19,As Submitted,FIVE RIVERS MEDICAL CENTER              ,2801 MEDICAL CENTER DRIVE               ,,POCAHONTAS                              ,AR                                      ,72455                                   ,RANDOLPH                                ,,,,17506,,,.0498,,,32,8736,1004,90,1546,,88.89,,281,37,459,,,,2,,189,
040050,01-OCT-18,30-SEP-19,As Submitted,OUACHITA COUNTY MEDICAL CENTER          ,638 CALIFORNIA                          ,797                                     ,CAMDEN                                  ,AR                                      ,71701                                   ,OUACHITA                                ,,,,88502,,,.12,,,87,31755,1779,495,5065,,365.23,,447,207,1459,,,,,,,
040055,01-NOV-18,31-DEC-18,As Submitted,BAPTIST HEALTH MEDICAL CENTER - FS      ,1001 TOWSON AVENUE                      ,,FORT SMITH                              ,AR                                      ,72901                                   ,,103986,,,193603,,,.1253,43816,22887,320,19520,4020,,9738,4.26,155.1,,840,,2077,,,,,,93,
040067,01-OCT-18,30-SEP-19,Amended,MAGNOLIA REGIONAL MEDICAL CENTER        ,807 N JACKSON                           ,629                                     ,MAGNOLIA                                ,AR                                      ,71753-                                  ,COLUMBIA                                ,218406,,,65500,,,.12,178545,166806,30,10950,1621,373,3116,7.36,227.33,,443,168,979,,,,,,,
040118,01-OCT-18,30-SEP-19,As Submitted,NEA BAPTIST MEMORIAL HOSPITAL           ,4800 EAST JOHNSON AVENUE                ,,JONESBORO                               ,AR                                      ,72401                                   ,CRAIGHEAD                               ,222804,,,1141919,,,.1146,230464,166702,180,65700,24422,5361,49492,7.45,1020,,5266,1728,11786,,,,,16,,338
040134,01-OCT-18,30-SEP-19,As Submitted,ARKANSAS HEART HOSPITAL                 ,1701 S. SHACKELFORD ROAD                ,,LITTLE ROCK                             ,AR                                      ,72211                                   ,PULASKI                                 ,,,,,,,,,,112,40880,12797,615,25825,,920.31,,3638,142,6501,,,,,,,
040153,01-OCT-18,30-SEP-19,As Submitted,WADLEY MEDICAL CENTER AT HOPE           ,2001 SOUTH MAIN                         ,,HOPE                                    ,AR                                      ,71801                                   ,,,,,57133,,,.1081,,,67,24455,1148,227,2262,,99.26,,346,79,691,61,,,15,,164,
040156,19-FEB-19,30-SEP-19,Settled,BMH-CRITTENDEN                          ,2100 NORTH SEVENTH STREET               ,,WEST MEMPHIS                            ,AR                                      ,72301                                   ,,,,,22543,,,.12,,,11,2464,334,102,747,,62.28,,143,33,334,50,,,,,,
041307,01-OCT-18,30-SEP-19,As Submitted,CROSSRIDGE COMMUNITY HOSPITAL           ,310 SOUTH FALLS BLVD                    ,590                                     ,WYNNE                                   ,AR                                      ,72396-                                  ,CROSS                                   ,,,,,,,,,,15,5475,2088,86,3095,,116.03,,341,29,567,,,,,,,
041309,01-JAN-19,30-JUN-19,As Submitted,LAWRENCE MEMORIAL HOSPITAL              ,1309 W. HWY 25                          ,839                                     ,WALNUT RIDGE                            ,AR                                      ,72476                                   ,LAWRENCE                                ,,,,,,,,,,25,4525,1042,19,1370,,60.19,,123,10,165,,,,,,,
041310,01-OCT-18,30-SEP-19,As Submitted,STONE COUNTY MEDICAL CENTER             ,HWY 14 EAST                             ,2300                                    ,MOUNTAIN VIEW                           ,AR                                      ,72560-2300                              ,STONE                                   ,,,,,,,,,,25,9125,1381,41,1895,,97.02,,298,17,544,,,,,,,
041311,01-OCT-18,30-SEP-19,As Submitted,HOWARD MEMORIAL HOSPITAL                ,130 MEDICAL CIRCLE                      ,381                                     ,NASHVILLE                               ,AR                                      ,71852                                   ,HOWARD                                  ,,,,,,,,,,25,9125,1870,133,2665,,188.12,,322,51,559,,,,,,,
041323,01-OCT-18,30-SEP-19,As Submitted,ASHLEY COUNTY MEDICAL CENTER            ,1015 UNITY ROAD                         ,400                                     ,CROSSETT                                ,AR                                      ,71635-                                  ,ASHLEY                                  ,,,,,,,,,,25,9125,2369,352,4061,,218.13,,437,125,816,,,,,,98,
041327,01-OCT-18,30-SEP-19,As Submitted,BRADLEY COUNTY MEDICAL CENTER           ,404 S BRADLEY                           ,,WARREN                                  ,AR                                      ,71671-                                  ,BRADLEY                                 ,,,,,,,,,,25,9125,1285,192,2235,,155.28,,278,101,542,,,,,,153,
042011,01-OCT-18,30-SEP-19,Settled,ADVANCED CARE HOSPITAL OF WHITE CO.     ,1200 SOUTH MAIN STREET                  ,,SEARCY                                  ,AR                                      ,72143                                   ,WHITE                                   ,,,,,,,,,,27,9855,2075,87,3419,,42.9,,87,5,162,,,,,,,
050002,01-OCT-18,30-SEP-19,As Submitted,ST ROSE HOSPITAL                        ,27200 CALAROGA AVENUE                   ,,HAYWARD                                 ,CA                                      ,94545-4383                              ,ALAMEDA                                 ,,,,1994949,,,.3643,,,195,71175,8658,3411,21086,,659.23,,1674,844,4921,1278,,,,,,
050077,01-OCT-18,30-SEP-19,As Submitted,SCRIPPS MERCY HOSPITAL                  ,4077 FIFTH AVENUE                       ,,SAN DIEGO                               ,CA                                      ,92103                                   ,SAN DIEGO                               ,6845280,,,5960248,,,.3607,3348785,1266441,487,177755,27742,14139,133090,101.2,3271.99,,5767,3878,29643,6448,382,,414,,1393,
050100,01-OCT-18,30-SEP-19,As Submitted,SHARP MEMORIAL HOSPITAL                 ,7901 FROST STREET                       ,,SAN DIEGO                               ,CA                                      ,92123-                                  ,SAN DIEGO                               ,,,,4127568,9902,,.2284,,,832,303680,27522,24500,166491,,3599,,5521,2230,32692,4885,,,,32,,441
050146,01-OCT-18,30-SEP-19,As Submitted,CITY OF HOPE NATIONAL MEDICAL CTR       ,1500 E. DUARTE ROAD                     ,,DUARTE                                  ,CA                                      ,91010                                   ,LOS ANGELES                             ,,,,,,,,,29688,217,79205,21898,11053,73559,27.18,3677.02,,2153,951,6328,,,,,,,
050169,01-OCT-18,30-SEP-19,As Submitted,PRESBYTERIAN INTERCOMMUNITY HOSPITAL    ,12401 EAST WASHINGTON BLVD              ,,WHITTIER                                ,CA                                      ,90602-                                  ,LOS ANGELES                             ,962807,,,1634055,,,.1424,635501,244701,352,128480,18806,7457,76844,15.47,2605.54,,3863,1116,18850,2315,,,,16,,193
