Original Label,Curated Label
ACONA CANONCITO LAGUNA (320070),ACOMA CANONCITO LAGUNA HOSPITAL (320070)
ACUITY HOSPITAL OF SOUTH TEXAS (452040),ACUITY HOSPITAL OF SOUTH TEXAS (452040)
SSH - ATLANTIC CITY (312023),SSH - ATLANTIC CITY (312023)
ACUITY SPECIALTY HOSP OF NEW JERSEY (312023),ACUITY SPECIALTY HOSP OF NEW JERSEY (312023)
ACUITY SPECIALTY HOSPITAL - MESA (032007),ACUITY SPECIALTY HOSPITAL - MESA (032007)
ACUITY SPECIALTY HOSPITAL - SUN CITY (032008),ACUITY SPECIALTY HOSPITAL - SUN CITY (032008)
ACUITY SPECIALTY HOSPITAL (362035),ACUITY SPECIALTY HOSPITAL (362035)
SSH WEIRTON (512005),SSH WEIRTON (512005)
ACUITY SPECIALTY HOSPITAL-OH VALLEY (512005),ACUITY SPECIALTY HOSPITAL-OH VALLEY (512005)
ACUTE CARE SPECIALTY HOSPITAL (362032),ACUTE CARE SPECIALTY HOSPITAL (362032)
AD HOSPITAL EAST LLC (670102),EAST HOUSTON HOSPITAL AND CLINICS (670102)
ADAIR COUNTY HEALTH CENTER (370178),ADAIR COUNTY HEALTH CENTER (370178)
ADAIR COUNTY MEMORIAL HOSPITAL (161310),ADAIR COUNTY MEMORIAL HOSPITAL (161310)
ADAMS COUNTY REGIONAL MEDICAL CENTER (361326),ADAMS COUNTY REGIONAL MEDICAL CENTER (361326)
ADAMS MEMORIAL HOSPITAL (151330),ADAMS MEMORIAL HOSPITAL (151330)
ADCARE HOSPITAL OF WORCESTER (220062),ADCARE HOSPITAL OF WORCESTER (220062)
ADENA REGIONAL MEDICAL CENTER (360159),ADENA REGIONAL MEDICAL CENTER (360159)
ADIRONDACK MEDICAL CENTER (330079),ADIRONDACK MEDICAL CENTER (330079)
ADMIN DE SERVICIOS MEDICOS DE PR (400127),ADMIN DE SERVICIOS MEDICOS DE PR (400127)
ADMIN DE SERVICIO MEDICOS DE PR (400127),ADMIN DE SERVICIOS MEDICOS DE PR (400127)
ADVANCED CARE HOSPITAL OF SOUTHERN N (322004),ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004)
ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004),ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004)
ADVANCED CARE HOSP OF SO NEW MEXICO (322004),ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004)
ADV CARE HOSPITAL OF SOUTHERN NEW ME (322004),ADV CARE HOSP OF SOUTHERN NEW MEXICO (322004)
ADVANCE CARE HOSPITAL (042004),ADVANCE CARE HOSPITAL (042004)
ADVANCE CARE HOSPITAL (042008),ADVANCE CARE HOSPITAL (042008)
ADVANCED CARE HOSPITAL OF MONTANA (272001),ADVANCED CARE HOSPITAL OF MONTANA (272001)
ADVANCED CARE HOSPITAL OF WHITE CO. (042011),ADVANCED CARE HOSPITAL OF WHITE CO. (042011)
ADVANCE CARE HOSP OF WHITE CO (042011),ADVANCED CARE HOSPITAL OF WHITE CO. (042011)
ADVANCED HEALTHCARE MEDICAL CENTER (261304),ADVANCED HEALTHCARE MEDICAL CENTER (261304)
ADVANCED SPECIALTY HOSP. OF TOLEDO (362038),ADVANCED SPECIALTY HOSP. OF TOLEDO (362038)
ADVANCED SPECIALTY OF GREENBRIAR (363032),ADVANCED SPECIALTY OF GREENBRIAR (363032)
ADVANCED SURGICAL HOSPITAL (390323),ADVANCED SURGICAL HOSPITAL (390323)
ADVENTHEALTH - NORTH PINELLAS (100055),ADVENTHEALTH - NORTH PINELLAS (100055)
ADVENTHEALTH CARROLLWOOD (100069),ADVENTHEALTH CARROLLWOOD (100069)
ADVENTHEALTH CENTRAL TEXAS (450152),ADVENTHEALTH CENTRAL TEXAS (450152)
ADVENTHEALTH CONNERTON (102026),ADVENTHEALTH CONNERTON (102026)
ADVENTHEALTH DADE CITY (100211),ADVENTHEALTH DADE CITY (100211)
ADVENTHEALTH DAYTONA BEACH (100068),ADVENTHEALTH DAYTONA BEACH (100068)
ADVENTHEALTH DAYTONA BEACH -AMENDED (100068),ADVENTHEALTH DAYTONA BEACH (100068)
ADVENTHEALTH DELAND (100045),ADVENTHEALTH DELAND (100045)
ADVENTHEALTH DURAND (521307),ADVENTHEALTH DURAND (521307)
ADVENTHEALTH FISH MEMORIAL (100072),ADVENTHEALTH FISH MEMORIAL (100072)
ADVENTHEALTH GORDON (110023),ADVENTHEALTH GORDON (110023)
ADVENTHEALTH HEART OF FLORIDA (100137),ADVENTHEALTH HEART OF FLORIDA (100137)
ADVENTHEALTH HENDERSONVILLE (340023),ADVENTHEALTH HENDERSONVILLE (340023)
ADVENTHEALTH LAKE WALES (100099),ADVENTHEALTH LAKE WALES (100099)
ADVENTHEALTH MANCHESTER (180043),ADVENTHEALTH MANCHESTER (180043)
ADVENTHEALTH MURRAY (110050),ADVENTHEALTH MURRAY (110050)
ADVENTHEALTH NEW SMYRNA BEACH (100014),ADVENTHEALTH NEW SMYRNA BEACH (100014)
ADVENTHEALTH OCALA (100062),ADVENTHEALTH OCALA (100062)
ADVENTHEALTH ORLANDO (100007),ADVENTHEALTH ORLANDO (100007)
ADVENTHEALTH OTTAWA (170014),ADVENTHEALTH OTTAWA (170014)
ADVENTHEALTH PALM COAST (100118),ADVENTHEALTH PALM COAST (100118)
ADVENTHEALTH ROLLINS BROOK (451323),ADVENTHEALTH ROLLINS BROOK (451323)
ADVENTHEALTH SEBRING (100109),ADVENTHEALTH SEBRING (100109)
ADVENTHEALTH SHAWNEE MISSION (170104),ADVENTHEALTH SHAWNEE MISSION (170104)
ADVENTHEALTH TAMPA - AMENDED (100173),ADVENTHEALTH TAMPA (100173)
ADVENTHEALTH TAMPA (100173),ADVENTHEALTH TAMPA (100173)
ADVENTHEALTH WATERMAN (100057),ADVENTHEALTH WATERMAN (100057)
ADVENTHEALTH WAUCHULA (101300),ADVENTHEALTH WAUCHULA (101300)
ADVENTHEALTH WESLEY CHAPEL (100319),ADVENTHEALTH WESLEY CHAPEL (100319)
ADVENTHEALTH ZEPHYRHILLS (100046),ADVENTHEALTH ZEPHYRHILLS (100046)
ADVENTIST BEHAVIORAL HEALTH (214013),ADVENTIST BEHAVIORAL HEALTH (214013)
ADVENTIST BOLINGBROOK HOSPITAL (140304),ADVENTIST BOLINGBROOK HOSPITAL (140304)
ADVENTIST GLENOAKS HOSPITAL (140292),ADVENTIST GLENOAKS HOSPITAL (140292)
ADVENTIST HC BEHAVIORAL HEALTH & WEL (214013),ADVENTIST HC BEHAVIORAL HEALTH & WEL (214013)
ADVENTIST HEALTH AND RIDEOUT (050133),ADVENTIST HEALTH AND RIDEOUT (050133)
ADVENTIST HEALTH BAKERSFIELD (050455),ADVENTIST HEALTH BAKERSFIELD (050455)
ADVENTIST HEALTH CASTLE (120006),ADVENTIST HEALTH CASTLE (120006)
ADVENTIST HEALTH CLEARLAKE (051317),ADVENTIST HEALTH CLEARLAKE (051317)
ADVENTIST HEALTH FEATHER RIVER (050225),ADVENTIST HEALTH FEATHER RIVER (050225)
ADVENTIST HEALTH GLENDALE (050239),ADVENTIST HEALTH GLENDALE (050239)
ADVENTIST HEALTH HANFORD (050121),ADVENTIST HEALTH HANFORD (050121)
ADVENTIST HEALTH LODI MEMORIAL (050336),ADVENTIST HEALTH LODI MEMORIAL (050336)
ADVENTIST HEALTH MENDOCINO COAST (051325),ADVENTIST HEALTH MENDOCINO COAST (051325)
ADVENTIST HEALTH REEDLEY (050192),ADVENTIST HEALTH REEDLEY (050192)
ADVENTIST HEALTH SIMI VALLEY (050236),ADVENTIST HEALTH SIMI VALLEY (050236)
ADVENTIST HEALTH SONORA (050335),ADVENTIST HEALTH SONORA (050335)
ADVENTIST HEALTH ST. HELENA (050013),ADVENTIST HEALTH ST. HELENA (050013)
ADVENTIST HEALTH TEHACHAPI VALLEY (051301),ADVENTIST HEALTH TEHACHAPI VALLEY (051301)
ADVENTIST HEALTH TULARE (050784),ADVENTIST HEALTH TULARE (050784)
ADVENTIST HEALTH UKIAH VALLEY (050301),ADVENTIST HEALTH UKIAH VALLEY (050301)
ADVENTIST HEALTH VALLEJO (054074),ADVENTIST HEALTH VALLEJO (054074)
ADVENTIST HEALTH WHITE MEMORIAL (050103),ADVENTIST HEALTH WHITE MEMORIAL (050103)
ADVENTIST HINSDALE HOSPITAL (140122),ADVENTIST HINSDALE HOSPITAL (140122)
ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065),ADVENTIST LAGRANGE MEMORIAL HOSPITAL (140065)
ADVENTIST MEDICAL CENTER (050121),ADVENTIST MEDICAL CENTER (050121)
ADVENTIST MEDICAL CENTER REEDLEY (050192),ADVENTIST MEDICAL CENTER REEDLEY (050192)
ADVENTIST MEDICAL CENTER-PORTLAND (380060),ADVENTIST MEDICAL CENTER-PORTLAND (380060)
ADVENTIST REHAB. HOSPT. OF MD (213029),ADVENTIST REHAB. HOSPT. OF MD (213029)
ADVOCATE BROMENN MEDICAL CENTER (140127),ADVOCATE BROMENN MEDICAL CENTER (140127)
ADVOCATE CHRIST HOSPITAL (140208),ADVOCATE CHRIST HOSPITAL (140208)
ADVOCATE EUREKA HOSPITAL (141309),ADVOCATE EUREKA HOSPITAL (141309)
ADVOCATE GOOD SAMARITAN HOSPITAL (140288),ADVOCATE GOOD SAMARITAN HOSPITAL (140288)
ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),ADVOCATE LUTHERAN GENERAL HOSPITAL (140223)
ADVOCATE NORTHSIDE HEALTH SYSTEM (140182),ADVOCATE NORTHSIDE HEALTH SYSTEM (140182)
ADVOCATE SHERMAN HOSPITAL (140030),ADVOCATE SHERMAN HOSPITAL (140030)
ADVOCATE SOUTHLAND HOSPITAL (140048),ADVOCATE SOUTHLAND HOSPITAL (140048)
ADVOCATE TRINITY HOSPITAL (140048),ADVOCATE TRINITY HOSPITAL (140048)
AFFINITY MEDICAL CENTER (360151),AFFINITY MEDICAL CENTER (360151)
AHC SHADY GROVE MEDICAL CENTER (210057),AHC SHADY GROVE MEDICAL CENTER (210057)
AHC WHITE OAK MEDICAL CENTER (210016),AHC WHITE OAK MEDICAL CENTER (210016)
AHN HEMPFIELD NEIGHBORHOOD HOSPITAL (390333),AHN HEMPFIELD NEIGHBORHOOD HOSPITAL (390333)
AHN REHABILITATION HOSPITAL (113029),AHN REHABILITATION HOSPITAL (113029)
AHN THE MEDICAL CENTER (110107),AHN THE MEDICAL CENTER (110107)
AIKEN REGIONAL MEDICAL CENTER (420082),AIKEN REGIONAL MEDICAL CENTER (420082)
AKRON GENERAL MEDICAL CENTER (360027),AKRON GENERAL MEDICAL CENTER (360027)
ALAMANCE REGIONAL MEDICAL CENTER (340070),ALAMANCE REGIONAL MEDICAL CENTER (340070)
ALAMEDA COUNTY MEDICAL CENTER (050320),ALAMEDA COUNTY MEDICAL CENTER (050320)
ALAMEDA HEALTH SYSTEM (050320),ALAMEDA HEALTH SYSTEM (050320)
ALAMEDA HOSPITAL (050211),ALAMEDA HOSPITAL (050211)
ALASKA NATIVE MEDICAL CENTER (020026),ALASKA NATIVE MEDICAL CENTER (020026)
ALASKA PSYCHIATRIC INSTITUTE (024002),ALASKA PSYCHIATRIC INSTITUTE (024002)
ALASKA REGIONAL HOSPITAL (020017),ALASKA REGIONAL HOSPITAL (020017)
ALASKA SPECIALTY HOSPITAL  LLC (022001),ALASKA SPECIALTY HOSPITAL  LLC (022001)
ALBANY AREA HOSPITAL (241331),ALBANY AREA HOSPITAL (241331)
ALBANY MEDICAL CENTER HOSPITAL (330013),ALBANY MEDICAL CENTER HOSPITAL (330013)
ALBANY MEMORIAL HOSPITAL (330003),ALBANY MEMORIAL HOSPITAL (330003)
ALBEMARLE HOSPITAL (340109),ALBEMARLE HOSPITAL (340109)
ALBERT EINSTEIN MEDICAL CENTER (390142),ALBERT EINSTEIN MEDICAL CENTER (390142)
ALBERT J SOLNIT CHILDRENS CENTER (074015),ALBERT J SOLNIT CHILDRENS CENTER (074015)
ALBERT J SOLNIT CHILDRENS CENTER - (074015),ALBERT J SOLNIT CHILDRENS CENTER (074015)
ALBERT J SOLNIT CHILDRENS CTR SOUTH (074015),ALBERT J SOLNIT CHILDRENS CTR SOUTH (074015)
ALBUQUERQUE - AMG SPECIALTY HOSPITAL (322003),ALBUQUERQUE - AMG SPECIALTY HOSPITAL (322003)
ALEGENT HEALTH COMMUNITY HOSPITAL (161309),ALEGENT HEALTH COMMUNITY HOSPITAL (161309)
ALEGENT HEALTH MEMORIAL HOSPITAL (281323),ALEGENT HEALTH MEMORIAL HOSPITAL (281323)
ALEGENT HEALTH MERCY HOSPITAL (161304),ALEGENT HEALTH MERCY HOSPITAL (161304)
ALEXANDRIA BEHAVORIAL HEALTH HSP (244012),ALEXANDRIA BEHAVORIAL HEALTH HSP (244012)
ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031),ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031)
ALEXIAN BROTHERS MEDICAL CENTER (140258),ALEXIAN BROTHERS MEDICAL CENTER (140258)
ALFRED I DUPONT HOSP FOR CHILDREN (083300),ALFRED I DUPONT HOSP FOR CHILDREN (083300)
ALHAMBRA (054032),ALHAMBRA (054032)
ALHAMBRA HOSPITAL (050281),ALHAMBRA HOSPITAL (050281)
ALICE HYDE MEDICAL CENTER (330084),ALICE HYDE MEDICAL CENTER (330084)
ALICE PECK DAY MEMORIAL HOSPITAL (301305),ALICE PECK DAY MEMORIAL HOSPITAL (301305)
ALL CHILDRENS HOSPITAL (103300),ALL CHILDRENS HOSPITAL (103300)
ALLE-KISKI MEDICAL CENTER (390032),ALLE-KISKI MEDICAL CENTER (390032)
ALLEGAN GENERAL HOSPITAL (231328),ALLEGAN GENERAL HOSPITAL (231328)
ALLEGHANY MEMORIAL HOSPITAL (341320),ALLEGHANY MEMORIAL HOSPITAL (341320)
ALLEGHENY (393304),ALLEGHENY (393304)
ALLEGHENY GENERAL HOSPITAL (390050),ALLEGHENY GENERAL HOSPITAL (390050)
ALLEGHENY VALLEY HOSPITAL (390032),ALLEGHENY VALLEY HOSPITAL (390032)
ALLEGIANCE BEHAVIORAL CTR OF PLAINVI (454101),ALLEGIANCE BEHAVIORAL CTR OF PLAINVI (454101)
ALLEGIANCE HEALTH CTR OF RUSTON (194087),ALLEGIANCE HEALTH CTR OF RUSTON (194087)
ALLEGIANCE HOSPITAL OF MIDLAND-PERMI (670064),ALLEGIANCE HOSPITAL OF MIDLAND-PERMI (670064)
ALLEGIANCE SPECIALTY HOSPITAL OF GRE (250166),ALLEGIANCE SPECIALTY HOSPITAL OF GRE (250166)
ALLEGIANCE SPECIALTY HOSPITAL OF GRE (252013),ALLEGIANCE SPECIALTY HOSPITAL OF GRE (252013)
ALLEGIANCE SPECIALTY HOSPITAL OF KIL (450488),ALLEGIANCE SPECIALTY HOSPITAL OF KIL (450488)
ALLEGIANCE SPECIALTY HOSPITAL OF LIT (042010),ALLEGIANCE SPECIALTY HOSPITAL OF LIT (042010)
ALLEN COUNTY REGIONAL HOSPITAL (171373),ALLEN COUNTY REGIONAL HOSPITAL (171373)
ALLEN COUNTY HOSPITAL (171373),ALLEN COUNTY REGIONAL HOSPITAL (171373)
AMEND SEP 2012 ALLEN COUNTY HOSPITAL (171373),ALLEN COUNTY REGIONAL HOSPITAL (171373)
ALLEN MEMORIAL HOSPITAL (160110),ALLEN MEMORIAL HOSPITAL (160110)
ALLEN PARISH HOSPITAL (190133),ALLEN PARISH HOSPITAL (190133)
ALLENDALE COUNTY HOSPITAL (421300),ALLENDALE COUNTY HOSPITAL (421300)
ALLIANCE COMMUNITY HOSPITAL (360131),ALLIANCE COMMUNITY HOSPITAL (360131)
ALLIANCE HEALTH CENTER (250151),ALLIANCE HEALTH CENTER (250151)
ALLIANCE HEALTH CLINTON (370029),ALLIANCE HEALTH CLINTON (370029)
ALLIANCE HEALTH PRYOR (370015),ALLIANCE HEALTH PRYOR (370015)
ALLIANCE HEALTH SEMINOLE (370229),ALLIANCE HEALTH SEMINOLE (370229)
ALLIANCE HEALTHCARE SYSTEM (250012),ALLIANCE HEALTHCARE SYSTEM (250012)
ALLIANCEHEALTH BLACKWELL (370030),ALLIANCEHEALTH BLACKWELL (370030)
ALLIANCEHEALTH DEACONESS (370032),ALLIANCEHEALTH DEACONESS (370032)
ALLIANCEHEALTH DURANT (370014),ALLIANCEHEALTH DURANT (370014)
ALLIANCEHEALTH MADILL (371326),ALLIANCEHEALTH MADILL (371326)
ALLIANCE HEALTH MADILL (371326),ALLIANCEHEALTH MADILL (371326)
ALLIANCEHEALTH MIDWEST (370094),ALLIANCEHEALTH MIDWEST (370094)
ALLIANCEHEALTH PRYOR (370015),ALLIANCEHEALTH PRYOR (370015)
ALLIANCEHEALTH WOODWARD (370002),ALLIANCEHEALTH WOODWARD (370002)
ALLIED SERVICES REHAB. HOSPT. (393030),ALLIED SERVICES REHAB HOSPITAL (393030)
ALLIED SERVICES REHAB HOSPITAL (393030),ALLIED SERVICES REHAB HOSPITAL (393030)
ALLINA HEALTH FARIBAULT MEDICAL CTR (240071),ALLINA HEALTH FARIBAULT MEDICAL CTR (240071)
ALLTAPOINTE HEALTH SYSTEMS INC (014017),ALLTAPOINTE HEALTH SYSTEMS INC (014017)
MYMICHIGAN MEDICAL CENTER - ALPENA (230036),MYMICHIGAN MEDICAL CENTER - ALPENA (230036)
ALPENA REGIONAL MEDICAL CENTER (230036),ALPENA REGIONAL MEDICAL CENTER (230036)
MIDMICHIGAN MEDICAL CENTER - ALPENA (230036),ALPENA REGIONAL MEDICAL CENTER (230036)
ALTA BATES MEDICAL CENTER (050305),ALTA BATES MEDICAL CENTER (050305)
ALTA VIEW HOSPITAL (460044),ALTA VIEW HOSPITAL (460044)
ALTA VISTA REGIONAL HOSPITAL (320003),ALTA VISTA REGIONAL HOSPITAL (320003)
ALTON MEMORIAL HOSPITAL (140002),ALTON MEMORIAL HOSPITAL (140002)
ALTON MENTAL HEALTH CENTER (144016),ALTON MENTAL HEALTH CENTER (144016)
ALTOONA REGIONAL HEALTH SYSTEM (390073),ALTOONA REGIONAL HEALTH SYSTEM (390073)
ALTRU HEALTH SYSTEM-ALTRU HOSPITAL (350019),ALTRU HEALTH SYSTEM-ALTRU HOSPITAL (350019)
ALTUS BAYTOWN HOSPITAL (670109),ALTUS BAYTOWN HOSPITAL (670109)
ALTUS HOUSTON HOSPITAL LP (670135),ALTUS HOUSTON HOSPITAL LP (670135)
ALVARADO HOSPITAL MEDICAL CENTER (050757),ALVARADO HOSPITAL MEDICAL CENTER (050757)
ALVARADO PARKWAY INSTITUTE (054075),ALVARADO PARKWAY INSTITUTE (054075)
AMEND B TIMPANOGOS REGIONAL HOSPITAL (460052),AMEND B TIMPANOGOS REGIONAL HOSPITAL (460052)
AMEND No.1 CENTERPOINT MEDICAL CENTER (260095),AMEND CENTERPOINT MEDICAL CENTER (260095)
AMEND CENTERPOINT MEDICAL CENTER (260095),AMEND CENTERPOINT MEDICAL CENTER (260095)
AMEND D CENTERPOINT MEDICAL CENTER (260095),AMEND CENTERPOINT MEDICAL CENTER (260095)
CENTERPOINT MEDICAL CENTER AMEND (260095),AMEND CENTERPOINT MEDICAL CENTER (260095)
AMEND No.2 MENORAH MEDICAL CENTER (170182),AMEND MENORAH MEDICAL CENTER (170182)
AMEND No.1 MENORAH MEDICAL CENTER (170182),AMEND MENORAH MEDICAL CENTER (170182)
AMEND No.1 RESEARCH MEDICAL CENTER (260027),AMEND RESEARCH MEDICAL CENTER (260027)
AMEND RESEARCH MEDICAL CENTER (260027),AMEND RESEARCH MEDICAL CENTER (260027)
AMEND SOUTHERN HILLS HOSPITAL & M C (290047),AMEND SOUTHERN HILLS HOSPITAL & M C (290047)
AMERICAN FORK HOSPITAL (460023),AMERICAN FORK HOSPITAL (460023)
AMERICAN HEALTHCARE SYSTEMS (340123),AMERICAN HEALTHCARE SYSTEMS (340123)
AMERICAN LEGION HOSPITAL (190044),AMERICAN LEGION HOSPITAL (190044)
AMERICAN ONCOLOGIC HOSPIAL (390196),AMERICAN ONCOLOGIC HOSPITAL (390196)
AMERICAN ONCOLOGIC HOSPITAL (390196),AMERICAN ONCOLOGIC HOSPITAL (390196)
AMERY REGIONAL MEDICAL CENTER (521308),AMERY REGIONAL MEDICAL CENTER (521308)
ANAHEIM GENERAL HOSPITAL (050768),ANAHEIM GENERAL HOSPITAL (050768)
ANAHEIM GLOBAL MEDICAL CENTER (050744),ANAHEIM GLOBAL MEDICAL CENTER (050744)
ANAHEIM REGIONAL MEDICAL CENTER (050226),ANAHEIM REGIONAL MEDICAL CENTER (050226)
ANCORA PSYCHIATRIC HOSPITAL (314005),ANCORA PSYCHIATRIC HOSPITAL (314005)
ANDALUSIA REGIONAL HOSPITAL (010036),ANDALUSIA REGIONAL HOSPITAL (010036)
ANDERSON COUNTY HOSPITAL (171316),ANDERSON COUNTY HOSPITAL (171316)
ANDERSON HOSPITAL (140289),ANDERSON HOSPITAL (140289)
ANDERSON REGIONAL MED CTR-SOUTH CAMP (250081),ANDERSON REGIONAL MED CTR-SOUTH CAMP (250081)
ANDERSON REHABILITATION HOSPITAL (143029),ANDERSON REHABILITATION HOSPITAL (143029)
ANDROSCOGGIN VALLEY HOSPITAL (301310),ANDROSCOGGIN VALLEY HOSPITAL (301310)
ANEW HEALTH (174025),ANEW HEALTH (174025)
ANGEL MEDICAL CENTER (341326),ANGEL MEDICAL CENTER (341326)
MH ANGEL MEDICAL CENTER LLLP (341326),ANGEL MEDICAL CENTER (341326)
ANGLETON-DANBURY MEDICAL CENTER (450591),ANGLETON-DANBURY MEDICAL CENTER (450591)
ANIMAS SURGICAL HOSPITAL (060117),ANIMAS SURGICAL HOSPITAL (060117)
ANMED HEALTH (420027),ANMED HEALTH (420027)
ANMED HEALTH REHABILITATION HOSPITAL (423029),ANMED HEALTH REHABILITATION HOSPITAL (423029)
ANMED HEALTH REHAB HOSPITAL (423029),ANMED HEALTH REHABILITATION HOSPITAL (423029)
ANMED HEALTHSOUTH (423029),ANMED HEALTHSOUTH (423029)
ANN & ROBERT H. LURIE CHILDRENS HOS (143300),ANN & ROBERT H. LURIE CHILDRENS HOS (143300)
ANNA JAQUES HOSPITAL (220029),ANNA JAQUES HOSPITAL (220029)
ANNANDALE BEHAVIORAL HEALTH HSP (244011),ANNANDALE BEHAVIORAL HEALTH HSP (244011)
ANNAPOLIS (230142),ANNAPOLIS (230142)
ANNE ARUNDEL MEDICAL CENTER INC. (210023),ANNE ARUNDEL MEDICAL CENTER INC. (210023)
ANNE BATES LEACH EYE HOSPITAL (100240),ANNE BATES LEACH EYE HOSPITAL (100240)
ANNIE JEFFREY MEM. CNTY HLTH. CTR. (281314),ANNIE JEFFREY MEM. CNTY HLTH. CTR. (281314)
ANOKA-METRO REGIONAL TREATMENT CTR. (244002),ANOKA-METRO REGIONAL TREATMENT CTR. (244002)
ANSON COMMUNITY HOSPITAL (340084),ANSON COMMUNITY HOSPITAL (340084)
ANSON GENERAL HOSPITAL (450078),ANSON GENERAL HOSPITAL (450078)
ANTELOPE MEMORIAL HOSPITAL (281326),ANTELOPE MEMORIAL HOSPITAL (281326)
ANTELOPE VALLEY HOSPITAL (050056),ANTELOPE VALLEY HOSPITAL (050056)
ANTHONY MEDICAL CENTER (171346),ANTHONY MEDICAL CENTER (171346)
APOLLO BEHAVIORAL HEALTH HOSPITAL (194105),APOLLO BEHAVIORAL HEALTH HOSPITAL (194105)
APOLLO HOSPITAL SYSTEMS  LP (670099),APOLLO HOSPITAL SYSTEMS LP (670099)
APOLLO HOSPITAL SYSTEMS LP (670099),APOLLO HOSPITAL SYSTEMS LP (670099)
APPALACHIAN BHO - ATHENS CAMPUS (364015),APPALACHIAN BHO - ATHENS CAMPUS (364015)
APPALACHIAN BHO-ATHENS CAMPUS (364015),APPALACHIAN BHO - ATHENS CAMPUS (364015)
APPALACHIAN RPH - ATHENS CAMPUS (364015),APPALACHIAN RPH - ATHENS CAMPUS (364015)
APPLETON MEDICAL CENTER (520160),APPLETON MEDICAL CENTER (520160)
APPLETON MUNICIPAL HOSPITAL (241341),APPLETON MUNICIPAL HOSPITAL (241341)
APPLING GENERAL HOSPITAL (110071),APPLING GENERAL HOSPITAL (110071)
ARBOR HEALTH MORTON HOSPITAL (501319),ARBOR HEALTH MORTON HOSPITAL (501319)
ARBUCKLE MEMORIAL HOSPITAL (371328),ARBUCKLE MEMORIAL HOSPITAL (371328)
ARCHER REHABILITATION  LLC (103046),ARCHER REHABILITATION  LLC (103046)
ARDEN WOOD  INC. (051993),ARDEN WOOD  INC. (051993)
ARIA HEALTH (390115),ARIA HEALTH (390115)
ARISE AUSTIN MEDICAL CENTER (450871),ARISE AUSTIN MEDICAL CENTER (450871)
