FY 2020 IPPS Impact File -  Final Rule (August 2019)																																																								
Provider Number	Name	Geographic Labor Market Area	Pre-Reclass Labor Market Area	Post Reclass Labor Market Area	Payment Labor Market Area (for purposes of Capital and DSH)	FIPS County Code	Region	URGEO	URSPA	RECLASS	FY 2020 Wage Index	LUGAR	Section 401 Hospital	Section 401 or LUGAR Hospitals with a MGCRB Wage Index Reclass	Section  505 Eligible	Section 505 Adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	Beds	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPP	DSHCPP	DSH_LY	UCP_ADJ	UCP Per Claim Amount	UCP_ADJ_LY	UCP Per Claim Amount LY	Operating CCR	Capital CCR	Provider Type	HSP Rate	Bills	CASETA36	CMIV36	TACMIV36	IME_CASETA36	IME_TACMIV36	CASETA37	CMIV37	TACMIV37	IME_CASETA37	IME_TACMIV37	GAF	Capital Cost of Living Adjustment	OUT19F	COUT19F	Medicare Percentage	Low Volume Hospital Adjustment	Proxy Value Based Purchasing Adjustment Factor	Proxy Readmission Adjustment Factor	Proxy Quality Reduction	Proxy EHR Reduction
010052	Lake Martin Community Hospital	01	01	01	01	01123	5	rural	rural	N	0.7696				Y	0.0305	1	0	0	46	4	0	0	0.2688	0.02848	0	0.02848	0.000044	1192	0.000031	758.7	0.525	0.055	14	3704.67	279	270.87	0.9962	0.9876			271.62	0.9952	0.9869			0.8358	1	0	0	0.60381	1.24273	1	1.0000	0	0
010055	Flowers Hospital	20020	20020	37460	01	01069	5	ourban	rural	S	0.8058		YES	YES	N		1	0	0	235	136	0	0	0.2178	0.01796	0	0.01796	0.000225	392.31	0.000283	485.97	0.112	0.009	7		4448	4387.62	1.8983	1.8865			4391.67	1.8944	1.8826			0.8626	1	0.02118	0.02705	0.46756	1	0.99569	0.9955	0	0
010056	St Vincent's Birmingham	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0.0029	0.0063	409	266	0.00158	0.00178	0.172	0.00983	0.03544	0.00983	0.000478	726.49	0.000381	539.26	0.219	0.014	0		4755	4698.62	1.9699	1.9649	931.69	2.0012	4702.43	1.9689	1.9640	932.28	2.0013	0.8676	1	0.05811	0.0365	0.27615	1	1.00019	0.9935	0	0
010058	Bibb Medical Center	13820	13820	13820	13820	01007	5	lurban	lurban	N	0.8127				N		1	0	0	25	5	0	0	0.3305	0.03	0	0.03	0.000048	2768.5	0.000035	1739.31	0.62	0.082	0		137	135.22	0.9643	0.9600			135.28	0.9648	0.9605			0.8676	1	0	0	0.35419	1.24871	1	1.0000	1	0
010059	Lawrence Medical Center	19460	19460	19460	19460	01079	5	ourban	ourban	N	0.7615				N		1	0	0	43	6	0	0	0.2622	0.02712	0	0.02712	0.000019	486.45	0.000025	588.41	0.401	0.022	0		284	273.75	1.1700	1.1589			274.24	1.1643	1.1532			0.8298	1	0	0	0.65575	1.23947	1	0.9970	0	0
010061	Highlands Medical Center	01	01	16860	01	01071	5	rural	rural	W	0.8383				N		1	0	0	170	30	0	0	0.3531	0.03	0	0.03	0.000143	961.79	0.000124	720.68	0.337	0.016	16	2085.97	1013	997.65	1.2210	1.2114			998.48	1.2189	1.2095			0.8862	1	0	0	0.55924	1.0025	0.99906	0.9911	0	0
010062	Wiregrass Medical Center	20020	20020	01	01	01061	5	ourban	rural	S	0.7543		YES		N		1	0	0	73	13	0	0	0.2408	0.0227	0	0.0227	0.000034	506.7	0.000036	516.27	0.317	0.021	0		520	515.87	1.1893	1.1846			516.27	1.1860	1.1818			0.8244	1	0.00144	0.00056	0.6121	1.20462	0.99782	0.9937	0	1
010065	Russell Medical Center	01	01	13820	01	01123	5	rural	rural	W	0.8042				N		1	0	0	43	28	0	0	0.3044	0.03582	0	0.03582	0.0001	633.43	0.000088	504.86	0.34	0.033	7		1026	996.76	1.3485	1.3400			998.32	1.3461	1.3375			0.8614	1	0.00626	0.0125	0.48289	1.05599	0.99792	0.9786	0	0
010069	Medical Center Barbour	01	01	01	01	01005	5	rural	rural	N	0.7543				N		1	0	0	30	11	0	0	0.2555	0.02573	0	0.02573		0		0	0.245	0.017	16	5689.57	427	418.02	1.1412	1.1299			418.34	1.1416	1.1302			0.8244	1	0.00481	0.00393	0.55896	1.20591	1.00408	0.9976	0	0
010073	Clay County Hospital	01	01	01	01	01027	5	rural	rural	N	0.7543				N		1	0	0	46	15	0	0	0.4563	0.06715	0	0.06715	0.000034	528.08	0.000043	607.64	0.561	0.03	14	4041.31	503	489.11	1.1728	1.1678			488.16	1.2446	1.2373			0.8244	1	0.03751	0.0233	0.596	1.19447	1.00181	0.9978	0	0
010078	Northeast Alabama Regional Medical Center	11500	11500	11500	01	01015	5	ourban	rural	S	0.8147		YES		N		1	0	0	251	141	0	0	0.3254	0.04015	0	0.04015	0.000457	851.34	0.000382	663.01	0.125	0.009	7		4040	4001.94	1.6492	1.6428			4004.85	1.6474	1.6411			0.8691	1	0.01364	0.01377	0.47116	1	0.99842	0.9850	0	0
010079	Athens Limestone Hospital	26620	26620	26620	26620	01083	5	ourban	ourban	N	0.8362				N		1	0	0	71	41	0	0	0.2798	0.03	0	0.03	0.00016	810.27	0.000134	639.77	0.278	0.017	0		1489	1452.92	1.5485	1.5391			1454.46	1.5415	1.5326			0.8847	1	0.00592	0.00307	0.4523	1	1.00105	0.9937	0	0
010083	South Baldwin Regional Medical Center	19300	19300	37860	19300	01003	5	ourban	ourban	W	0.8312				N		1	0.0717	0	112	69	0.0384	0	0.214	0.01718	0.04429	0.01718	0.000202	793.44	0.000168	644.48	0.089	0.008	7		2027	1985.32	1.6015	1.5895	192.25	1.5961	1987.99	1.5852	1.5745	192.50	1.6007	0.8811	1	0.0045	0.00744	0.3634	1	1.01001	0.9915	0	0
010085	Decatur Morgan Hospital-Decatur Campus	19460	19460	26620	19460	01103	5	ourban	ourban	W	0.8131				N		1	0	0	194	115	0	0	0.2209	0.0186	0.04575	0.0186	0.000335	697.84	0.000296	575.54	0.293	0.015	0		3722	3670.62	1.4932	1.4808			3674.39	1.4944	1.4824			0.8679	1	0.02089	0.00828	0.50552	1	0.99749	0.9829	0	0
010086	Northwest Medical Center	01	01	01	01	01093	5	rural	rural	N	0.7543				N		1	0	0	61	11	0	0	0.1928	0.01321	0	0.01321	0.000033	482.75	0.000028	335.24	0.197	0.015	14	4747.09	486	472.06	1.0085	0.9979			473.17	1.0027	0.9926			0.8244	1	0	0	0.64566	1.20114	0.9982	1.0000	0	0
010087	University Of South Alabama Medical Center	33660	33660	33660	33660	01097	5	ourban	ourban	N	0.8012				N		1	0.9808	1.1416	144	117	0.43055	0.3801	0.4773	0.07148	0.10148	0.07148	0.000647	3973.51	0.000541	3579.73	0.381	0.015	0		1462	1445.39	2.0715	2.0574	576.55	2.0741	1446.06	2.0867	2.0729	576.73	2.0987	0.8592	1	0.03891	0.01004	0.17959	1	0.99195	0.9989	0	0
010089	Walker Baptist Medical Center	13820	13820	13820	13820	01127	5	lurban	lurban	N	0.8127				N		1	0	0	145	61	0	0	0.3122	0.03743	0.06526	0.03743	0.000268	1199.98	0.000234	956.55	0.152	0.007	16	5892.74	1694	1662.52	1.4018	1.3939			1664.70	1.4011	1.3931			0.8676	1	0.01331	0.00379	0.33344	1	0.99571	0.9966	0	0
010090	Providence Hospital	33660	33660	33660	33660	01097	5	ourban	ourban	N	0.8012				N		1	0.0024	0.0061	349	204	0.00131	0.00172	0.2151	0.0174	0.04452	0.0174	0.000404	786.48	0.000311	549.37	0.264	0.018	0		3708	3654.06	1.8224	1.8096	2215.32	1.7319	3656.54	1.8220	1.8086	2216.73	1.7316	0.8592	1	0.01548	0.01082	0.31143	1	0.99588	0.9876	0	0
010091	Grove Hill Memorial Hospital	01	01	01	01	01025	5	rural	rural	N	0.7543				N		1	0	0	21	7	0	0	0.4995	0.03	0	0.03	0.000038	1433.69	0.000038	1270.44	0.314	0.037	0		166	158.90	1.0261	0.9981			159.27	1.0224	0.9941			0.8244	1	0	0	0.28248	1	0.99574	0.9941	0	0
010092	D C H Regional Medical Center	46220	46220	46220	01	01125	5	ourban	rural	S	0.8282		YES		N		1	0.0902	0.1088	520	403	0.04805	0.03118	0.3486	0.04494	0	0.04494	0.000951	714.19	0.000993	693.23	0.233	0.016	17	5834.02	9887	9731.12	1.6638	1.6554	3073.95	1.6653	9738.96	1.6610	1.6525	3075.89	1.6605	0.8789	1	0.02081	0.01671	0.41969	1	0.98917	0.9904	0	0
010095	Hale County Hospital	46220	46220	46220	46220	01065	5	ourban	ourban	N	0.8282				N		1	0	0	28	4	0	0	0.3139	0.03	0	0.03	0.000032	1370.56	0.000024	1026.17	0.802	0.1	0		209	206.25	0.9608	0.9578			206.38	0.9618	0.9590			0.8789	1	0	0	0.45073	1.25	1	1.0000	0	1
010097	Elmore Community Hospital	33860	33860	33860	33860	01051	5	ourban	ourban	N	0.8008				N		1	0	0	33	8	0	0	0.375	0.03	0	0.03	0.000035	911.75	0.000032	764.81	0.563	0.015	0		280	273.05	1.1802	1.1756			272.34	1.2640	1.2571			0.8589	1	0	0	0.44687	1.2303	1.00446	1.0000	0	0
010099	D W Mcmillan Memorial Hospital	01	01	01	01	01053	5	rural	rural	N	0.7543				N		1	0	0	49	16	0	0	0.34	0.03	0	0.03	0.000063	890.38	0.00006	764.75	0.45	0.047	0		560	548.09	1.0528	1.0421			548.58	1.0462	1.0359			0.8244	1	0	0	0.38555	1.16553	1.00356	0.9989	0	1
010100	Thomas Hospital	19300	19300	37860	19300	01003	5	ourban	ourban	W	0.8312				N		1	0	0	129	95	0	0	0.1523	0.00662	0.03132	0.00662	0.000213	550.67	0.000176	457.9	0.325	0.03	7		3150	3093.31	1.7906	1.7822			3096.48	1.7961	1.7873			0.8811	1	0.01075	0.0162	0.40622	1	1.00562	0.9869	0	0
010101	Citizens Baptist Medical Center	01	01	13820	13820	01121	5	rural	lurban	L	0.8042	LUGAR			N		1	0	0	81	21	0	0	0.4159	0.03	0	0.03	0.000133	1633.44	0.00011	1198.01	0.187	0.008	7		548	529.36	1.2339	1.2245			530.01	1.2331	1.2238			0.8614	1	0.00064	0	0.35162	1.10508	0.99806	0.9973	0	0
010102	J Paul Jones Hospital	01	01	01	01	01131	5	rural	rural	N	0.7543				N		1	0	0	21	2	0	0	0.4399	0.03	0	0.03	0.000021	2039.7	0.000013	1184.52	0.825	0.025	16	2750.53	89	86.27	0.8762	0.8658			86.52	0.8764	0.8667			0.8244	1	0	0	0.49065	1.25	1	1.0000	0	0
010103	Princeton Baptist Medical Center	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0.1896	0.2472	273	185	0.09834	0.07225	0.2411	0.02276	0.05003	0.02276	0.000448	914.98	0.000459	911.21	0.133	0.007	0		3897	3827.89	2.2541	2.2270	2928.58	2.1105	3831.51	2.2664	2.2396	2931.29	2.1127	0.8676	1	0.03215	0.01136	0.32488	1	0.99361	0.9946	0	0
010104	Grandview Medical Center	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0.1025	0.2163	350	240	0.05442	0.06294	0.1931	0.01325	0.03988	0.01325	0.000535	901.65	0.000317	620.55	0.084	0.009	0		5209	5158.62	1.9861	1.9790	3006.32	1.9914	5162.40	1.9863	1.9792	3008.24	1.9941	0.8676	1	0.03891	0.07664	0.31013	1	1.00252	0.9718	0	0
010108	Prattville Baptist Hospital	33860	33860	33860	33860	01001	5	ourban	ourban	N	0.8008				N		1	0	0	50	39	0	0	0.213	0.01697	0	0.01697	0.000144	1018.15	0.000098	659.92	0.23	0.013	0		1038	1014.11	1.1659	1.1544			1015.26	1.1650	1.1535			0.8589	1	0.0102	0.00693	0.39775	1	1.00133	0.9993	0	0
010109	Pickens County Medical Center	46220	46220	46220	46220	01107	5	ourban	ourban	N	0.8282				N		1	0	0	40	4	0	0	0.252	0.02501	0	0.02501		0		0	0.646	0.078	16	7800.71	247	241.23	1.0056	1.0030			241.61	1.0038	1.0013			0.8789	1	0	0.0034	0.56029	1.25	1	1.0000	0	1
010110	Bullock County Hospital	01	01	01	01	01011	5	rural	rural	N	0.7543				N		1	0	0	30	8	0	0	0.4435	0.03	0	0.03	0.000039	1429.92	0.000046	1348.93	0.299	0.02	16	2692.5	168	165.99	1.0687	1.0660			165.42	1.1342	1.1288			0.8244	1	0	0	0.40404	1.24129	1	1.0000	0	0
010112	Bryan W. Whitfield Memorial Hospital	01	01	01	01	01091	5	rural	rural	N	0.7543				N		1	0	0	89	18	0	0	0.6322	0.03	0	0.03	0.000105	1511	0.000107	1156.27	0.7	0.047	16	5388.2	471	464.12	1.1259	1.1244			463.98	1.1778	1.1759			0.8244	1	0.00277	0.00244	0.47621	1.15735	0.99707	0.9992	0	0
010113	Mobile Infirmary Medical Center	33660	33660	33660	33660	01097	5	ourban	ourban	N	0.8012				N		1	0.0084	0.025	601	392	0.00458	0.00708	0.2968	0.03425	0.06194	0.03425	0.000654	699.27	0.00072	728.61	0.32	0.016	0		7028	6958.76	1.9155	1.8958	5084.50	1.9687	6961.76	1.9194	1.8994	5087.99	1.9744	0.8592	1	0.03588	0.01161	0.33692	1	0.99856	0.9942	0	0
010114	"Medical West, An Affiliate Of Uab Health System"	13820	13820	13820	13820	01073	5	lurban	lurban	N	0.8127				N		1	0	0	187	90	0	0	0.2169	0.01777	0.0449	0.01777	0.000337	1722.58	0.000262	1334.54	0.177	0.014	0		1592	1570.80	1.5540	1.5462			1571.65	1.5298	1.5218			0.8676	1	0.01477	0.01525	0.29685	1	1.00166	0.9986	0	0
010118	Vaughan Regional Medical Center Parkway Campus	01	01	46220	01	01047	5	rural	rural	W	0.8048				N		1	0.0725	0.2501	163	45	0.03882	0.07313	0.5793	0.09252	0	0.09252	0.000122	579.53	0.000171	770.6	0.108	0.01	17	5228.88	1653	1604.97	1.3486	1.3254	398.03	1.3478	1606.83	1.3501	1.3271	398.84	1.3507	0.8618	1	0.00355	0.0053	0.35244	1	1.0042	0.9965	0	0
010120	Monroe County Hospital	01	01	01	01	01099	5	rural	rural	N	0.7543				N		1	0	0	49	9	0	0	0.3653	0.03	0	0.03	0.000059	1106.03	0.000039	672.51	0.407	0.048	16	4608.95	419	404.97	1.0758	1.0649			405.70	1.0725	1.0615			0.8244	1	0	0.00219	0.42702	1.20159	1.00958	0.9982	0	0
010125	Lakeland Community Hospital	01	01	13820	01	01133	5	rural	rural	W	0.8042				N		1	0	0	50	15	0	0	0.3042	0.03578	0	0.03578	0.000034	366.63	0.000032	317.46	0.225	0.014	14	2419.66	649	641.21	1.0237	1.0217			640.90	1.0264	1.0230			0.8614	1	0	0	0.63596	1.1828	1.00351	1.0000	0	0
010126	Troy Regional Medical Center	01	01	33860	01	01109	5	rural	rural	W	0.8008				N		1	0	0	97	18	0	0	0.3574	0.03	0	0.03	0.000074	1097.3	0.000051	670.86	0.229	0.018	0		536	522.12	1.3887	1.3698			522.54	1.3963	1.3823			0.8589	1	0.00001	0.00025	0.41447	1.16265	0.98683	0.9946	0	1
010128	Jackson Medical Center	01	01	01	01	01025	5	rural	rural	N	0.7543				N		1	0	0	35	9	0	0	0.4707	0.03	0	0.03	0.000036	917.04	0.000027	706.74	0.617	0.046	0		315	309.47	0.9702	0.9663			309.18	0.9974	0.9920			0.8244	1	0	0	0.35706	1	0.99214	0.9970	0	0
010129	North Baldwin Infirmary	19300	19300	19300	19300	01003	5	ourban	ourban	N	0.7999				Y	0.014	1	0	0	55	16	0	0	0.2982	0.03	0	0.03	0.000087	1586.75	0.000069	1181.27	0.358	0.042	0		377	363.62	1.3644	1.3540			364.29	1.3642	1.3535			0.8582	1	0	0	0.31354	1.15023	0.99948	0.9830	0	0
010130	St Vincent's St Clair	13820	13820	13820	13820	01115	5	lurban	lurban	N	0.8127				N		1	0	0	40	20	0	0	0.127199125	0	0	0		0		0	0.195	0.019	0		563	553.94	1.0633	1.0574			554.42	1.0571	1.0527			0.8676	1	0	0	0.37653	1.14947	1.00939	1.0000	0	0
010131	Crestwood Medical Center	26620	26620	26620	26620	01089	5	ourban	ourban	N	0.8362				N		1	0	0	175	118	0	0	0.1739	0.01013	0.03584	0.01013	0.000274	562.83	0.000191	381.17	0.075	0.007	0		3723	3691.17	1.8251	1.8203			3693.08	1.8150	1.8100			0.8847	1	0.01414	0.02268	0.4118	1	0.99709	0.9700	0	0
