FY 2019 IPPS Impact File -  Correction Notice (September 2018)																																																									
Provider Number	Name	Geographic Labor Market Area	Pre-Reclass Labor Market Area	Post Reclass Labor Market Area	Payment Labor Market Area (for purposes of Capital and DSH)	SSA County Code	FIPS County Code	Region	URGEO	URSPA	RECLASS	FY 2019 Wage Index	LUGAR	Section 401 Hospital	Section 401 or LUGAR Hospitals with a MGCRB Wage Index Reclass	Section 505 Eligible	Section 505 Adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	Beds	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPP	DSHCPP	DSH_LY	UCP_ADJ	UCP Per Claim Amount	UCP_ADJ_LY	UCP Per Claim Amount LY	Operating CCR	Capital CCR	Provider Type	HSP Rate	Bills	CASETA35	CMIV35	TACMIV35	IME_CASETA35	IME_TACMIV35	CASETA36	CMIV36	TACMIV36	IME_CASETA36	IME_TACMIV36	GAF	Capital Cost of Living Adjustment	OUT19F	COUT19F	Medicare Percentage	Low Volume Hospital Adjustment	Proxy Value Based Purchasing Adjustment Factor	Proxy Readmission Adjustment Factor	Proxy Quality Reduction	Proxy EHR Reduction
010021	Dale Medical Center	1	1	1	1	1220	01045	5	rural	rural	N	0.6704						1	0	0	77	23	0	0	0.4149	0.03	0	0.03	0.000073	921.78	0.000075	743.1	0.382	0.016	0		585	562.61	1.3382	1.3222			565.24	1.3384	1.3215			0.7605	1	0.00513	0.00157	0.397	1.16356	1.00099	1.00	0	0
010022	Cherokee Medical Center	1	1	12060	40660	1090	01019	5	rural	ourban	L	0.9208	LUGAR					1	0	0	45	8	0	0	0.4671	0.03	0	0.03	0.000022	618.25	0.000026	495.42	0.255	0.02	14	4578.83	238	225.94	1.0626	1.0545			227.13	1.0848	1.0761			0.9451	1	0	0	0.453	1.23689	0.99984	1.00	0	0
010023	Baptist Medical Center South	33860	33860	33860	33860	1500	01101	5	ourban	ourban	N	0.7459						1	0.1165	0.1765	329	232	0.06162	0.05107	0.4068	0.05694	0.08587	0.05694	0.000723	1227.44	0.000796	1127.27	0.23	0.012	0		4805	4740.33	1.8427	1.8329	799.28	2.252	4743.33	1.8506	1.84	799.92	2.2624	0.8181	1	0.05957	0.02425	0.293	1	0.99687	0.99	0	0
010024	Jackson Hospital & Clinic Inc	33860	33860	13820	1	1500	01101	5	ourban	rural	S	0.7845		YES	YES			1	0	0	255	174	0	0	0.2573	0.02611	0	0.02611	0.000388	706.79	0.000389	562.27	0.18	0.019	7		4182	4146.88	1.8194	1.8069			4148.29	1.8365	1.8237			0.8469	1	0.01898	0.03549	0.387	1	0.99444	0.99	0	0
010029	East Alabama Medical Center	12220	12220	17980	12220	1400	01081	5	ourban	ourban	W	0.7775						1	0	0	332	202	0	0	0.2681	0.02833	0.05579	0.02833	0.00057	820.98	0.00061	693.92	0.407	0.044	7		5135	5075.53	1.7147	1.7095			5082.66	1.7167	1.7117			0.8417	1	0.02576	0.04653	0.517	1	1.00175	0.98	0	0
010032	Tanner Medical Center-East Alabama	1	1	1	1	1550	01111	5	rural	rural	N	0.7578				YES	0.0874	1	0	0	34	3	0	0	0.1942	0.01343	0	0.01343	0.000023	1384.81	0.000017	642.62	0.429	0.018	0		97	93.06	0.9222	0.9151			93.21	0.9133	0.9068			0.827	1	0	0	0.487	1.25	1	1.00	0	1
010033	University Of Alabama Hospital	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0.2985	0.3968	1018	814	0.15064	0.11849	0.3663	0.04859	0.077	0.04859	0.002904	1936.44	0.003056	1702.9	0.213	0.014	0		12034	11835.8	2.3423	2.3307	4485.59	2.1456	11855.4	2.345	2.3342	4490.94	2.1586	0.8609	1	0.1582	0.10328	0.258	1	1.00976	1.00	0	0
010034	Community Hospital Inc	33860	33860	33860	33860	1250	01051	5	ourban	ourban	N	0.7459						1	0	0	37	14	0	0	0.2264	0.01973	0	0.01973	0.000047	824.32	0.000042	528.51	0.492	0.043	0		429	423.62	1.1163	1.1131			424.17	1.1162	1.1131			0.8181	1	0	0	0.451	1.20045	1.0137	1.00	0	0
010035	Cullman Regional Medical Center	1	1	13820	1	1210	01043	5	rural	rural	W	0.7845						1	0	0	115	74	0	0	0.2205	0.01852	0	0.01852		0		0	0.231	0.023	17	6610.71	3321	3243.51	1.4199	1.4109			3253.46	1.4138	1.4058			0.8469	1	0.00665	0.01135	0.471	1	1.00109	0.98	0	0
010036	Andalusia Health	1	1	1	1	1190	01039	5	rural	rural	N	0.6704						1	0	0	88	26	0	0	0.329	0.03	0	0.03	0.000073	440.76	0.000089	435.16	0.152	0.012	0		1429	1399.8	1.2823	1.2727			1402.09	1.2933	1.2844			0.7605	1	0.0022	0.00258	0.491	1.06545	1.00937	0.99	0	0
010038	Stringfellow Memorial Hospital	11500	11500	11500	11500	1070	01015	5	ourban	ourban	N	0.7542						1	0	0	125	30	0	0	0.2726	0.02926	0.05675	0.02926	0.000076	445.14	0.000077	367.84	0.116	0.014	0		1337	1320.3	1.3078	1.2992			1321.88	1.313	1.3051			0.8243	1	0.01912	0.04827	0.517	1	1.0046	0.99	0	0
010039	Huntsville Hospital	26620	26620	26620	26620	1440	01089	5	ourban	ourban	N	0.8056						1	0.0535	0.1054	866	612	0.0288	0.03019	0.2563	0.0259	0.05327	0.0259	0.001605	847.13	0.001532	664.33	0.171	0.01	0		15266	15131	1.8415	1.8365	2552.6	1.9219	15146.4	1.8406	1.8357	2554.16	1.9238	0.8624	1	0.04736	0.02531	0.365	1	0.99536	0.99	0	0
010040	Gadsden Regional Medical Center	23460	23460	13820	23460	1270	01055	5	ourban	ourban	W	0.7845						1	0	0	231	185	0	0	0.2783	0.03044	0.05797	0.03044	0.00041	695.11	0.00042	555.4	0.083	0.005	0		4454	4400.16	1.7074	1.6962			4403.52	1.7175	1.7059			0.8469	1	0.02406	0.01399	0.431	1	0.99554	0.98	0	0
010044	Marion Regional Medical Center	1	1	13820	1	1460	01093	5	rural	rural	W	0.7845						1	0	0	35	3	0	0	0.1346	0	0	0	0.00004	1104.86		0	0.302	0.022	0		370	362.01	1.1272	1.1233			362.39	1.1317	1.1278			0.8469	1	0	0	0.797	1.25	1.02275	1.00	0	0
010045	Fayette Medical Center	1	1	13820	1	1280	01057	5	rural	rural	W	0.7845						1	0	0	42	10	0	0	0.1639	0.00851	0	0.00851	0.000042	715.05	0.000037	460.94	0.487	0.025	14	5058.64	378	366.13	1.1866	1.1779			367.73	1.1777	1.1699			0.8469	1	0.01623	0.00785	0.698	1.2103	1.01543	0.98	0	0
010046	Riverview Regional Medical Center	23460	23460	23460	23460	1270	01055	5	ourban	ourban	N	0.6778				YES	0.0074	1	0	0	256	92	0	0	0.09954	0	0.02036	0		0	0.000184	411.23	0.16	0.012	0		3033	2964.11	1.6455	1.6306			2969.38	1.6404	1.6255			0.7662	1	0.12082	0.10005	0.508	1	1.0073	0.99	0	0
010047	Georgiana Medical Center	1	1	1	1	1060	01013	5	rural	rural	N	0.688				YES	0.0176	1	0	0	22	4	0	0	0.1723	0.00987	0	0.00987	0.000021	498.01	0.000018	342.99	0.488	0.041	14	3100.96	316	312.51	0.8679	0.8614			312.88	0.868	0.8617			0.7741	1	0	0	0.731	1.2478	1	0.99	0	0
010049	Medical Center Enterprise	1	1	1	1	1150	01031	5	rural	rural	N	0.6704						1	0	0	117	22	0	0	0.3987	0.03	0	0.05527	0.000082	684.03	0.000095	626.49	0.142	0.013	0		977	942.81	1.376	1.3637			947.41	1.3572	1.3481			0.7605	1	0.00562	0.01015	0.297	1.03462	0.99885	1.00	0	0
010051	Greene County Hospital	1	1	1	1	1310	01063	5	rural	rural	N	0.6704						1	0	0	20	3	0	0	0.4116	0.03	0	0.03	0.000032	2323.35	0.000027	1138.12	0.835	0.024	0		76	72.87	0.9638	0.9583			73.18	0.9559	0.9507			0.7605	1	0	0	0.602	1.25	1	1.00	1	1
010052	Lake Martin Community Hospital	1	1	1	1	1610	01123	5	rural	rural	N	0.7009				YES	0.0305	1	0	0	46	5	0	0	0.2501	0.02462	0	0.02462	0.000031	758.7	0.000025	460.54	0.502	0.054	14	3619.31	316	305.35	0.9782	0.9673			305.97	0.9781	0.9673			0.784	1	0	0	0.647	1.24061	1	1.00	0	0
010055	Flowers Hospital	20020	20020	10	1	1340	01069	5	ourban	rural	S	0.7684		YES	YES			1	0	0	235	124	0	0	0.2268	0.01982	0	0.01982	0.000283	485.97	0.000225	323.6	0.124	0.011	7		4875	4809.65	1.7761	1.7701			4818.67	1.7718	1.7658			0.8349	1	0.02744	0.03327	0.49	1	0.9983	0.99	0	0
010056	St Vincent'S Birmingham	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0.0037	0.0063	442	282	0.00202	0.00178	0.1655	0.00877	0.03408	0.00877	0.000381	539.26	0.000347	383.39	0.226	0.014	0		5249	5196.82	1.9282	1.9211	2967.94	1.8671	5202.32	1.9295	1.9223	2970.49	1.876	0.8609	1	0.05535	0.03043	0.297	1	0.99853	0.99	0	0
010058	Bibb Medical Center	13820	13820	13820	13820	1030	01007	5	lurban	lurban	N	0.8036						1	0	0	25	4	0	0	0.3093	0.03	0	0.03	0.000035	1739.31	0.000025	904.32	0.943	0.1	0		133	126.9	0.9997	0.9933			127.23	0.9982	0.9917			0.8609	1	0	0	0.591	1.25	1	1.00	0	0
010059	Lawrence Medical Center	19460	19460	19460	19460	1390	01079	5	ourban	ourban	N	0.6846						1	0	0	43	7	0	0	0.2393	0.02239	0	0.02239	0.000025	588.41	0.000027	452.07	0.465	0.022	0		314	299.01	1.1289	1.1196			299.6	1.1316	1.1223			0.7714	1	0	0	0.705	1.23598	0.99733	1.00	0	0
010061	Highlands Medical Center	1	1	16860	1	1350	01071	5	rural	rural	W	0.8331						1	0	0	170	39	0	0	0.3386	0.03	0	0.04287	0.000124	720.68	0.000124	545.32	0.363	0.018	16	2037.9	1212	1187.08	1.186	1.1759			1189.5	1.1886	1.1799			0.8825	1	0	0	0.463	1	0.99755	1.00	0	0
010062	Wiregrass Medical Center	20020	20020	20020	20020	1300	01061	5	ourban	ourban	N	0.6849						1	0	0	73	12	0	0	0.2167	0.01773	0	0.01773	0.000036	516.27	0.000029	338.68	0.338	0.036	0		531	523.74	1.1131	1.1076			524.33	1.1053	1.1004			0.7717	1	0	0	0.635	1.20621	0.99367	1.00	0	1
010065	Russell Medical Center	1	1	13820	1	1610	01123	5	rural	rural	W	0.7845						1	0	0	75	28	0	0	0.3043	0.0358	0	0.03	0.000088	504.86	0.000094	431.33	0.367	0.035	7		1349	1301.78	1.4898	1.465			1305.92	1.4873	1.4627			0.8469	1	0.02333	0.03102	0.495	1	1.00333	0.97	0	0
010069	Medical Center Barbour	1	1	1	1	1020	01005	5	rural	rural	N	0.6704						1	0	0	30	11	0	0	0.2518	0.02497	0	0.02497		0		0	0.269	0.02	16	5558.48	466	452.3	1.155	1.1374			453.23	1.1572	1.1405			0.7605	1	0.00031	0.00027	0.606	1.20636	1.00908	1.00	0	0
010073	Clay County Hospital	1	1	1	1	1130	01027	5	rural	rural	N	0.6704						1	0	0	46	15	0	0	0.4595	0.06781	0	0.03	0.000043	607.64	0.000055	562.75	0.576	0.021	14	4108.42	507	493.54	1.1379	1.1359			494.81	1.1817	1.1796			0.7605	1	0.00702	0.00063	0.563	1.19515	0.99175	1.00	0	0
010078	Northeast Alabama Regional Medical Center	11500	11500	13820	1	1070	01015	5	ourban	rural	S	0.7845		YES	YES			1	0	0	217	148	0	0	0.3044	0.03582	0	0.03582	0.000382	663.01	0.000325	442.49	0.135	0.011	7		4327	4286.43	1.635	1.6291			4289.92	1.6419	1.6361			0.8469	1	0.01842	0.01852	0.47	1	0.99648	0.98	0	0
010079	Athens Limestone Hospital	26620	26620	26620	26620	1410	01083	5	ourban	ourban	N	0.8056						1	0	0	70	38	0	0	0.2666	0.02802	0	0.02802	0.000134	639.77	0.000079	297.69	0.323	0.02	0		1623	1583.41	1.4794	1.4636			1586.63	1.4767	1.4623			0.8624	1	0.01459	0.00872	0.46	1	0.99473	0.99	0	0
010083	South Baldwin Regional Medical Center	19300	19300	37860	19300	1010	01003	5	ourban	ourban	W	0.803						1	0	0	112	68	0	0	0.1919	0.01306	0.03962	0.01306	0.000168	644.48	0.000166	521.76	0.095	0.008	7		2158	2127.59	1.4281	1.421			2131.2	1.4208	1.4135			0.8605	1	0.00803	0.01017	0.372	1	1.00466	0.99	0	0
010085	Decatur Morgan Hospital-Decatur Campus	19460	19460	26620	19460	1510	01103	5	ourban	ourban	W	0.7902						1	0	0	190	111	0	0	0.2444	0.02345	0.05074	0.02345	0.000296	575.54	0.000331	505.28	0.273	0.015	0		4060	3992.29	1.4834	1.4743			4003.16	1.4925	1.485			0.8511	1	0.01204	0.00392	0.514	1	0.99667	0.99	0	0
010086	Northwest Medical Center	1	1	13820	1	1460	01093	5	rural	rural	W	0.7845						1	0	0	61	13	0	0	0.1762	0.01051	0	0.01051	0.000028	335.24	0.000026	222.68	0.185	0.01	14	4637.72	557	542.37	1.1284	1.1047			543.18	1.1293	1.1057			0.8469	1	0.00044	0	0.63	1.18386	0.9981	1.00	0	0
010087	University Of South Alabama Medical Center	33660	33660	33660	33660	1480	01097	5	ourban	ourban	N	0.7494						1	1.0032	1.1416	138	113	0.43868	0.3801	0.4489	0.06562	0.09516	0.06562	0.000541	3579.73	0.000518	3103.25	0.391	0.013	0		1341	1325.1	2.1585	2.1261	540.87	2.0543	1326.39	2.1869	2.1546	540.98	2.0694	0.8207	1	0.05838	0.00476	0.189	1	1.00112	1.00	0	0
010089	Walker Baptist Medical Center	13820	13820	13820	13820	1630	01127	5	lurban	lurban	N	0.8036						1	0	0	145	67	0	0	0.3645	0.04822	0.0766	0.04822	0.000234	956.55		0	0.203	0.01	16	5756.97	1807	1777.35	1.4443	1.4374			1779.93	1.4436	1.4366			0.8609	1	0.01666	0.00586	0.395	1	0.9994	0.99	0	0
010090	Providence Hospital	33660	33660	33660	33660	1480	01097	5	ourban	ourban	N	0.7494						1	0.0024	0.0061	349	208	0.00131	0.00172	0.2032	0.01495	0.04201	0.01495	0.000311	549.37	0.000331	454.47	0.272	0.02	0		4275	4222.13	1.8319	1.8262	978.12	1.7032	4225.9	1.8395	1.8329	978.61	1.7135	0.8207	1	0.02636	0.02163	0.339	1	0.99365	0.99	0	0
010091	Grove Hill Memorial Hospital	1	1	1	1	1120	01025	5	rural	rural	N	0.6869				YES	0.0165	1	0	0	22	7	0	0	0.4132	0.03	0	0.03	0.000038	1270.44	0.000047	1164.45	0.327	0.039	0		237	226.85	0.9294	0.9168			227.34	0.9245	0.9121			0.7732	1	0	0	0.243	1	1.01563	1.00	0	0
010092	D C H Regional Medical Center	46220	46220	13820	46220	1620	01125	5	ourban	ourban	W	0.7845						1	0.0858	0.1088	547	388	0.04577	0.03118	0.3508	0.04539	0.07362	0.04539	0.000993	693.23	0.001191	665.67	0.222	0.017	16	5699.61	10747	10549.3	1.6843	1.6742	2377.64	1.6958	10574.8	1.6716	1.6622	2379.16	1.6943	0.8469	1	0.01846	0.01652	0.449	1	0.98813	0.98	0	0
010095	Hale County Hospital	46220	46220	46220	46220	1320	01065	5	ourban	ourban	N	0.8285						1	0	0	28	4	0	0	0.2654	0.02778	0	0.02778	0.000024	1026.17	0.000021	697.88	0.679	0.112	0		168	164.68	0.8839	0.8789			164.81	0.8821	0.8767			0.8791	1	0	0	0.539	1.25	1	1.00	0	1
010097	Elmore Community Hospital	33860	33860	33860	33860	1250	01051	5	ourban	ourban	N	0.7459						1	0	0	33	10	0	0	0.4055	0.03	0	0.03	0.000032	764.81	0.000033	616.04	0.563	0.016	0		328	317.25	1.1067	1.0992			318.11	1.153	1.145			0.8181	1	0	0	0.443	1.22447	1.0033	1.00	0	0
010099	D W Mcmillan Memorial Hospital	1	1	1	1	1260	01053	5	rural	rural	N	0.6704						1	0	0	49	17	0	0	0.3801	0.03	0	0.03	0.00006	764.75	0.000066	647.9	0.444	0.049	0		577	564.39	1.0773	1.0672			564.8	1.0822	1.071			0.7605	1	0.002	0.00662	0.462	1.15712	0.99675	1.00	0	0
010100	Thomas Hospital	19300	19300	19300	19300	1010	01003	5	ourban	ourban	N	0.7287				YES	0.0149	1	0	0	129	95	0	0	0.1796	0.01106	0.03704	0.01106	0.000176	457.9	0.000161	340.31	0.308	0.029	7		3074	2999.55	1.8266	1.8106			3009.56	1.8237	1.8071			0.8051	1	0.01046	0.01722	0.377	1	1.00706	0.99	0	0
010101	Citizens Baptist Medical Center	1	1	13820	11500	1600	01121	5	rural	ourban	L	0.7845	LUGAR					1	0	0	81	20	0	0	0.421	0.03	0	0.03	0.00011	1198.01	0.000111	884.04	0.228	0.013	7		641	618.95	1.2199	1.2066			621.57	1.2149	1.2035			0.8469	1	0.00966	0.00524	0.355	1.14955	1.00133	1.00	0	0
010102	J Paul Jones Hospital	1	1	1	1	1650	01131	5	rural	rural	N	0.6704						1	0	0	21	1	0	0	0.3466	0.03	0	0.03	0.000013	1184.52	0.000009	596.87	0.892	0.031	16	2687.15	81	79.68	0.894	0.8904			79.86	0.8886	0.8863			0.7605	1	0	0	0.645	1.25	1	1.00	0	0
010103	Princeton Baptist Medical Center	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0.1939	0.2472	273	194	0.10046	0.07225	0.264	0.02749	0.05491	0.02749	0.000459	911.21	0.000501	781.51	0.144	0.009	0		4042	3969.38	2.2193	2.1988	2828.81	2.0376	3974.23	2.2187	2.1982	2832.82	2.0448	0.8609	1	0.03743	0.02272	0.336	1	0.99324	0.99	0	0
010104	Grandview Medical Center	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0.1044	0.2163	342	189	0.0554	0.06294	0.2349	0.02149	0.04872	0.02149	0.000317	620.55	0.000362	650.46	0.1	0.011	0		4890	4855.77	1.8854	1.882	2420.06	1.8246	4858.68	1.8915	1.8886	2421.95	1.8171	0.8609	1	0.08559	0.14111	0.345	1	1.00306	0.99	0	0
010108	Prattville Baptist Hospital	33860	33860	33860	33860	1000	01001	5	ourban	ourban	N	0.7459						1	0	0	50	35	0	0	0.2062	0.01557	0	0.01557	0.000098	659.92	0.000072	429.41	0.195	0.013	0		1217	1196.35	1.2169	1.212			1198.12	1.2095	1.2047			0.8181	1	0.0075	0.00505	0.421	1	1.00927	1.00	0	0
010109	Pickens County Medical Center	46220	46220	46220	46220	1530	01107	5	ourban	ourban	N	0.8285						1	0	0	40	4	0	0	0.2128	0.01693	0	0.01693		0		0	0.586	0.092	16	7624.64	221	213.25	0.9293	0.9223			213.75	0.9223	0.9152			0.8791	1	0	0	0.559	1.25	1	1.00	0	1
010110	Bullock County Hospital	1	1	1	1	1050	01011	5	rural	rural	N	0.6704						1	0	0	30	9	0	0	0.4145	0.03	0	0.03	0.000046	1348.93	0.000051	1049.8	0.297	0.023	16	2574.02	235	230.83	1.0406	1.0343			231.73	1.0717	1.0681			0.7605	1	0	0	0.464	1.23432	1	1.00	0	1
010112	Bryan W. Whitfield Memorial Hospital	1	1	1	1	1450	01091	5	rural	rural	N	0.6704						1	0	0	89	23	0	0	0.5906	0.03	0	0.03	0.000107	1156.27	0.000126	915.63	0.58	0.043	16	5264.06	521	505.78	1.0923	1.0823			507.2	1.1187	1.1109			0.7605	1	0.00127	0.00165	0.509	1.12098	0.98347	1.00	0	0
010113	Mobile Infirmary Medical Center	33660	33660	33660	33660	1480	01097	5	ourban	ourban	N	0.7494						1	0.0088	0.025	615	379	0.0048	0.00708	0.2896	0.03277	0.0604	0.03277	0.00072	728.61	0.000786	620.56	0.318	0.014	0		7713	7631.53	1.8231	1.8108	5198.96	1.8352	7636.03	1.8329	1.8203	5202.17	1.8415	0.8207	1	0.03498	0.00821	0.389	1	1.00302	0.99	0	0
010114	"Medical West, An Affiliate Of Uab Health System"	13820	13820	13820	13820	1360	01073	5	lurban	lurban	N	0.8036						1	0	0	187	88	0	0	0.2603	0.02672	0.05412	0.02672	0.000262	1334.54	0.000236	974.65	0.169	0.014	0		1526	1509.74	1.5308	1.5296			1510.7	1.5341	1.5328			0.8609	1	0.01727	0.01877	0.287	1	1.00004	1.00	0	0
010118	Vaughan Regional Medical Center Parkway Campus	1	1	13820	1	1230	01047	5	rural	rural	W	0.7845						1	0.0732	0.2501	163	49	0.03918	0.07313	0.5967	0.09611	0	0.09611	0.000171	770.6	0.000241	814.15	0.108	0.017	17	5108.41	1687	1630.92	1.3707	1.3466	268.96	1.4012	1635.56	1.3719	1.3484	270.09	1.3855	0.8469	1	0	0	0.367	1	1.00417	0.99	0	0
010120	Monroe County Hospital	1	1	1	1	1490	01099	5	rural	rural	N	0.6704						1	0	0	49	10	0	0	0.373	0.03	0	0.03	0.000039	672.51	0.000035	469.13	0.372	0.035	16	4502.76	436	414.37	1.0763	1.0674			415.88	1.0725	1.0635			0.7605	1	0.00351	0.00486	0.432	1.19311	1.00682	0.99	0	0
010125	Lakeland Community Hospital	1	1	13820	1	1660	01133	5	rural	rural	W	0.7845						1	0	0	50	14	0	0	0.2768	0.03013	0	0.03	0.000032	317.46	0.000037	309.71	0.222	0.011	14	2363.92	829	817.89	0.9784	0.976			818.69	0.9855	0.9832			0.8469	1	0.00031	0	0.723	1.18394	0.99907	1.00	0	0
010126	Troy Regional Medical Center	1	1	1	1	1540	01109	5	rural	rural	N	0.6786				YES	0.0082	1	0	0	97	19	0	0	0.3254	0.03	0	0.03	0.000051	670.86	0.000043	442.89	0.179	0.012	0		544	530.72	1.3187	1.3069			531.77	1.3314	1.3186			0.7668	1	0.05435	0.03925	0.447	1.14644	1.0034	0.99	0	0
010128	Jackson Medical Center	1	1	1	1	1120	01025	5	rural	rural	N	0.6869				YES	0.0165	1	0	0	35	8	0	0	0.5252	0.03	0	0.03	0.000027	706.74	0.000023	546.22	0.732	0.058	0		353	344.4	0.9785	0.9747			344.68	0.9993	0.9933			0.7732	1	0	0	0.394	1	1.00176	1.00	0	1
010129	North Baldwin Infirmary	19300	19300	19300	19300	1010	01003	5	ourban	ourban	N	0.7287				YES	0.0149	1	0	0	55	14	0	0	0.3071	0.03	0	0.03	0.000069	1181.27	0.000063	876.37	0.321	0.037	0		536	520.93	1.33	1.3186			523.01	1.3266	1.3166			0.8051	1	0	0	0.281	1.15955	1.00766	0.99	0	0
010130	St Vincent'S St Clair	13820	13820	13820	13820	1570	01115	5	lurban	lurban	N	0.8036						1	0	0	40	18	0	0	0.1226	0	0	0		0		0	0.22	0.015	0		658	643.85	1.123	1.1065			645.24	1.1165	1.1025			0.8609	1	0.00388	0.00294	0.398	1.15258	1.01024	0.99	0	0
010131	Crestwood Medical Center	26620	26620	26620	26620	1440	01089	5	ourban	ourban	N	0.8056						1	0	0	151	110	0	0	0.1754	0.01038	0.03616	0.01038	0.000191	381.17	0.000128	204.86	0.096	0.008	0		4039	4006.02	1.7955	1.7942			4008.71	1.79	1.7885			0.8624	1	0.03952	0.0458	0.454	1	0.99694	0.97	0	0
