URBAN CBSAs AND CONSTITUENT COUNTIES FOR ACUTE CARE HOSPITALS—FY 2019			
CBSA Code	Urban Area		
	"Fairfield County, SC"		
	"Kershaw County, SC"		
	"Lexington County, SC"		
	"Richland County, SC"		
	"Saluda County, SC"		
17980	"Columbus, GA-AL"		
	"Russell County, AL"		
	"Chattahoochee County, GA"		
	"Harris County, GA"		
	"Marion County, GA"		
	"Muscogee County, GA"		
18020	"Columbus, IN"		
	"Bartholomew County, IN"		
18140	"1Columbus, OH"		
	"Delaware County, OH"		
	"Fairfield County, OH"		
	"Franklin County, OH"		
	"Hocking County, OH"		
	"Licking County, OH"		
	"Madison County, OH"		
	"Morrow County, OH"		
	"Perry County, OH"		
	"Pickaway County, OH"		
	"Union County, OH"		
18580	"Corpus Christi, TX"		
	"Aransas County, TX"		
	"Nueces County, TX"		
	"San Patricio County, TX"		
18700	"Corvallis, OR"		
	"Benton County, OR"		
18880	"Crestview-Fort Walton Beach-Destin, FL"		
	"Okaloosa County, FL"		
	"Walton County, FL"		
19060	"Cumberland, MD-WV"		
	"Allegany County, MD"		
	"Mineral County, WV"		
19124	"1Dallas-Plano-Irving, TX"		
	"Collin County, TX"		
	"Dallas County, TX"		
	"Denton County, TX"		
	"Ellis County, TX"		
	"Hunt County, TX"		
	"Kaufman County, TX"		
	"Rockwall County, TX"		
19140	"Dalton, GA"		
	"Murray County, GA"		
	"Whitfield County, GA"		
19180	"Danville, IL"		
	"Vermilion County, IL"		
19300	"Daphne-Fairhope-Foley, AL"		
	"Baldwin County, AL"		
19340	"Davenport-Moline-Rock Island, IA-IL"		
	"Henry County, IL"		
	"Mercer County, IL"		
	"Rock Island County, IL"		
	"Scott County, IA"		
19380	"Dayton, OH"		
	"Greene County, OH"		
	"Miami County, OH"		
	"Montgomery County, OH"		
19460	"Decatur, AL"		
	"Lawrence County, AL"		
	"Morgan County, AL"		
19500	"Decatur, IL"		
	"Macon County, IL"		
19660	"Deltona-Daytona Beach-Ormond Beach, FL"		
	"Flagler County, FL"		
	"Volusia County, FL"		
19740	"1Denver-Aurora-Lakewood, CO"		
	"Adams County, CO"		
	"Arapahoe County, CO"		
	"Broomfield County, CO"		
	"Clear Creek County, CO"		
	"Denver County, CO"		
	"Douglas County, CO"		
	"Elbert County, CO"		
	"Gilpin County, CO"		
	"Jefferson County, CO"		
	"Park County, CO"		
19780	"Des Moines-West Des Moines, IA"		
	"Dallas County, IA"		
	"Guthrie County, IA"		
	"Madison County, IA"		
	"Polk County, IA"		
	"Warren County, IA"		
19804	"1Detroit-Dearborn-Livonia, MI"		
	"Wayne County, MI"		
20020	"Dothan, AL"		
	"Geneva County, AL"		
	"Henry County, AL"		
	"Houston County, AL"		
20100	"Dover, DE"		
	"Kent County, DE"		
20220	"Dubuque, IA"		
	"Dubuque County, IA"		
20260	"Duluth, MN-WI"		
	"Carlton County, MN"		
	"St. Louis County, MN"		
	"Douglas County, WI"		
20500	"Durham-Chapel Hill, NC"		
	"Chatham County, NC"		
	"Durham County, NC"		
	"Orange County, NC"		
	"Person County, NC"		
20524	"Dutchess County-Putnam County, NY"		
	"Dutchess County, NY"		
	"Putnam County, NY"		
20700	"East Stroudsburg, PA"		
	"Monroe County, PA"		
20740	"Eau Claire, WI"		
	"Chippewa County, WI"		
	"Eau Claire County, WI"		
20940	"El Centro, CA"		
	"Imperial County, CA"		
20994	"Elgin, IL"		
	"DeKalb County, IL"		
	"Kane County, IL"		
21060	"Elizabethtown-Fort Knox, KY"		
	"Hardin County, KY"		
	"Larue County, KY"		
	"Meade County, KY"		
21140	"Elkhart-Goshen, IN"		
	"Elkhart County, IN"		
21300	"Elmira, NY"		
	"Chemung County, NY"		
21340	"El Paso, TX"		
	"El Paso County, TX"		
	"Hudspeth County, TX"		
21420	"Enid, OK"		
	"Garfield County, OK"		
21500	"Erie, PA"		
	"Erie County, PA"		
21660	"Eugene, OR"		
	"Lane County, OR"		
21780	"Evansville, IN-KY"		
	"Posey County, IN"		
	"Vanderburgh County, IN"		
	"Warrick County, IN"		
	"Henderson County, KY"		
21820	"Fairbanks, AK"		
	"Fairbanks North Star Borough, AK"		
22020	"Fargo, ND-MN"		
	"Clay County, MN"		
	"Cass County, ND"		
22140	"Farmington, NM"		
	"San Juan County, NM"		
22180	"Fayetteville, NC"		
	"Cumberland County, NC"		
	"Hoke County, NC"		
22220	"Fayetteville-Springdale-Rogers, AR-MO"		
	"Benton County, AR"		
	"Madison County, AR"		
	"Washington County, AR"		
	"McDonald County, MO"		
22380	"Flagstaff, AZ"		
	"Coconino County, AZ"		
22420	"Flint, MI"		
	"Genesee County, MI"		
22500	"Florence, SC"		
	"Darlington County, SC"		
	"Florence County, SC"		
22520	"Florence-Muscle Shoals, AL"		
	"Colbert County, AL"		
	"Lauderdale County, AL"		
22540	"Fond du Lac, WI"		
	"Fond du Lac County, WI"		
22660	"Fort Collins, CO"		
	"Larimer County, CO"		
22744	"1Fort Lauderdale-Pompano Beach-Deerfield Beach, FL"		
	"Broward County, FL"		
22900	"Fort Smith, AR-OK"		
	"Crawford County, AR"		
	"Sebastian County, AR"		
	"Le Flore County, OK"		
	"Sequoyah County, OK"		
23060	"Fort Wayne, IN"		
	"Allen County, IN"		
	"Wells County, IN"		
	"Whitley County, IN"		
23104	"1Fort Worth-Arlington, TX"		
	"Hood County, TX"		
	"Johnson County, TX"		
	"Parker County, TX"		
	"Somervell County, TX"		
	"Tarrant County, TX"		
	"Wise County, TX"		
23420	"Fresno, CA"		
	"Fresno County, CA"		
23460	"Gadsden, AL"		
	"Etowah County, AL"		
23540	"Gainesville, FL"		
	"Alachua County, FL"		
	"Gilchrist County, FL"		
23580	"Gainesville, GA"		
	"Hall County, GA"		
23844	"Gary, IN"		
	"Jasper County, IN"		
	"Lake County, IN"		
	"Newton County, IN"		
	"Porter County, IN"		
23900	"Gettysburg, PA"		
	"Adams County, PA"		
24020	"Glens Falls, NY"		
	"Warren County, NY"		
	"Washington County, NY"		
24140	"Goldsboro, NC"		
	"Wayne County, NC"		
24220	"Grand Forks, ND-MN"		
	"Polk County, MN"		
	"Grand Forks County, ND"		
24260	"Grand Island, NE"		
	"Hall County, NE"		
	"Hamilton County, NE"		
	"Howard County, NE"		
	"Merrick County, NE"		
24300	"Grand Junction, CO"		
	"Mesa County, CO"		
24340	"Grand Rapids-Wyoming, MI"		
	"Barry County, MI"		
	"Kent County, MI"		
	"Montcalm County, MI"		
	"Ottawa County, MI"		
24420	"Grants Pass, OR"		
	"Josephine County, OR"		
24500	"Great Falls, MT"		
	"Cascade County, MT"		
24540	"Greeley, CO"		
	"Weld County, CO"		
24580	"Green Bay, WI"		
	"Brown County, WI"		
	"Kewaunee County, WI"		
	"Oconto County, WI"		
24660	"Greensboro-High Point, NC"		
	"Guilford County, NC"		
	"Randolph County, NC"		
	"Rockingham County, NC"		
24780	"Greenville, NC"		
	"Pitt County, NC"		
24860	"Greenville-Anderson-Mauldin, SC"		
	"Anderson County, SC"		
	"Greenville County, SC"		
	"Laurens County, SC"		
	"Pickens County, SC"		
25020	"Guayama, PR"		
	"Arroyo Municipio, PR"		
	"Guayama Municipio, PR"		
	"Patillas Municipio, PR"		
25060	"Gulfport-Biloxi-Pascagoula, MS"		
	"Hancock County, MS"		
	"Harrison County, MS"		
	"Jackson County, MS"		
25180	"Hagerstown-Martinsburg, MD-WV"		
	"Washington County, MD"		
	"Berkeley County, WV"		
25220	"Hammond, LA"		
	"Tangipahoa Parish, LA"		
25260	"Hanford-Corcoran, CA"		
	"Kings County, CA"		
25420	"Harrisburg-Carlisle, PA"		
	"Cumberland County, PA"		
	"Dauphin County, PA"		
	"Perry County, PA"		
25500	"Harrisonburg, VA"		
	"Rockingham County, VA"		
	"Harrisonburg City, VA"		
25540	"1Hartford-West Hartford-East Hartford, CT"		
	"Hartford County, CT"		
	"Middlesex County, CT"		
	"Tolland County, CT"		
25620	"Hattiesburg, MS"		
	"Forrest County, MS"		
	"Lamar County, MS"		
	"Perry County, MS"		
25860	"Hickory-Lenoir-Morganton, NC"		
	"Alexander County, NC"		
	"Burke County, NC"		
	"Caldwell County, NC"		
	"Catawba County, NC"		
25940	"Hilton Head Island-Bluffton-Beaufort, SC"		
	"Beaufort County, SC"		
	"Jasper County, SC"		
25980	"Hinesville, GA"		
	"Liberty County, GA"		
	"Long County, GA"		
26140	"Homosassa Springs, FL"		
	"Citrus County, FL"		
26300	"Hot Springs, AR"		
	"Garland County, AR"		
26380	"Houma-Thibodaux, LA"		
	"Lafourche Parish, LA"		
	"Terrebonne Parish, LA"		
26420	"1Houston-The Woodlands-Sugar Land, TX"		
	"Austin County, TX"		
	"Brazoria County, TX"		
	"Chambers County, TX"		
	"Fort Bend County, TX"		
	"Galveston County, TX"		
	"Harris County, TX"		
	"Liberty County, TX"		
	"Montgomery County, TX"		
	"Waller County, TX"		
26580	"Huntington-Ashland, WV-KY-OH"		
	"Boyd County, KY"		
	"Greenup County, KY"		
	"Lawrence County, OH"		
	"Cabell County, WV"		
	"Lincoln County, WV"		
	"Putnam County, WV"		
	"Wayne County, WV"		
26620	"Huntsville, AL"		
	"Limestone County, AL"		
	"Madison County, AL"		
26820	"Idaho Falls, ID"		
	"Bonneville County, ID"		
	"Butte County, ID"		
	"Jefferson County, ID"		
26900	"1Indianapolis-Carmel-Anderson, IN"		
	"Boone County, IN"		
	"Brown County, IN"		
	"Hamilton County, IN"		
	"Hancock County, IN"		
	"Hendricks County, IN"		
	"Johnson County, IN"		
	"Madison County, IN"		
	"Marion County, IN"		
	"Morgan County, IN"		
	"Putnam County, IN"		
	"Shelby County, IN"		
26980	"Iowa City, IA"		
	"Johnson County, IA"		
	"Washington County, IA"		
27060	"Ithaca, NY"		
	"Tompkins County, NY"		
27100	"Jackson, MI"		
	"Jackson County, MI"		
27140	"Jackson, MS"		
	"Copiah County, MS"		
	"Hinds County, MS"		
	"Madison County, MS"		
	"Rankin County, MS"		
	"Simpson County, MS"		
	"Yazoo County, MS"		
27180	"Jackson, TN"		
	"Chester County, TN"		
	"Crockett County, TN"		
	"Madison County, TN"		
27260	"1Jacksonville, FL"		
	"Baker County, FL"		
	"Clay County, FL"		
	"Duval County, FL"		
	"Nassau County, FL"		
	"St. Johns County, FL"		
27340	"Jacksonville, NC"		
	"Onslow County, NC"		
27500	"Janesville-Beloit, WI"		
	"Rock County, WI"		
27620	"Jefferson City, MO"		
	"Callaway County, MO"		
	"Cole County, MO"		
	"Moniteau County, MO"		
	"Osage County, MO"		
27740	"Johnson City, TN"		
	"Carter County, TN"		
	"Unicoi County, TN"		
	"Washington County, TN"		
27780	"Johnstown, PA"		
	"Cambria County, PA"		
27860	"Jonesboro, AR"		
	"Craighead County, AR"		
	"Poinsett County, AR"		
27900	"Joplin, MO"		
	"Jasper County, MO"		
	"Newton County, MO"		
27980	"Kahului-Wailuku-Lahaina, HI"		
	"Kalawao County, HI"		
	"Maui County, HI"		
28020	"Kalamazoo-Portage, MI"		
	"Kalamazoo County, MI"		
	"Van Buren County, MI"		
28100	"Kankakee, IL"		
	"Kankakee County, IL"		
28140	"1Kansas City, MO-KS"		
	"Johnson County, KS"		
	"Leavenworth County, KS"		
	"Linn County, KS"		
	"Miami County, KS"		
	"Wyandotte County, KS"		
	"Bates County, MO"		
	"Caldwell County, MO"		
	"Cass County, MO"		
	"Clay County, MO"		
	"Clinton County, MO"		
	"Jackson County, MO"		
	"Lafayette County, MO"		
	"Platte County, MO"		
	"Ray County, MO"		
28420	"Kennewick-Richland, WA"		
	"Benton County, WA"		
	"Franklin County, WA"		
28660	"Killeen-Temple, TX"		
	"Bell County, TX"		
	"Coryell County, TX"		
	"Lampasas County, TX"		
28700	"Kingsport-Bristol-Bristol, TN-VA"		
	"Hawkins County, TN"		
	"Sullivan County, TN"		
	"Scott County, VA"		
	"Washington County, VA"		
	"Bristol City, VA"		
28740	"Kingston, NY"		
	"Ulster County, NY"		
28940	"Knoxville, TN"		
	"Anderson County, TN"		
	"Blount County, TN"		
	"Campbell County, TN"		
	"Grainger County, TN"		
	"Knox County, TN"		
	"Loudon County, TN"		
	"Morgan County, TN"		
	"Roane County, TN"		
	"Union County, TN"		
29020	"Kokomo, IN"		
	"Howard County, IN"		
29100	"La Crosse-Onalaska, WI-MN"		
	"Houston County, MN"		
	"La Crosse County, WI"		
29180	"Lafayette, LA"		
	"Acadia Parish, LA"		
	"Iberia Parish, LA"		
	"Lafayette Parish, LA"		
	"St. Martin Parish, LA"		
	"Vermilion Parish, LA"		
29200	"Lafayette-West Lafayette, IN"		
	"Benton County, IN"		
	"Carroll County, IN"		
	"Tippecanoe County, IN"		
29340	"Lake Charles, LA"		
	"Calcasieu Parish, LA"		
	"Cameron Parish, LA"		
29404	"Lake County-Kenosha County, IL-WI"		
	"Lake County, IL"		
	"Kenosha County, WI"		
29420	"Lake Havasu City-Kingman, AZ"		
	"Mohave County, AZ"		
29460	"Lakeland-Winter Haven, FL"		
	"Polk County, FL"		
29540	"Lancaster, PA"		
	"Lancaster County, PA"		
29620	"Lansing-East Lansing, MI"		
	"Clinton County, MI"		
	"Eaton County, MI"		
	"Ingham County, MI"		
29700	"Laredo, TX"		
	"Webb County, TX"		
29740	"Las Cruces, NM"		
	"Doña Ana County, NM"		
29820	"1Las Vegas-Henderson-Paradise, NV"		
	"Clark County, NV"		
29940	"Lawrence, KS"		
	"Douglas County, KS"		
30020	"Lawton, OK"		
	"Comanche County, OK"		
	"Cotton County, OK"		
30140	"Lebanon, PA"		
	"Lebanon County, PA"		
30300	"Lewiston, ID-WA"		
	"Nez Perce County, ID"		
	"Asotin County, WA"		
30340	"Lewiston-Auburn, ME"		
	"Androscoggin County, ME"		
30460	"Lexington-Fayette, KY"		
	"Bourbon County, KY"		
	"Clark County, KY"		
	"Fayette County, KY"		
	"Jessamine County, KY"		
	"Scott County, KY"		
	"Woodford County, KY"		
30620	"Lima, OH"		
	"Allen County, OH"		
30700	"Lincoln, NE"		
	"Lancaster County, NE"		
	"Seward County, NE"		
30780	"Little Rock-North Little Rock-Conway, AR"		
	"Faulkner County, AR"		
	"Grant County, AR"		
	"Lonoke County, AR"		
	"Perry County, AR"		
	"Pulaski County, AR"		
	"Saline County, AR"		
30860	"Logan, UT-ID"		
	"Franklin County, ID"		
	"Cache County, UT"		
30980	"Longview, TX"		
	"Gregg County, TX"		
	"Rusk County, TX"		
	"Upshur County, TX"		
31020	"Longview, WA"		
	"Cowlitz County, WA"		
31084	"1Los Angeles-Long Beach-Glendale, CA"		
	"Los Angeles County, CA"		
31140	"1Louisville/Jefferson County, KY-IN"		
	"Clark County, IN"		
	"Floyd County, IN"		
	"Harrison County, IN"		
	"Scott County, IN"		
	"Washington County, IN"		
	"Bullitt County, KY"		
	"Henry County, KY"		
	"Jefferson County, KY"		
	"Oldham County, KY"		
	"Shelby County, KY"		
	"Spencer County, KY"		
	"Trimble County, KY"		
31180	"Lubbock, TX"		
	"Crosby County, TX"		
	"Lubbock County, TX"		
	"Lynn County, TX"		
31340	"Lynchburg, VA"		
	"Amherst County, VA"		
	"Appomattox County, VA"		
	"Bedford County, VA"		
	"Campbell County, VA"		
	"Bedford City, VA"		
	"Lynchburg City, VA"		
31420	"Macon Bibb County, GA"		
	"Bibb County, GA"		
	"Crawford County, GA"		
	"Jones County, GA"		
	"Monroe County, GA"		
	"Twiggs County, GA"		
31460	"Madera, CA"		
	"Madera County, CA"		
31540	"Madison, WI"		
	"Columbia County, WI"		
	"Dane County, WI"		
	"Green County, WI"		
	"Iowa County, WI"		
31700	"Manchester-Nashua, NH"		
	"Hillsborough County, NH"		
31740	"Manhattan, KS"		
	"Pottawatomie County, KS"		
	"Riley County, KS"		
31860	"Mankato-North Mankato, MN"		
	"Blue Earth County, MN"		
	"Nicollet County, MN"		
31900	"Mansfield, OH"		
	"Richland County, OH"		
32420	"Mayagüez, PR"		
	"Hormigueros Municipio, PR"		
	"Mayagüez Municipio, PR"		
32580	"McAllen-Edinburg-Mission, TX"		
	"Hidalgo County, TX"		
32780	"Medford, OR"		
	"Jackson County, OR"		
32820	"1Memphis, TN-MS-AR"		
	"Crittenden County, AR"		
	"Benton County, MS"		
	"DeSoto County, MS"		
	"Marshall County, MS"		
	"Tate County, MS"		
	"Tunica County, MS"		
	"Fayette County, TN"		
	"Shelby County, TN"		
	"Tipton County, TN"		
32900	"Merced, CA"		
	"Merced County, CA"		
33124	"1Miami-Miami Beach-Kendall, FL"		
	"Miami-Dade County, FL"		
33140	"Michigan City-La Porte, IN"		
	"LaPorte County, IN"		
33220	"Midland, MI"		
	"Midland County, MI"		
33260	"Midland, TX"		
	"Martin County, TX"		
	"Midland County, TX"		
33340	"1Milwaukee-Waukesha-West Allis, WI"		
	"Milwaukee County, WI"		
	"Ozaukee County, WI"		
	"Washington County, WI"		
	"Waukesha County, WI"		
33460	"1Minneapolis-St. Paul-Bloomington, MN-WI"		
	"Anoka County, MN"		
	"Carver County, MN"		
	"Chisago County, MN"		
	"Dakota County, MN"		
	"Hennepin County, MN"		
	"Isanti County, MN"		
	"Le Sueur County, MN"		
	"Mille Lacs County, MN"		
