original label,curated label,CMS ID,CO/RN,SP
CRESTWOOD MEDICAL CENTER (010131),CRESTWOOD MEDICAL CENTER (010131),10131,,
COOPER GREEN MERCY HOSPITAL (010137),COOPER GREEN MERCY HOSPITAL (010137),10137,,
HILL HOSPITAL OF SUMTER COUNTY (010138),HILL HOSPITAL OF SUMTER COUNTY (010138),10138,,
BROOKWOOD MEDICAL CENTER (010139),BROOKWOOD BAPTIST MEDICAL CENTER (010139),10139,,1
BROOKWOOD BAPTIST MEDICAL CENTER (010139),BROOKWOOD BAPTIST MEDICAL CENTER (010139),10139,,1
SPRINGHILL MEMORIAL HOSPITAL (010144),SPRINGHILL MEMORIAL HOSPITAL (010144),10144,,
NORTHPORT MEDICAL CENTER DCH (010145),NORTHPORT MEDICAL CENTER DCH (010145),10145,,
JACKSONVILLE MEDICAL CENTER (010146),JACKSONVILLE MEDICAL CENTER (010146),10146,,1
RMC JACKSONVILLE (010146),JACKSONVILLE MEDICAL CENTER (010146),10146,,1
EVERGREEN MEDICAL CENTER (010148),EVERGREEN MEDICAL CENTER (010148),10148,,
BAPTIST MEDICAL CENTER EAST (010149),BAPTIST MEDICAL CENTER EAST (010149),10149,,
REGIONAL MEDICAL CTR OF CENTRAL AL (010150),REGIONAL MEDICAL CTR OF CENTRAL AL (010150),10150,1,
LV STABLER MEMORIAL HOSPITAL (010150),LV STABLER MEMORIAL HOSPITAL (010150),10150,1,
INFIRMARY WEST (010152),INFIRMARY WEST (010152),10152,,
SHOALS HOSPITAL (010157),SHOALS HOSPITAL (010157),10157,,
RUSSELLVILLE HOSPITAL (010158),RUSSELLVILLE HOSPITAL (010158),10158,,
COOSA VALLEY MEDICAL CENTER (010164),COOSA VALLEY MEDICAL CENTER (010164),10164,,
JACK HUGHSTON MEMORIAL HOSPITAL (010168),JACK HUGHSTON MEMORIAL HOSPITAL (010168),10168,,
ATMORE COMMUNITY HOSPITAL (010169),ATMORE COMMUNITY HOSPITAL (010169),10169,,
CHOCTAW GENERAL HOSPITAL (010171),CHOCTAW GENERAL HOSPITAL (010171),10171,,
NORTH ALABAMA SPECIALTY HOSPITAL (010172),NORTH ALABAMA SPECIALTY HOSPITAL (010172),10172,,
ST. VINCENTS CHILTON (010173),ST. VINCENTS CHILTON (010173),10173,,
THOMASVILLE REGIONAL MEDICAL CENTER (010174),THOMASVILLE REGIONAL MEDICAL CENTER (010174),10174,,
EAMC-LANIER (010175),EAMC-LANIER (010175),10175,,
WASHINGTON COUNTY HOSPITAL (011300),WASHINGTON COUNTY HOSPITAL (011300),11300,,
RED BAY HOSPITAL (011302),RED BAY HOSPITAL (011302),11302,,
CHOCTAW GENERAL HOSPITAL (011304),CHOCTAW GENERAL HOSPITAL (011304),11304,,
ST. VINCENTS BLOUNT (011305),ST. VINCENTS BLOUNT (011305),11305,,
TANNER MEDICAL CENTER ALABAMA  INC. (011306),TANNER MEDICAL CENTER ALABAMA  INC. (011306),11306,,
INFIRMARY LTAC HOSPITAL (012006),INFIRMARY LTAC HOSPITAL (012006),12006,,
NOLAND HOSPITAL MONTGOMERY (012007),NOLAND HOSPITAL MONTGOMERY (012007),12007,,1
NOLAND HOSPITAL MONTGOMERY II (012007),NOLAND HOSPITAL MONTGOMERY (012007),12007,,1
SSH - BIRMINGHAM (012008),SSH - BIRMINGHAM (012008),12008,,
NOLAND HOSPITAL BIRMINGHAM (012009),NOLAND HOSPITAL BIRMINGHAM (012009),12009,,1
NOLAND HOSPITAL BIRMINGHAM II (012009),NOLAND HOSPITAL BIRMINGHAM (012009),12009,,1
NOLAND HOSPITAL DOTHAN (012010),NOLAND HOSPITAL DOTHAN (012010),12010,,1
NOLAND HOSPITAL DOTHAN II (012010),NOLAND HOSPITAL DOTHAN (012010),12010,,1
NOLAND HOSPITAL ANNISTON II (012011),NOLAND HOSPITAL ANNISTON (012011),12011,,1
NOLAND HOSPITAL ANNISTON (012011),NOLAND HOSPITAL ANNISTON (012011),12011,,1
NOLAND HOSPITAL TUSCALOOSA II (012012),NOLAND HOSPITAL TUSCALOOSA (012012),12012,,1
NOLAND HOSPITAL TUSCALOOSA (012012),NOLAND HOSPITAL TUSCALOOSA (012012),12012,,1
NOLAND HOSPITAL SHELBY (012013),NOLAND HOSPITAL SHELBY (012013),12013,,1
NOLAND HOSPITAL SHELBY II (012013),NOLAND HOSPITAL SHELBY (012013),12013,,1
NORTH ALABAMA SPECIALTY HOSPITAL (012014),NORTH ALABAMA SPECIALTY HOSPITAL (012014),12014,,
HEALTHSOUTH LAKESHORE REHABILITATION (013025),HEALTHSOUTH LAKESHORE REHABILITATION (013025),13025,,1
HEALTHSOUTH LAKESHORE HOSPITAL (013025),HEALTHSOUTH LAKESHORE REHABILITATION (013025),13025,,1
ENCOMPASS HEALTH LAKESHORE REHABILIT (013025),ENCOMPASS HEALTH LAKESHORE REHABILIT (013025),13025,1,
MERCY MEDICAL (013027),MERCY MEDICAL (013027),13027,1,
MOBILE BAY RAHABILITATION HOSPITAL (013027),MOBILE BAY REHABILITATION HOSPITAL (013027),13027,,1
MOBILE BAY REHABILITATION HOSPITAL (013027),MOBILE BAY REHABILITATION HOSPITAL (013027),13027,,1
REHAB HOSP OF MONTGOMERY (013028),REHAB HOSP OF MONTGOMERY (013028),13028,1,
ENCOMPASS HEALTH REHABILITATION HOSP (013028),ENCOMPASS HEALTH REHABILITATION HOSP (013028),13028,1,
HEALTHSOUTH REHABILITATION HOSPITAL (013028),HEALTHSOUTH REHABILITATION HOSPITAL (013028),13028,1,
ENCOMPASS HEALTH REHABILITATION HOSP (013029),ENCOMPASS HEALTH REHABILITATION HOSP (013029),13029,1,
HEALTHSOUTH REHABILITATION HOSPITAL (013029),HEALTHSOUTH REHABILITATION HOSPITAL (013029),13029,1,
HEALTHSOUTH REHAB HOSPITAL OF NORTH (013029),HEALTHSOUTH REHABILITATION HOSPITAL (013029),13029,1,
HEALTHSOUTH REHAB OF NORTH ALABAMA (013029),HEALTHSOUTH REHABILITATION HOSPITAL (013029),13029,,
ENCOMPASS HEALTH REHABILITATION HOSP (013030),ENCOMPASS HEALTH REHABILITATION HOSP (013030),13030,1,1
HEALTHSOUTH REHAB DOTHAN (013030),HEALTHSOUTH REHABILITATION HOSPITAL (013030),13030,1,1
HEALTHSOUTH REHABILITATION HOSPITAL (013030),HEALTHSOUTH REHABILITATION HOSPITAL (013030),13030,1,1
ENCOMPASS HEALTH REHABILITATION HOSP (013031),ENCOMPASS HEALTH REHABILITATION HOSP (013031),13031,,
ENCOMPASS HEALTH REHABILITATION HOSP (013032),ENCOMPASS HEALTH REHABILITATION HOSP (013032),13032,1,1
HEALTHSOUTH REHABILITATION HOSPITAL (013032),HEALTHSOUTH REHABILITATION HOSPITAL (013032),13032,1,1
HEALTHSOUTH REHABILIATION HOSPITAL O (013032),HEALTHSOUTH REHABILITATION HOSPITAL (013032),13032,1,1
GADSDEN REHABILITATION HOSPITAL (013032),GADSDEN REHABILITATION HOSPITAL (013032),13032,,
REGIONAL REHABILITATION HOSPITAL (013033),REGIONAL REHABILITATION HOSPITAL (013033),13033,,
THE CHILDRENS HOSPITAL OF ALABAMA (013300),THE CHILDRENS HOSPITAL OF ALABAMA (013300),13300,,
USA CHILDREN S AND WOMEN S HOSPITAL (013301),USA CHILDRENS AND WOMENS HOSPITAL (013301),13301,,1
USA CHILDRENS AND WOMENS HOSPITAL (013301),USA CHILDRENS AND WOMENS HOSPITAL (013301),13301,,1
HILL CREST HOSPITAL (014000),HILL CREST BEHAVIORAL HEALTH (014000),14000,,1
HILL CREST BEHAVIORAL HEALTH (014000),HILL CREST BEHAVIORAL HEALTH (014000),14000,,1
GREIL MEMORIAL PSYCHIATRIC HOSPITAL (014005),GREIL MEMORIAL PSYCHIATRIC HOSPITAL (014005),14005,,
MOUNTAIN VIEW HOSPITAL (014006),MOUNTAIN VIEW HOSPITAL (014006),14006,,
BRYCE HOSPITAL (014007),BRYCE HOSPITAL (014007),14007,,
SEARCY HOSPITAL (014008),SEARCY HOSPITAL (014008),14008,,
NORTH ALABAMA REGIONAL HOSPITAL (014009),NORTH ALABAMA REGIONAL HOSPITAL (014009),14009,,
TAYLOR HARDIN SECURE MEDICAL (014011),TAYLOR HARDIN SECURE MEDICAL (014011),14011,,1
TAYLOR HARDIN SECURE MEDICAL FAC (014011),TAYLOR HARDIN SECURE MEDICAL (014011),14011,,1
TAYLOR HARDIN SECURE MEDICAL FACILIT (014011),TAYLOR HARDIN SECURE MEDICAL (014011),14011,,1
MARY S HARPER GERIATRIC PSYCH CEN (014012),MARY S HARPER GERIATRIC PSYCH CEN (014012),14012,,
LAUREL OAKS BEHAVIORAL HEALTH (014013),LAUREL OAKS BEHAVIORAL HEALTH CENTER (014013),14013,1,1
PREMIER BEHAVIORAL SOLUTIONS OF ALAB (014013),PREMIER BEHAVIORAL SOLUTIONS OF ALAB (014013),14013,1,1
LAUREL OAKS BEHAVIORAL HEALTH CENTER (014013),LAUREL OAKS BEHAVIORAL HEALTH CENTER (014013),14013,1,1
LAUREL OAKS BEHAVIORAL HEALTH CARE (014013),LAUREL OAKS BEHAVIORAL HEALTH CENTER (014013),14013,1,1
LAUREL OAKS BEHAVIORAL HEALTH CTR (014013),LAUREL OAKS BEHAVIORAL HEALTH CENTER (014013),14013,1,1
BAYPOINTE BEHAVIORAL HEALTH (014014),BAYPOINTE BEHAVIORAL HEALTH (014014),14014,,1
BAYPOINT BEHAVIORAL HEALTH (014014),BAYPOINTE BEHAVIORAL HEALTH (014014),14014,,1
BAYPOINTE HEALTH (014014),BAYPOINTE BEHAVIORAL HEALTH (014014),14014,,1
PROFESSIONAL RESOURCES MANAGEMENT (014015),BEACON CHILDRENS HOSPITAL (014015),14015,,1
BEACON CHILDRENS HOSPITAL (014015),BEACON CHILDRENS HOSPITAL (014015),14015,,1
PROFESSIONAL RESOURCES MANAGEMENT PS (014015),BEACON CHILDRENS HOSPITAL (014015),14015,,1
PROFESSIONAL RESOURCES MGMT PSYCHIAT (014015),BEACON CHILDRENS HOSPITAL (014015),14015,,1
BEACON CHILDREN HOSPITAL (014015),BEACON CHILDRENS HOSPITAL (014015),14015,,1
USA HEALTHCARE PSYCH SERVICES  LLC (014016),USA HEALTHCARE PSYCH SERVICES LLC (014016),14016,,1
USA HEALTHCARE PSYCH SVCS LLC (014016),USA HEALTHCARE PSYCH SERVICES LLC (014016),14016,,1
USA HEALTHCARE PSYCH SERVICES LLC (014016),USA HEALTHCARE PSYCH SERVICES LLC (014016),14016,,1
EASTPOINTE HOSPITAL (014017),EASTPOINTE HOSPITAL (014017),14017,,1
ALLTAPOINTE HEALTH SYSTEMS INC (014017),EASTPOINTE HOSPITAL (014017),14017,,1
BEHAVIORAL HEALTH CENTERS (014018),BEHAVIORAL HEALTH CENTERS (014018),14018,,
PROVIDENCE ALASKA MEDICAL CENTER (020001),PROVIDENCE ALASKA MEDICAL CENTER (020001),20001,,
MAT-SU REGIONAL MED CTR (020006),MAT-SU REGIONAL MED CTR (020006),20006,,
BARTLETT REGIONAL HOSPITAL (020008),BARTLETT REGIONAL HOSPITAL (020008),20008,,
FAIRBANKS MEMORIAL (020012),FAIRBANKS MEMORIAL (020012),20012,,
ALASKA REGIONAL HOSPITAL (020017),ALASKA REGIONAL HOSPITAL (020017),20017,,
YK DELTA REGIONAL HOSPITAL (020018),YUKON KUSKOKWIM DELTA REGIONAL HOSPI (020018),20018,,1
YUKON KUSKOKWIM DELTA REGIONAL HOSPI (020018),YUKON KUSKOKWIM DELTA REGIONAL HOSPI (020018),20018,,1
CENTRAL PENINSULA GENERAL HOSPITAL (020024),CENTRAL PENINSULA GENERAL HOSPITAL (020024),20024,,
ALASKA NATIVE MEDICAL CENTER (020026),ALASKA NATIVE MEDICAL CENTER (020026),20026,,
MT EDGECUMBE HOSPITAL (020027),MT EDGECUMBE HOSPITAL (020027),20027,,1
MTE EDGECUMBE HOSPITAL (020027),MT EDGECUMBE HOSPITAL (020027),20027,,1
PROVIDENCE VALDEZ MEDICAL CENTER (021301),PROVIDENCE VALDEZ MEDICAL CENTER (021301),21301,,
PROVIDENCE SEWARD MEDICAL & CARE CEN (021302),PROVIDENCE SEWARD MEDICAL & CARE CEN (021302),21302,,
SITKA COMMUNITY HOSPITAL (021303),SITKA COMMUNITY HOSPITAL (021303),21303,,
PETERSBURG MEDICAL CENTER (021304),PETERSBURG MEDICAL CENTER (021304),21304,,
WRANGELL MEDICAL CENTER (021305),WRANGELL MEDICAL CENTER (021305),21305,,
PROV. KODIAK ISLAND MEDICAL CENTER (021306),PROV. KODIAK ISLAND MEDICAL CENTER (021306),21306,,
CORDOVA COMMUNITY MEDICAL CENTER (021307),CORDOVA COMMUNITY MEDICAL CENTER (021307),21307,,
NORTON SOUND REGIONAL HOSPITAL (021308),NORTON SOUND REGIONAL HOSPITAL (021308),21308,,
KANAKANAK HOSPITAL (021309),KANAKANAK HOSPITAL (021309),21309,,
MANIILAQ HEALTH CENTER (021310),MANIILAQ HEALTH CENTER (021310),21310,,1
MANILAQ HEALTH CENTER (021310),MANIILAQ HEALTH CENTER (021310),21310,,1
KETCHIKAN GENERAL HOSPITAL (021311),KETCHIKAN MEDICAL CENTER (021311),21311,,1
KETCHIKAN MEDICAL CENTER (021311),KETCHIKAN MEDICAL CENTER (021311),21311,,1
SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),SAMUEL SIMMONDS MEMORIAL HOSPITAL (021312),21312,,
SOUTH PENINSULA HOSPITAL (021313),SOUTH PENINSULA HOSPITAL (021313),21313,,
MT EDGECUMBE HOSPITAL (021314),MT EDGECUMBE HOSPITAL (021314),21314,,
ALASKA SPECIALTY HOSPITAL  LLC (022001),ALASKA SPECIALTY HOSPITAL  LLC (022001),22001,,
NORTH STAR HOSPITAL T18 (024001),NORTH STAR HOSPITAL (024001),24001,,1
FRONTLINE HOSPITAL LLC (024001),NORTH STAR HOSPITAL (024001),24001,,1
NORTH STAR HOSPITAL (024001),NORTH STAR HOSPITAL (024001),24001,,1
ALASKA PSYCHIATRIC INSTITUTE (024002),ALASKA PSYCHIATRIC INSTITUTE (024002),24002,,
MARYVALE HOSPITAL MEDICAL CENTER (030001),MARYVALE HOSPITAL MEDICAL CENTER (030001),30001,1,
ABRAZO MARYVALE CAMPUS (030001),ABRAZO MARYVALE CAMPUS (030001),30001,1,
BANNER UNIVERSITY MEDICAL CENTER PHX (030002),BANNER UNIVERSITY MEDICAL CENTER (030002),30002,1,
BANNER GOOD SAMARITAN MEDICAL CENTER (030002),BANNER GOOD SAMARITAN MEDICAL CENTER (030002),30002,1,
TUCSON MEDICAL CENTER (030006),TUCSON MEDICAL CENTER (030006),30006,,
VERDE VALLEY MEDICAL CENTER (030007),VERDE VALLEY MEDICAL CENTER (030007),30007,,
CARONDELET ST. MARYS HOSPITAL (030010),CARONDELET ST. MARYS HOSPITAL (030010),30010,,
CARONDELET ST. JOSEPH HOSPITAL (030011),CARONDELET ST. JOSEPH HOSPITAL (030011),30011,,
YAVAPAI REGIONAL MEDICAL CENTER (030012),YAVAPAI REGIONAL MEDICAL CENTER (030012),30012,,
YUMA REGIONAL MEDICAL CENTER (030013),YUMA REGIONAL MEDICAL CENTER (030013),30013,,
JOHN C LINCOLN MEDICAL CENTER (030014),JOHN C. LINCOLN HOSP-NORTH MOUNTAIN (030014),30014,1,1
JOHN C. LINCOLN MEDICAL CENTER (030014),JOHN C. LINCOLN HOSP-NORTH MOUNTAIN (030014),30014,1,1
JOHN C LINCOLN HOSP-NORTH MOUNTAIN (030014),JOHN C. LINCOLN HOSP-NORTH MOUNTAIN (030014),30014,1,1
JOHN C. LINCOLN HOSP-NORTH MOUNTAIN (030014),JOHN C. LINCOLN HOSP-NORTH MOUNTAIN (030014),30014,1,1
HONORHEALTH JOHN C. LINCOLN MED CTR (030014),HONORHEALTH JOHN C. LINCOLN MED CTR (030014),30014,1,1
CASA GRANDE REGIONAL MEDICAL CENTER (030016),CASA GRANDE REGIONAL MEDICAL CENTER (030016),30016,1,
BANNER CASA GRANDE MEDICAL CENTER (030016),BANNER CASA GRANDE MEDICAL CENTER (030016),30016,1,
VALLEYWISE HEALTH MEDICAL CENTER (030022),VALLEYWISE HEALTH MEDICAL CENTER (030022),30022,1,
MARICOPA MEDICAL CENTER (030022),MARICOPA MEDICAL CENTER (030022),30022,1,
FLAGSTAFF MEDICAL CENTER (030023),FLAGSTAFF MEDICAL CENTER (030023),30023,,
ST. JOSEPHS HOSPITAL & MEDICAL CTR (030024),ST. JOSEPHS HOSPITAL & MEDICAL CTR (030024),30024,,
PHOENIX BAPTIST HOSPITAL (030030),PHOENIX BAPTIST HOSPITAL (030030),30030,1,
ABRAZO CENTRAL CAMPUS (030030),ABRAZO CENTRAL CAMPUS (030030),30030,1,
PAYSON REGIONAL MED CTR (030033),PAYSON REGIONAL MED CTR (030033),30033,1,
BANNER PAYSON MEDICAL CENTER (030033),BANNER PAYSON MEDICAL CENTER (030033),30033,1,
CHANDLER REGIONAL MEDICAL CENTER (030036),CHANDLER REGIONAL MEDICAL CENTER (030036),30036,,
TEMPE ST. LUKES HOSPITAL (030037),TEMPE ST. LUKES HOSPITAL (030037),30037,,1
ST. LUKES MEDICAL CENTER (030037),TEMPE ST. LUKES HOSPITAL (030037),30037,,1
SCOTTSDALE OSBORN MEDICAL CENTER (030038),SCOTTSDALE OSBORN MEDICAL CENTER (030038),30038,1,1
HONORHEALTH SCOTTSDALE OSBORN MED CT (030038),HONORHEALTH SCOTTSDALE OSBORN MED CT (030038),30038,1,1
SCOTTSDALE HEALTHCARE-OSBORN (030038),SCOTTSDALE OSBORN MEDICAL CENTER (030038),30038,1,1
SCOTTSDALE HEALTHCARE - OSBORN (030038),SCOTTSDALE OSBORN MEDICAL CENTER (030038),30038,1,1
SIERRA VISTA REGIONAL HEALTH CENTER (030043),SIERRA VISTA REGIONAL HEALTH CENTER (030043),30043,1,
CANYON VISTA MEDICAL CENTER (030043),CANYON VISTA MEDICAL CENTER (030043),30043,1,
KINGMAN REGIONAL MEDICAL CENTER (030055),KINGMAN REGIONAL MEDICAL CENTER (030055),30055,,
BANNER BOSWELL MEDICAL CENTER (030061),BANNER BOSWELL MEDICAL CENTER (030061),30061,,
