PROV	NAME	FYB	FYE	FC_DATE	MAC	CBSAGEO	MCR_TYPE	CR_IND	Multicamp_IND	maincamp_name1	offcamp_name1	offcamp_name2	offcamp_name3	offcamp_name4	maincamp_county	offcamp_county1	offcamp_county2	offcamp_county3	offcamp_county4	maincamp_st	offcamp_st1	offcamp_st2	offcamp_st3	offcamp_st4	maincamp_zip	offcamp_zip1	offcamp_zip2	offcamp_zip3	offcamp_zip4	maincamp_cbsa	offcamp_cbsa1	offcamp_cbsa2	offcamp_cbsa3	offcamp_cbsa4	maincamp_FTE	offcamp_FTE1	offcamp_FTE2	offcamp_FTE3	offcamp_FTE4	IIWG1	IIWG2	IIWG3	IIWG4	IIWG4_01	IIWG5	IIWG6	IIWG7	IIWG7_01	IIWG8	IIWG9	IIWG10	IIWG11	IIWG12	IIWG13	IIWG14	IIWG14_01	IIWG14_02	IIWG15	IIWG16	IIWG17	IIWG19	IIWG20	IIWG21	IIWG22	IIWG22_01	IIWG23	IIWG24	IIWG25	IIWG25_50	IIWG25_51	IIWG25_52	IIWG25_53	IIWG26	IIWG27	IIWG28	IIWG29	IIWG30	IIWG31	IIWG32	IIWG33	IIWG34	IIWG35	IIWG36	IIWG37	IIWG38	IIWG39	IIWG40	IIWG41	IIWG42	IIWG43	IIHR1	IIHR2	IIHR3	IIHR4	IIHR4_01	IIHR5	IIHR6	IIHR7	IIHR7_01	IIHR8	IIHR9	IIHR10	IIHR11	IIHR12	IIHR13	IIHR14	IIHR14_01	IIHR14_02	IIHR15	IIHR16	IIHR26	IIHR27	IIHR28	IIHR29	IIHR30	IIHR31	IIHR32	IIHR33	IIHR34	IIHR35	IIHR36	IIHR37	IIHR38	IIHR39	IIHR40	IIHR41	IIHR42	IIHR43	IIIWG1	IIIWG2	IIIWG3	IIIWG4	IIIWG5	IIIWG6	IIIWG7	IIIHR1	IIIHR2	IIIHR3	IIIHR4	IIIHR5	IIIHR6	IIIHR7	IVWG8	IVWG8_01	IVWG8_02	IVWG8_03	IVWG9	IVWG10
190300	ST. CHARLES SURGICAL HOSPITAL	20160101	20161231	20181107	07001	35380	1	N	N																										0	0	0	0	0	3312830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594779	0	167710	0	74253	100167	21975	356526	0	0	33068	0	0	90706	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25649	0	4554	0	6481	1560	1913	4672	0	0	1720	0	0	4190	0	0	4364302	0	4364302	0	954681	5318983	1439184	31882	0	31882	0	0	31882	50739	0	0	0	454848	0	29929
190302	OMEGA HOSPITAL LLC	20160101	20161231	20170621	07001	35380	1	N	N																										0	0	0	0	0	3387309	0	0	0	0	0	0	0	0	0	0	0	40243	0	0	0	0	0	0	0	547253	0	0	0	0	0	0	0	0	0	0	0	0	0	532179	321620	70852	0	0	71562	0	0	0	0	0	0	44021	0	12913	0	0	97005.31	0	0	0	0	0	0	0	0	0	0	0	757.77	0	0	0	0	0	0	0	0	15539.65	1921.16	4003.88	0	0	5817.53	0	0	0	0	0	0	2030.5	0	814.75	0	0	3708929	0	3708929	40243	547253	4296425	1053147	98926.47	0	98926.47	757.77	0	99684.24	30127.47	0	0	0	0	0	0
220062	ADCARE HOSPITAL OF WORCESTER	20151001	20160930	20181101	05901	49340	1	N	N																										0	0	0	0	0	17074375	0	0	0	0	0	0	0	0	0	0	0	129639	37833	0	0	1461631	0	0	0	3192861	0	0	0	0	0	0	0	0	100140	0	0	0	177835	2751951	230430	360289	0	0	533428	59177	390500	120719	134163	0	706447	0	0	340548	305932	0	710819	0	0	0	0	0	0	0	0	0	0	0	2507	601	0	0	15290	0	0	0	8137	141312	1427	12824	0	0	35672	3833	26720	3101	9180	0	15965	0	0	14537	7710	0	17484701	0	17484701	1629103	3293001	22406805	6111419	719180	0	719180	18398	0	737578	280418	0	0	0	1377381	0	27524
230013	PONTIAC GENERAL HOSPITAL	20160101	20161231	20181107	08001	47664	1	N	N																										0	0	0	0	0	9200081	0	0	0	383210	0	0	877714	0	0	0	1905822	0	0	0	0	0	0	0	0	1252395	401796	0	0	0	80790	0	0	185045	0	0	0	0	133616	1154690	0	0	382458	0	0	119730	299339	0	0	0	109455	22360	363523	287569	0	0	378753	0	0	0	4205	0	0	34496	0	0	0	84310	0	0	0	0	0	0	0	0	6317	47486	0	0	16625	0	0	8257	21184	0	0	0	2728	1118	9817	13068	0	0	8058887	1905822	6153065	0	1252395	7405460	2872740	348309	84310	263999	0	0	263999	126600	0	0	671009	0	0	0
230275	HEALTHSOURCE SAGINAW	20160101	20161231	20181116	06001	40980	1	N	N																										0	0	0	0	0	23047204	0	0	0	0	1111997	0	340669	0	0	6400830	5968926	0	0	0	0	0	0	0	0	3204230	4143615	0	0	0	0	372496	0	0	0	0	0	0	0	2144984	0	473079	0	0	0	411271	1093641	416113	0	0	252448	0	773808	296323	452904	2972228	993638.49	0	0	0	0	7406.01	0	10462	0	0	334515	260962.23	0	0	0	0	0	0	0	0	0	86760.23	0	21355.34	0	0	0	44453.57	75389.31	12312	0	0	6804.39	0	21140.41	15677.61	25070.64	88653	22421922	12369756	10052166	0	3204230	13256396	9286799	1032536.05	595477.23	437058.82	0	0	437058.82	397616.5	0	0	0	3023535	128988	245904
230279	ST. JOHN BRIGHTON	20160701	20170630	20181109	08001	47664	1	N	N																										0	0	0	0	0	7442947	0	0	90870	0	1209733	0	0	0	0	0	135472	0	0	0	0	1076343	0	0	0	1884172	66883	0	0	5931	0	88257	0	0	294778	0	0	0	0	1131271	663713	0	0	0	0	323664	0	413614	0	0	0	0	0	196323	0	0	295199.8	0	0	855.88	0	12735.42	0	0	0	0	0	9643.35	0	0	0	0	19947	0	0	0	0	48259.07	14144	0	0	0	0	21900	0	21170	0	0	0	0	0	9842.06	0	0	7634205	135472	7498733	1076343	2184881	10759957	2728585	339678.38	9643.35	330035.03	19947	0	349982.03	115315.13	0	1412005	0	0	0	-16187
250049	BEACHAM MEMORIAL HOSPITAL	20160701	20170630	20181113	07001	25	1	N	N																										0	0	0	0	0	2280018	0	0	0	0	0	0	0	0	0	0	841679	0	0	0	0	0	0	0	0	101139	59195	0	0	0	0	0	0	0	0	0	0	0	0	632704	0	0	52762	4066	35138	0	50187	0	0	0	29046	0	0	0	0	0	118085.62	0	0	0	0	0	0	0	0	0	0	38399.07	0	0	0	0	0	0	0	0	0	20934.78	0	0	2080	25	4087.37	0	3654.52	0	0	0	1040	0	0	0	0	0	2280018	841679	1438339	0	101139	1539478	803903	118085.62	38399.07	79686.55	0	0	79686.55	31821.67	0	0	0	0	0	0
260113	MISSOURI DELTA MEDICAL CENTER	20151001	20160930	20190312	05901	26	1	N	N																										0	0	0	0	0	41332389	0	272045	25000	0	6422022	1964132	0	0	0	0	3619520	1581486	0	178762	0	0	0	0	0	9406842	847740	0	29805	3029	0	734797	244880	0	0	0	0	0	196745	4641239	1719524	168818	543140	186931	540518	167939	0	615894	0	0	991640	111932	922531	460451	214110	0	1490455	0	1785.9	217	0	31644.5	34509.43	0	0	0	0	105791.86	15203.87	0	1360.53	0	0	0	0	0	9359.3	230011.41	45966.9	12427.05	24328.45	18575.05	51479.88	18662.97	0	50681.61	0	0	32125.25	8008.88	29929.96	31395.82	8966.99	0	35177547	3619520	31558027	1760248	9409871	42728146	11481412	1537826.65	105791.86	1432034.79	16564.4	0	1448599.19	571919.52	0	0	6716243	0	1215843	0
290056	MOUNTAINS EDGE HOSPITAL	20151117	20161031	20181029	01011	29820	1	N	N																										0	0	0	0	0	10590707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1532875	0	0	0	0	0	0	0	0	0	0	0	0	0	821917	0	0	98245	0	0	1352650	345208	0	0	0	491495	56896	0	79697	44117	0	353844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26210	0	0	4035	0	0	66820	19656	0	0	0	11125	3210	0	3476	1222	0	11943357	0	11943357	0	1532875	13476232	3290225	420664	0	420664	0	0	420664	135754	0	0	160352	0	0	0
320067	GUADALUPE COUNTY HOSPITAL	20160701	20170630	20190117	04011	32	1	N	N											GU															0	0	0	0	0	2148538	0	0	1125119	0	0	0	0	0	0	0	278594	4675	51193	0	0	0	0	0	0	514085	76591	0	0	0	0	0	0	0	0	0	0	0	0	392068	0	0	112365	0	0	0	41831	0	0	0	75311	0	0	75068	0	0	110897.05	0	0	6975	0	0	0	0	0	0	0	8284.75	55	479.75	0	0	0	0	0	0	0	14566.25	0	0	7241.48	0	0	0	3233	0	0	0	2072.5	0	0	4160	0	0	2148538	278594	1869944	55868	514085	2439897	696643	110897.05	8284.75	102612.3	534.75	0	103147.05	31273.23	356519	0	0	0	0	0
330403	MONROE COMMUNITY HOSPITAL	20160101	20161231	20181116	13001	40380	1	N	N																										0	0	0	0	0	27364451	0	0	0	0	0	0	0	0	0	13927842	57671	0	0	0	0	0	0	0	0	10411442	36294	0	0	0	0	0	0	0	0	0	0	0	255045	2619421	0	689864	392596	513054	1413822	0	1661767	0	151008	0	1377654	29963	640702	160344	548575	601156	1443401	0	0	0	0	0	0	0	0	0	632528	1040	0	0	0	0	0	0	0	0	12688	108160	0	36400	23712	40144	111072	0	131040	0	10400	0	62400	2080	19344	8528	16198	30028	27364451	13985513	13378938	0	10411442	23790380	11054971	1443401	633568	809833	0	0	809833	612194	0	0	0	0	0	0
340168	WILMINGTON TREATMENT CENTER INC	20160101	20161231	20170607	11501	48900	1	N	N																										0	0	0	0	0	5195935	0	0	0	0	515761	0	0	0	0	0	366680	0	0	0	0	0	0	0	0	965840	82105	0	0	0	0	115486	0	0	0	0	0	0	0	1050000	0	123796	0	0	83918	0	121394	0	0	0	0	0	0	251063	0	0	274900.47	0	0	0	0	7697.14	0	0	0	0	0	19786.91	0	0	0	0	0	0	0	0	0	54144.63	0	6233	0	0	9799.58	0	11179.54	0	0	0	0	0	0	17925.64	0	0	4680174	366680	4313494	0	965840	5279334	1630171	267203.33	19786.91	247416.42	0	0	247416.42	99282.39	655077	0	0	0	0	9960
340189	CONTINUECARE HOSPITAL AT UNIVERSITY	20151222	20160630	20181114	11001	16740	1	N	N																										0	0	0	0	0	515450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241768	0	195894	0	0	0	0	0	0	0	0	14867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18963.53	0	11855.65	0	0	0	0	0	0	0	0	953112	0	953112	0	180024	1133136	437662	45686.18	0	45686.18	0	0	45686.18	30819.18	0	0	0	103745	0	3082
360212	LAKEWOOD HOSPITAL	20160101	20160206	20181107	15201	17460	1	N	N																										0	0	0	0	0	4118122	0	0	0	0	650041	0	0	0	0	121416	171945	15020	0	0	0	611269	0	0	0	1787476	80392	0	0	0	0	180182	0	0	182302	0	0	0	85540	192620	19371	87008	44172	2477	99239	0	16301	132663	0	0	170490	23516	212680	0	98942	0	113877	0	0	0	0	7434	0	0	0	0	3623	5355	510	0	0	0	18999	0	0	0	1794	4767	86	3209	1531	186	6292	0	735	8169	0	0	2765	1475	5155	0	3197	0	3620115	293361	3326754	626289	1969778	5922821	1185019	114698	8978	105720	19509	0	125229	39361	0	0	491098	0	0	8868
