PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010038,01-OCT-20,30-SEP-21,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,165402,,,.145,,,125,45625,3483,2225,11244,,254.73,,633,372,2133,,,,,,,
010040,01-OCT-20,30-SEP-21,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,708253,,,.1241,,,222,81030,15300,10167,56230,,865.35,,2331,1607,9621,,,,10,,313,
010044,01-OCT-20,30-SEP-21,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,14009,,,.0498,,,36,13140,1544,82,2546,,103.5,,164,23,370,,,,,,,
010045,01-OCT-20,30-SEP-21,As Submitted,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,,,,,,,45,16425,2225,217,3998,,182.89,,329,75,725,,,,,,,
010049,01-JAN-21,31-DEC-21,As Submitted,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,215185,,,.12,,,99,36135,4190,3055,14584,,329.54,,878,1645,3547,18,,,,,,
010051,01-OCT-20,30-SEP-21,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,10894,,,.12,,,20,7300,324,1195,1608,,58.53,,52,174,239,,,,,,,
010055,01-OCT-20,30-SEP-21,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,631154,,,.0823,,,204,74460,16043,7006,55753,,1054.98,,3044,1564,11733,,,,,,,
010058,01-OCT-20,30-SEP-21,As Submitted,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,16030,,,.12,,,25,9125,1262,119,3071,,127.3,,93,87,287,,,,,,,
010059,01-OCT-20,30-SEP-21,Amended,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,9879,,,.0552,,,43,15695,1074,73,2151,,105.19,,117,23,370,,,,,,,
010061,01-OCT-20,30-SEP-21,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,151909,,,.12,,,45,16425,2757,3664,9827,,431.09,,552,559,2041,,,,,,,
010062,01-OCT-20,30-SEP-21,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,49299,,,.12,,,33,12045,1497,697,4186,,164.47,,234,172,706,6,,,,,229,
010065,01-JAN-21,31-DEC-21,As Submitted,RUSSELL MEDICAL CENTER                  ,3316 HIGHWAY 280                        ,939                                     ,ALEXANDER CITY                          ,AL                                      ,35010                                   ,TALLAPOOSA                              ,,,,131851,,,.1374,,,45,16425,2040,1388,7273,,71,,457,375,1716,10,,,,,,
010069,01-JAN-21,31-DEC-21,As Submitted,MEDICAL CENTER BARBOUR                  ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36027                                   ,BARBOUR                                 ,,,,23931,,,.0527,,,30,10950,1217,429,4630,,148.99,,269,140,1055,,,,,,261,
010073,01-OCT-20,30-SEP-21,As Submitted,CLAY COUNTY HOSPITAL                    ,83825 HIGHWAY 9                         ,1270                                    ,ASHLAND                                 ,AL                                      ,36251                                   ,CLAY                                    ,,,,148529,,,.2675,,,46,16790,1710,1254,4593,,161.43,,327,267,938,,,,,,,
010078,01-OCT-20,30-SEP-21,As Submitted,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,844413,,,.1395,,,272,99280,15773,11975,55706,,1209.42,,2514,3790,11116,,,,97,,482,
010083,01-OCT-20,30-SEP-21,As Submitted,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,1987489,,,168728,,,.0395,822094,514466,112,40880,8184,3188,28889,24,667.09,,1894,732,6375,,,,,,,
010086,01-JAN-21,31-DEC-21,As Submitted,NORTHWEST MEDICAL CENTER                ,HIGHWAY 78 WEST                         ,130                                     ,WINFIELD                                ,AL                                      ,35594                                   ,MARION                                  ,,,,24982,,,.04,,,28,10220,1776,430,3891,,181.62,,364,85,866,,,,13,,155,
010087,01-OCT-20,30-SEP-21,As Submitted,USA HEALTH UNIVERSITY HOSPITAL          ,2451 UNIVERSITY HOSPITAL DRIVE          ,,MOBILE                                  ,AL                                      ,36617                                   ,MOBILE                                  ,5682255,,,845742,,,.2,3447370,2625557,201,73488,9747,16621,68202,141.2,1783.39,,1359,2010,9406,,,,,,,
010089,01-JAN-21,31-DEC-21,As Submitted,WALKER BAPTIST MEDICAL CENTER           ,3400 HIGHWAY 78 EAST                    ,3547                                    ,JASPER                                  ,AL                                      ,35502                                   ,WALKER                                  ,,,,400752,,,.1367,,,207,75555,6545,5544,27701,,404.54,,1252,1271,6157,,,,304,,1375,
010092,01-OCT-20,30-SEP-21,As Submitted,DCH REGIONAL MEDICAL CENTER             ,809 UNIVERSITY BLVD EAST                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,3133390,,,2405495,,,.1625,1283049,492648,510,186150,38519,32499,149788,50.04,3051.27,,6242,7148,25107,,,,,,1562,661
010095,01-OCT-20,30-SEP-21,As Submitted,HALE COUNTY HOSPITAL                    ,508 GREENE STREET                       ,,GREENSBORO                              ,AL                                      ,36744                                   ,HALE                                    ,,,,24352,,,.12,,,39,14235,821,247,1965,,30.65,,137,95,426,11,,,,,,
010099,01-OCT-20,30-SEP-21,As Submitted,D W MCMILLAN MEMORIAL HOSPITAL          ,1301 BELLEVILLE AVENUE                  ,908                                     ,BREWTON                                 ,AL                                      ,36427                                   ,ESCAMBIA                                ,,,,50919,,,.0812,,,46,16790,1723,628,5213,,177.21,,363,294,1294,,,,,,,
010101,01-JAN-21,31-DEC-21,As Submitted,CITIZENS BAPTIST MEDICAL CENTER         ,604 STONE AVENUE                        ,,TALLADEGA                               ,AL                                      ,35161                                   ,TALLADEGA                               ,,,,50541,,,.0679,,,103,37595,1656,1065,9521,,160.9,,459,289,1893,,,,,,,
010102,01-OCT-20,30-SEP-21,As Submitted,JOHN PAUL JONES HOSPITAL                ,317 MCWILLIAMS AVENUE                   ,B                                       ,CAMDEN                                  ,AL                                      ,36726-1610                              ,WILCOX                                  ,,,,2968,,,.12,,,21,7665,70,43,355,,35.36,,21,18,84,,,,,,,
010103,01-JAN-21,31-DEC-21,As Submitted,PRINCETON BAPTIST MEDICAL CENTER        ,701 PRINCETON AVE SW                    ,,BIRMINGHAM                              ,AL                                      ,35211                                   ,JEFFERSON                               ,2246645,,,638394,,,.1172,3895950,1000114,273,99645,10918,9841,57300,54.52,793,,1984,1458,10382,,,,27,,366,
010112,01-OCT-20,30-SEP-21,As Submitted,WHITFIELD MEMORIAL HOSPITAL             ,105 HIGHWAY 80 EAST                     ,,DEMOPOLIS                               ,AL                                      ,36732                                   ,MARENGO                                 ,,,,114424,,,.12,,,44,16060,2781,928,7418,,200.73,,442,205,1296,,,,155,,482,
010114,01-OCT-20,30-SEP-21,As Submitted,UAB MEDICAL WEST                        ,995 NINTH AVENUE  SOUTHWEST             ,847                                     ,BESSEMER                                ,AL                                      ,35023                                   ,JEFFERSON                               ,,,,246327,,,.0958,,,204,74460,6386,5639,33558,,883.13,883.13,1118,1130,6094,,,,28,62,304,326
010120,01-OCT-20,30-SEP-21,As Submitted,MONROE COUNTY HOSPITAL                  ,2016 SOUTH ALABAMA AVENUE               ,886                                     ,MONROEVILLE                             ,AL                                      ,36461                                   ,MONROE                                  ,,,,48901,,,.12,,,46,16790,1074,900,4390,,178.91,,247,257,982,,,,,,,
010125,01-JAN-21,31-DEC-21,As Submitted,LAKELAND COMMUNITY HOSPITAL             ,42024 HIGHWAY 195                       ,780                                     ,HALEYVILLE                              ,AL                                      ,35565                                   ,WINSTON                                 ,,,,43303,,,.0821,,,49,17885,2286,339,3821,,109.33,,363,76,892,,,,,,93,
010128,01-JAN-21,31-DEC-21,As Submitted,JACKSON MEDICAL CENTER                  ,220 HOSPITAL DRIVE                      ,,JACKSON                                 ,AL                                      ,36545                                   ,CLARKE                                  ,,,,27216,,,.12,,,35,12775,905,544,3107,,99.17,,162,173,666,,,,,,,
010138,01-JAN-21,31-DEC-21,As Submitted,HILL HOSPITAL OF SUMTER COUNTY          ,751 DERBY DRIVE                         ,,YORK                                    ,AL                                      ,36925                                   ,SUMTER                                  ,,,,5091,,,.12,,,33,12045,287,1984,3715,,49.82,,40,106,333,,,,,,,
010139,01-JAN-21,31-DEC-21,As Submitted,BROOKWOOD BAPTIST MEDICAL CENTER        ,2010 BROOKWOOD MEDICAL CENTER DRIVE     ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,646116,,,.1293,,,429,156585,10682,12997,63284,,931.66,,1772,1648,12003,9,30,,632,,2604,697
010144,01-JAN-21,31-DEC-21,As Submitted,SPRINGHILL MEMORIAL HOSPITAL            ,3719 DAUPHIN STREET                     ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,385185,,,.0671,,,189,68985,11221,5920,56458,,1005.36,,1910,1147,9602,,,,,,,271
010148,01-JAN-21,31-DEC-21,As Submitted,EVERGREEN MEDICAL CENTER                ,101 CRESTVIEW AVENUE                    ,,EVERGREEN                               ,AL                                      ,36401-                                  ,CONECUH                                 ,,,,51457,,,.0739,,,44,16060,1924,529,4614,,103.99,,495,191,1172,,,,,,,
010150,01-OCT-20,30-SEP-21,As Submitted,REGIONAL MEDICAL CTR OF CENTRAL AL      ,29 LV STABLER DRIVE                     ,,GREENVILLE                              ,AL                                      ,36037                                   ,BUTLER                                  ,,,,36746,,,.0833,,,44,16060,1297,406,3648,,141.83,,248,100,705,,,,15,,176,
010158,01-JAN-21,31-DEC-21,As Submitted,RUSSELLVILLE HOSPITAL                   ,15155 HIGHWAY 43                        ,1089                                    ,RUSSELLVILLE                            ,AL                                      ,35653                                   ,,,,,87559,,,.1279,,,49,17885,2026,672,4945,,172.16,,377,132,1006,,,,,,,
010168,01-JAN-21,31-DEC-21,As Submitted,JACK HUGHSTON MEMORIAL HOSPITAL         ,4401 RIVER CHASE DRIVE                  ,,PHENIX CITY                             ,AL                                      ,36867                                   ,RUSSELL                                 ,1192730,,,,,,,434947,209134,47,17155,2306,128,7022,9.24,290.54,,821,34,2755,11,,,,,,
010169,01-OCT-20,30-SEP-21,As Submitted,ATMORE COMMUNITY HOSPITAL               ,401 MEDICAL PARK DRIVE                  ,,ATMORE                                  ,AL                                      ,36502                                   ,ESCAMBIA                                ,,,,14738,,,.0458,,,49,17885,1148,408,5598,,193.17,,211,102,905,,,,,,,
010174,01-JAN-21,31-DEC-21,As Submitted,THOMASVILLE REGIONAL MEDICAL CENTER     ,300 MED PARK DRIVE                      ,,THOMASVILLE                             ,AL                                      ,36784                                   ,CLARKE                                  ,,,,9673,,,.0704,,,29,10585,299,54,623,,94.46,,82,41,248,,,,,,,
010175,01-OCT-20,30-SEP-21,As Submitted,EAMC-LANIER                             ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854                                   ,CHAMBERS                                ,,,,11880,,,.0395,,,14,5110,814,228,2531,,217.18,,163,44,512,,,,,,,214
011300,01-OCT-20,30-SEP-21,As Submitted,WASHINGTON COUNTY HOSPITAL              ,ST. STEPHENS AVENUE                     ,1299                                    ,CHATOM                                  ,AL                                      ,36518                                   ,WASHINGTON                              ,,,,,,,,,,15,5475,853,287,1910,,80.97,,97,74,259,,,,,,,
011302,01-OCT-20,30-SEP-21,As Submitted,RED BAY HOSPITAL                        ,211 HOSPITAL ROAD                       ,490                                     ,RED BAY                                 ,AL                                      ,35582-                                  ,FRANKLIN                                ,,,,,,,,,,25,9125,1719,53,2536,,78.7,,177,14,300,,,,,,,
013025,01-JAN-21,31-DEC-21,As Submitted,ENCOMPASS HEALTH LAKESHORE REHABILIT    ,3800 RIDGEWAY DRIVE                     ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,,,,,,,100,36500,14843,2301,33924,,282.78,,1210,188,2725,51,,,,,,
013028,01-JAN-21,31-DEC-21,As Submitted,ENCOMPASS HEALTH REHABILITATION HOSP    ,4465 NARROW LANE ROAD                   ,,MONTGOMERY                              ,AL                                      ,36116                                   ,MONTGOMERY                              ,,,,,,,,,,80,29200,12658,,24941,,206.07,,1053,,2000,22,,,,,,
013030,01-JAN-21,31-DEC-21,As Submitted,ENCOMPASS HEALTH REHABILITATION HOSP    ,1736 EAST MAIN STREET                   ,,DOTHAN                                  ,AL                                      ,36301                                   ,HOUSTON                                 ,,,,,,,,,,51,18615,12144,,18052,,143.66,,1111,,1677,14,,,,,,
013032,01-JAN-21,31-DEC-21,As Submitted,ENCOMPASS HEALTH REHABILITATION HOSP    ,801 GOODYEAR AVENUE                     ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,,,,,,,46,17342,9504,,15921,,131.95,,779,,1298,7,,,,,,
013301,01-OCT-20,30-SEP-21,As Submitted,USA CHILDRENS AND WOMENS HOSPITAL       ,1700 CENTER STREET                      ,,MOBILE                                  ,AL                                      ,36604                                   ,MOBILE                                  ,,,,,,,,,91972,247,90155,286,46140,60235,68.77,1052.41,,76,6063,8614,,,,,,,
014012,01-OCT-20,30-SEP-21,As Submitted,MARY S HARPER GERIATRIC PSYCH CEN       ,201 UNIVERSITY BOULEVARD                ,21231                                   ,TUSCALOOSA                              ,AL                                      ,35402-                                  ,TUSCALOOSA                              ,,,,,,,,,,126,45990,1046,11527,27034,,350.81,,32,63,103,,,,,,,
014014,01-OCT-20,30-SEP-21,Settled,BAYPOINTE BEHAVIORAL HEALTH             ,5800 SOUTHLAND DRIVE                    ,,MOBILE                                  ,AL                                      ,36693-3313                              ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014015,01-JAN-21,31-DEC-21,Settled,BEACON CHILDRENS HOSPITAL               ,150 HOSPITAL DRIVE                      ,,LUVERNE                                 ,AL                                      ,36049                                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014017,01-OCT-20,30-SEP-21,Settled,EASTPOINTE HOSPITAL                     ,7400 ROPER LANE                         ,,DAPHNE                                  ,AL                                      ,36526                                   ,BALDWIN                                 ,,,,,,,,,,66,24090,1523,,14638,,104,,67,,560,,,,,,,
014018,01-JAN-21,31-DEC-21,As Submitted,BEHAVIORAL HEALTH CENTERS               ,5315 MILLENNIUM DRIVE NORTWEST          ,,HUBTSVILLE                              ,AL                                      ,35806                                   ,MADISON                                 ,,,,,,,,,,20,7300,2465,,3643,,29.82,,172,,272,,,,,,,
020012,01-JAN-21,31-DEC-21,As Submitted,FAIRBANKS MEMORIAL                      ,1650 COWLES ST                          ,,FAIRBANKS                               ,AK                                      ,99701                                   ,NORTH STAR BOROUGH                      ,,,,897044,,,.2401,,,122,44530,5661,5550,18694,,1130.33,,1210,1326,4358,,,,,,,
020018,01-OCT-20,30-SEP-21,As Submitted,YK DELTA REGIONAL HOSPITAL              ,SUTE 3000                               ,287                                     ,BETHEL                                  ,AK                                      ,99559                                   ,BETHEL                                  ,,,,63631,,,.12,,,34,12410,876,2750,3906,,1466,,167,1000,1227,,,,,,,
020026,01-OCT-20,30-SEP-21,As Submitted,ALASKA NATIVE MEDICAL CENTER            ,4315 DIPLOMACY DRIVE                    ,,ANCHORAGE                               ,AK                                      ,99508                                   ,ANCHORAGE                               ,,,,3791824,,,.4602,,,174,63146,10305,22857,40053,,3047,,1620,4895,8079,,,,,,,
021305,01-OCT-20,30-SEP-21,As Submitted,WRANGELL MEDICAL CENTER                 ,310 BENNETT STREET                      ,1081                                    ,WRANGELL                                ,AK                                      ,99929-                                  ,,,,,,,,,,,8,2920,592,83,878,,92,,55,31,117,,,,,,,
021306,01-JAN-21,31-DEC-21,As Submitted,PROV. KODIAK ISLAND MEDICAL CENTER      ,1915 E REZANOF DRIVE                    ,1187                                    ,KODIAK                                  ,AK                                      ,99615                                   ,KODIAK ISLAND BOROUGH                   ,,,,,,,,,,24,8760,1437,613,2919,,164.21,,174,179,567,,,,,,,
021308,01-OCT-20,30-SEP-21,Amended,NORTON SOUND REGIONAL HOSPITAL          ,1000 GREG KRUSCHEK                      ,966                                     ,NOME                                    ,AK                                      ,99762-                                  ,NOME BOROUGH                            ,,,,,,,,,,18,6570,1000,1726,3436,,801,,144,357,690,,,,,,,
021309,01-OCT-20,30-SEP-21,As Submitted,KANAKANAK HOSPITAL                      ,6000 KANAKANAK ROAD                     ,,DILLINGHAM                              ,AK                                      ,99576                                   ,DILLINGHAM                              ,,,,,,,,,,16,5840,351,162,677,,431,,54,72,172,,,,,,,
021310,01-OCT-20,30-SEP-21,As Submitted,MANIILAQ HEALTH CENTER                  ,436 5TH AVENUE                          ,43                                      ,KOTZEBUE                                ,AK                                      ,99752                                   ,KOBUK                                   ,,,,,,,,,,17,6205,335,1009,1344,,387,,91,382,473,,,,,,,
021312,01-OCT-20,30-SEP-21,As Submitted,SAMUEL SIMMONDS MEMORIAL HOSPITAL       ,1296 AGVIK STREET                       ,29                                      ,BARROW                                  ,AK                                      ,99723                                   ,NORTH SLOPE BOROUGH                     ,,,,,,,,,,10,3650,497,209,1027,,495,,96,68,248,,,,,,,
021314,01-OCT-20,30-SEP-21,As Submitted,MT EDGECUMBE HOSPITAL                   ,3245 HOSPITAL DR.                       ,,JUNEAU                                  ,AK                                      ,99801                                   ,SITKA BOROUGH                           ,,,,,,,,,,27,9855,1854,639,4203,,1545,,255,210,678,,,,,,,
024001,01-JAN-21,31-DEC-21,As Submitted,NORTH STAR HOSPITAL T18                 ,2530 DEBARR RD                          ,,ANCHORAGE                               ,AK                                      ,99508-2948                              ,,,,,,,,,,,140,51100,160,16727,25814,,211.1,,10,469,782,,,,,,,
030006,01-JAN-21,31-DEC-21,As Submitted,TUCSON MEDICAL CENTER                   ,5301 E GRANT ROAD                       ,,TUCSON                                  ,AZ                                      ,85712                                   ,PIMA                                    ,3581771,,,4091363,,,.217,1427705,527286,499,182135,28615,45375,136617,42.19,3248.32,,6159,9505,28900,,,,1,,109,
030010,01-OCT-20,30-SEP-21,As Submitted,CARONDELET ST. MARYS HOSPITAL           ,1601 W. ST. MARYS ROAD                  ,,TUCSON                                  ,AZ                                      ,85745-                                  ,PIMA                                    ,,,,975680,,,.1557,,,309,112785,10081,2062,45589,,744.47,,2015,189,9014,1741,174,,,1,553,482
030011,01-OCT-20,30-SEP-21,As Submitted,CARONDELET ST. JOSEPH HOSPITAL          ,350 NORTH WILMOT ROAD                   ,,TUCSON                                  ,AZ                                      ,85732-                                  ,PIMA                                    ,,,,982993,,,.1098,,,451,164615,14655,1743,66475,,971.48,,2943,55,13737,2655,558,,1,,824,
030013,01-OCT-20,30-SEP-21,As Submitted,YUMA REGIONAL MEDICAL CENTER            ,2400 S AVENUE A                         ,,YUMA                                    ,AZ                                      ,85364                                   ,YUMA                                    ,1346864,,,2474324,,,.1951,345432,324530,406,148190,19562,17436,63564,18.18,2062.76,,4413,2837,12524,,,,,,,
030014,01-JAN-21,31-DEC-21,As Submitted,HONORHEALTH JOHN C. LINCOLN MED CTR     ,250 EAST DUNLAP                         ,,PHOENIX                                 ,AZ                                      ,85020                                   ,MARICOPA                                ,616960,,,1678241,,,.2036,376411,143942,258,95442,13452,18864,59624,9,1385.23,,2792,3106,10659,,,,,,,
030036,01-JAN-21,31-DEC-21,As Submitted,CHANDLER REGIONAL MEDICAL CENTER        ,475 SOUTH DOBSON ROAD                   ,,CHANDLER                                ,AZ                                      ,85224                                   ,MARICOPA                                ,,,,2209616,,,.1199,,,379,138335,27508,19579,122404,,2093.27,,6087,439,26654,5168,,,,,,
030068,01-JAN-21,27-SEP-21,As Submitted,MT. GRAHAM REGIONAL MEDICAL CENTER      ,1600 TWENTIETH AVENUE                   ,,SAFFORD                                 ,AZ                                      ,85548-                                  ,GRAHAM                                  ,,,,45587,,,.12,,,25,6750,635,1018,3772,,375.7,,155,243,934,,,,,,,
030083,01-OCT-20,30-SEP-21,As Submitted,ABRAZO SCOTTSDALE CAMPUS                ,3929 EAST BELL ROAD                     ,,PHOENIX                                 ,AZ                                      ,85032                                   ,MARICOPA                                ,,,,413091,,,.1663,,,128,46720,4137,962,20912,,379.5,,833,117,4345,932,,,,,,
030085,01-OCT-20,30-SEP-21,Amended,NORTHWEST MEDICAL CENTER                ,6200 NORTH LA CHOLLA                    ,,TUCSON                                  ,AZ                                      ,85741-                                  ,PIMA                                    ,,,,747869,,,.0825,,,258,94170,14015,1749,56085,,1195.23,,3237,2395,13485,,,,,,,1
030103,01-JAN-21,31-DEC-21,As Submitted,MAYO CLINIC HOSPITAL                    ,5777 EAST MAYO BLVD                     ,,PHOENIX                                 ,AZ                                      ,85054                                   ,MARICOPA                                ,19519378,,,,,,,2829098,1319310,302,110230,42128,4836,92745,153.17,6679.39,,8035,614,16494,,,,,,,
030107,01-JAN-21,31-DEC-21,As Submitted,AZ SPINE & JOINT HOSPITAL               ,4620 EAST BASELINE ROAD                 ,,MESA                                    ,AZ                                      ,85206                                   ,MARICOPA                                ,,,,,,,,,,23,8395,731,,1551,,107.41,,614,,1308,4,,,,,,
