PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010021,01-OCT-18,30-SEP-19,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,75542,,,.12,,,77,28105,2532,1537,7446,,272.33,,460,251,1132,,,,27,,372,
010022,01-JUL-19,30-JUN-20,As Submitted,CHEROKEE MEDICAL CENTER                 ,400 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,30459,,,.12,,,45,16470,980,1128,3366,,80.81,,216,211,723,71,,,,,,
010023,01-JUL-19,30-JUN-20,As Submitted,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2616005,,,1892379,,,.2042,550977,593641,326,119316,20909,21654,88615,41.61,1807.52,,3821,3215,14979,,,,,,1889,
010024,01-JAN-19,31-DEC-19,As Submitted,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,1112897,,,.1307,,,270,98550,20253,11042,73048,,1562.25,,3750,1936,14291,159,,,,,,
010029,01-OCT-18,30-SEP-19,Amended,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,,,,1322165,,,.1418,,,299,109135,25060,17270,78863,,2484.86,,4388,4851,17291,113,,,,13,,329
010033,01-OCT-18,30-SEP-19,As Submitted,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21008496,,,7311078,,,.2048,7881051,3186240,1100,401256,75093,85691,334853,567.86,8935.68,,11875,9123,53894,,,,730,279,2362,1301
010034,01-OCT-18,30-SEP-19,As Submitted,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,20598,,,.0702,,,37,13505,1653,349,3969,,173.81,,223,77,694,,,,20,,138,
010035,01-JUL-19,30-JUN-20,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,347052,,,.0843,,,133,48678,10052,3523,26357,,923.05,,2580,1461,7810,,,,,,,
010036,01-APR-19,31-MAR-20,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,320791,,,.1757,,,83,30378,5157,2171,10215,,259.39,,1230,587,2696,4,,,,,,
010038,01-OCT-18,30-SEP-19,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,209279,,,.1523,,,125,45625,4031,2307,11821,,230.84,,902,467,2716,,,,,,,
010039,01-JUL-19,30-JUN-20,Amended,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4021965,25401,,3590045,22673,,.1159,1746909,750159,887,324642,71268,49126,226072,59.55,6508.59,,12785,10691,48584,,,,249,,1767,
010040,01-OCT-18,30-SEP-19,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,1159982,,,.1445,,,222,81030,20488,12082,61618,,985.9,,3947,2282,12898,,,,20,,344,
010044,01-OCT-18,30-SEP-19,As Submitted,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,12071,,,.0359,,,36,13140,2345,108,3133,,108.5,,259,35,479,,,,,,,
010045,01-OCT-18,30-SEP-19,Amended,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,14152,,,.0328,,,45,16425,2734,161,3826,,174.64,,310,65,559,,,,,,,
010046,01-JAN-19,31-DEC-19,As Submitted,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,420000,,,.0843,,,256,93440,9702,2919,23777,,552.8,,2554,696,6300,1,,,2,,333,
010047,01-JAN-19,08-MAR-19,As Submitted,GEORGIANA HOSPITAL                      ,515 MIRANDA STREET                      ,,GEORGIANA                               ,AL                                      ,36033                                   ,BUTLER                                  ,,,,4115,,,.0938,,,22,1474,147,32,247,,36.63,,44,13,82,,,,,,,
010049,01-JAN-19,31-DEC-19,Amended,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,208604,,,.12,,,99,36135,3905,3485,12052,,331.64,,1138,966,3832,,,,,,,
010051,01-OCT-18,30-SEP-19,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,12368,,,.12,,,20,7300,484,857,1764,,65.42,,105,170,355,,,,,,,
010052,01-JAN-19,31-DEC-19,As Submitted,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,31393,,,.12,,,46,16790,683,256,1618,,67.57,,250,91,587,,,,,,,
010055,01-OCT-18,30-SEP-19,Amended,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,829178,,,.0887,,,235,85775,20779,7265,55402,,1069.2,,4221,1839,12538,,,,,,,
010056,01-JUL-19,30-JUN-20,As Submitted,ST VINCENTS BIRMINGHAM                  ,810 ST VINCENTS DRIVE                   ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,76068,,,603936,,,.0571,40583,25449,399,146034,19430,10664,86396,,1730.89,,4390,1963,19579,,,,,,,
010058,01-OCT-18,30-SEP-19,As Submitted,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,21700,,,.12,,,25,9125,1801,350,3932,,123.78,,152,102,385,,,,,,,
010059,01-OCT-18,30-SEP-19,As Submitted,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,20843,,,.0741,,,43,15695,1436,105,2375,,104.32,,236,39,573,,,,,,,
010061,01-OCT-18,30-SEP-19,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,155344,,,.12,,,45,16060,4025,2796,10784,,359.61,,882,552,2622,,,,,,,
010062,01-OCT-18,30-SEP-19,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,44744,,,.1088,,,73,26645,1647,450,3502,,155.21,,337,139,805,12,,,33,,312,
010065,01-JAN-19,31-DEC-19,As Submitted,RUSSELL MEDICAL CENTER                  ,3316 HIGHWAY 280                        ,939                                     ,ALEXANDER CITY                          ,AL                                      ,35010                                   ,TALLAPOOSA                              ,,,,211548,,,.1787,,,43,15695,2965,1644,7807,,65.11,,712,482,2034,15,,,,,,
010069,01-JAN-19,31-DEC-19,As Submitted,MEDICAL CENTER BARBOUR                  ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36027                                   ,BARBOUR                                 ,,,,38244,,,.0893,,,30,10950,1694,417,4147,,142.55,,325,106,879,,,,,,260,
010073,01-OCT-18,30-SEP-19,As Submitted,CLAY COUNTY HOSPITAL                    ,83825 HIGHWAY 9                         ,1270                                    ,ASHLAND                                 ,AL                                      ,36251                                   ,CLAY                                    ,,,,158540,,,.3085,,,46,16790,2229,1288,4712,,161.21,,404,281,927,,,,,,,
010078,01-OCT-18,30-SEP-19,Amended,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,1252190,,,.162,,,272,99280,21186,13730,54739,,1284.39,,3964,2512,13011,,,,134,,758,
010079,01-JUL-19,30-JUN-20,As Submitted,ATHENS LIMESTONE                        ,ATHENS LIMESTONE HOSPITAL               ,999                                     ,ATHENS                                  ,AL                                      ,35611-                                  ,LIMESTONE                               ,,,,290384,,,.12,,,66,24156,5287,2372,12749,,543.25,,1214,954,3881,,,,,,,
010083,01-OCT-18,30-SEP-19,As Submitted,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,775832,,,228159,,,.0597,338284,212801,112,40880,8507,3641,25994,10.02,627.52,,2031,678,5246,121,,,,,,
010085,01-APR-19,31-MAR-20,As Submitted,DECATUR MORGAN - DECATUR CAMPUS         ,7TH STREET S.E.                         ,2239                                    ,DECATUR                                 ,AL                                      ,35609-                                  ,MORGAN                                  ,,,,418204,7031,,.0668,,,266,97356,18659,5161,42097,,1115.25,,3563,1585,9235,,,,215,,1602,
010086,01-JAN-19,31-DEC-19,As Submitted,NORTHWEST MEDICAL CENTER                ,HIGHWAY 78 WEST                         ,130                                     ,WINFIELD                                ,AL                                      ,35594                                   ,MARION                                  ,,,,26556,,,.0483,,,42,15330,1828,369,3375,,188.39,,452,81,923,,,,16,,183,
010087,01-OCT-18,30-SEP-19,As Submitted,USA HEALTH UNIVERSITY HOSPITAL          ,2451 FILLINGIM STREET                   ,,MOBILE                                  ,AL                                      ,36617                                   ,MOBILE                                  ,6118367,,,1054423,,,.2486,2708363,2374176,183,66795,10574,16010,58210,139.93,1618.79,,1694,2278,9928,,,,,,,
010089,01-JAN-19,31-DEC-19,As Submitted,WALKER BAPTIST MEDICAL CENTER           ,3400 HIGHWAY 78 EAST                    ,3547                                    ,JASPER                                  ,AL                                      ,35502                                   ,WALKER                                  ,,,,475822,,,.1691,,,207,75555,7129,5352,24209,,452.7,,1598,1239,5912,,,,369,,1670,
010090,01-JUL-19,30-JUN-20,Amended,PROVIDENCE HOSPITAL                     ,6801 AIRPORT BLVD                       ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,585618,,,.0756,,,349,127734,18257,7411,65295,,1059.02,,3263,1916,13050,12,,,,,,
010091,01-JUL-19,30-JUN-20,As Submitted,GROVE HILL MEMORIAL HOSPITAL            ,295 SOUTH JACKSON STREET                ,935                                     ,GROVE HILL                              ,AL                                      ,36451-                                  ,CLARKE                                  ,,,,11620,,,.12,,,21,7686,348,709,2041,,92.31,,91,286,557,,,,3,,115,
010092,01-OCT-18,30-SEP-19,Amended,DCH REGIONAL MEDICAL CENTER             ,809 UNIVERSITY BLVD EAST                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,3304495,,,3426784,,,.1873,1377823,759914,524,191260,48637,37154,146774,50.97,3336.25,,9237,8129,31491,,,,,38,2015,838
010095,01-OCT-18,30-SEP-19,As Submitted,HALE COUNTY HOSPITAL                    ,508 GREENE STREET                       ,,GREENSBORO                              ,AL                                      ,36744                                   ,HALE                                    ,,,,22587,,,.12,,,28,10220,1641,267,2666,,80.86,,167,89,380,,,,,,,
010097,01-JAN-19,31-DEC-19,As Submitted,ELMORE COMMUNITY HOSPITAL               ,500 HOSPITAL DRIVE                      ,,WETUMPKA                                ,AL                                      ,36092                                   ,ELMORE                                  ,,,,35341,,,.12,,,33,12045,861,968,3670,,113.7,,220,137,763,,,,,,,
010099,01-OCT-18,30-SEP-19,As Submitted,D W MCMILLAN MEMORIAL HOSPITAL          ,1301 BELLEVILLE AVENUE                  ,908                                     ,BREWTON                                 ,AL                                      ,36427                                   ,ESCAMBIA                                ,,,,80683,,,.12,,,46,16790,2481,1530,6328,,184.23,,586,395,1586,,,,,,,
010100,01-APR-19,31-MAR-20,As Submitted,THOMAS HOSPITAL                         ,750 MORPHY AVE                          ,929                                     ,FAIRHOPE                                ,AL                                      ,36532-                                  ,BALDWIN                                 ,,,,308268,,,.0459,,,129,47085,13599,6755,44847,,821,,3155,2020,10337,,,,,4,,265
010101,01-JAN-19,31-DEC-19,As Submitted,CITIZENS BAPTIST MEDICAL CENTER         ,604 STONE AVENUE                        ,,TALLADEGA                               ,AL                                      ,35161                                   ,TALLADEGA                               ,,,,86130,,,.1145,,,103,37595,1870,1283,7787,,194.7,,540,411,2090,,,,,,,
010102,01-OCT-18,30-SEP-19,As Submitted,JOHN PAUL JONES HOSPITAL                ,317 MCWILLIAMS AVENUE                   ,B                                       ,CAMDEN                                  ,AL                                      ,36726-1610                              ,WILCOX                                  ,,,,10856,,,.12,,,21,7665,293,86,504,,37.66,,92,35,180,,,,,,,
010103,01-JAN-19,31-DEC-19,Amended,PRINCETON BAPTIST MEDICAL CENTER        ,701 PRINCETON AVE SW                    ,,BIRMINGHAM                              ,AL                                      ,35211                                   ,JEFFERSON                               ,3178884,,,976295,,,.1227,3495290,990803,279,101835,17946,12896,71478,54.98,1077,,3325,1914,13817,,,,39,,578,
010104,01-JUL-19,30-JUN-20,As Submitted,GRANDVIEW MEDICAL CENTER                ,800 MONTCLAIR ROAD                      ,,BIRMINGHAM                              ,AL                                      ,35213                                   ,JEFFERSON                               ,2752745,,,683735,,,.051,1938725,796454,373,136518,25328,11061,100568,42.9,1776.7,,5381,1591,22655,,,,4,,687,712
010108,01-JUL-19,30-JUN-20,As Submitted,PRATTVILLE BAPTIST HOSPITAL             ,124 SOUTH MEMORIAL DRIVE                ,,PRATTVILLE                              ,AL                                      ,36067-                                  ,AUTAUGA                                 ,,,,75748,,,.0694,,,55,20130,3318,1165,11769,,291.69,,738,336,2678,,,,,,,
010109,01-OCT-18,30-SEP-19,As Submitted,PICKENS COUNTY MEDICAL CENTER           ,R.K. WILSON DRIVE                       ,,CARROLLTON                              ,AL                                      ,35477                                   ,PICKENS                                 ,,,,25464,,,.12,,,36,13140,1141,364,2105,,111.64,,187,100,484,,,,,,15,
010110,01-JAN-19,31-DEC-19,As Submitted,BULLOCK COUNTY HOSPITAL                 ,BULLOCK COUNTY HOSPITAL                 ,102 CONECUH AVENUE                      ,UNION SPRINGS                           ,AL                                      ,36089                                   ,BULLOCK                                 ,,,,27637,,,.12,,,25,9125,876,956,2935,,83.24,,177,125,563,,,,201,,753,
010112,01-OCT-18,30-SEP-19,As Submitted,BRYAN W WHITFIELD MEMORIAL HOSPITAL     ,105 HIGHWAY 80 EAST                     ,,DEMOPOLIS                               ,AL                                      ,36732                                   ,MARENGO                                 ,,,,48825,,,.12,,,37,13505,2083,810,4949,,202.52,,339,295,1028,,,,111,,453,
010113,01-APR-19,31-MAR-20,As Submitted,MOBILE INFIRMARY MEDICAL CENTER         ,FIVE MOBILE INFIRMARY CIRCLE            ,2144                                    ,MOBILE                                  ,AL                                      ,36652-                                  ,MOBILE                                  ,210611,,,2889014,,,.1865,110367,32346,596,217540,38833,36394,145983,3.08,1919.8,,6578,5409,24926,,,,155,46,469,705
010114,01-OCT-18,30-SEP-19,As Submitted,UAB MEDICAL WEST                        ,995 NINTH AVENUE  SOUTHWEST             ,847                                     ,BESSEMER                                ,AL                                      ,35023                                   ,JEFFERSON                               ,,,,278625,,,.0983,,,187,68255,7844,6004,32107,,987.52,,1535,1330,6652,,,,17,51,455,307
010118,01-JUL-19,30-JUN-20,As Submitted,VAUGHAN REGIONAL MEDICAL CENTER         ,1015 MEDICAL CENTER PARKWAY             ,,SELMA                                   ,AL                                      ,36701                                   ,DALLAS                                  ,509567,,,768063,,,.3484,370886,139052,109,39894,4921,5700,16465,19.15,388.14,,1312,1600,4984,,,,,,,
010120,01-OCT-18,30-SEP-19,As Submitted,MONROE COUNTY HOSPITAL                  ,2016 SOUTH ALABAMA AVENUE               ,886                                     ,MONROEVILLE                             ,AL                                      ,36461                                   ,MONROE                                  ,,,,37038,,,.12,,,49,17885,964,1126,2557,,198.15,,274,296,712,,,,,,,
010125,01-JAN-19,31-DEC-19,As Submitted,LAKELAND COMMUNITY HOSPITAL             ,42024 HIGHWAY 195                       ,780                                     ,HALEYVILLE                              ,AL                                      ,35565                                   ,WINSTON                                 ,,,,99487,,,.1246,,,49,17885,3369,634,5222,,116.05,,659,217,1262,,,,17,,139,
010126,01-APR-19,31-MAR-20,As Submitted,TROY REGIONAL MEDICAL CENTER            ,130 HIGHWAY 231                         ,,TROY                                    ,AL                                      ,36081                                   ,PIKE                                    ,,,,67797,,,.12,,,41,15006,1608,1248,5053,,216.48,,372,363,1320,,,,64,,327,
010128,01-JAN-19,31-DEC-19,As Submitted,JACKSON MEDICAL CENTER                  ,220 HOSPITAL DRIVE                      ,,JACKSON                                 ,AL                                      ,36545                                   ,CLARKE                                  ,,,,33078,,,.12,,,35,12775,1292,807,3122,,93,,252,281,771,,,,,,,
010129,01-APR-19,31-MAR-20,As Submitted,NORTH BALDWIN INFIRMARY                 ,1815 HAND AVENUE                        ,1409                                    ,BAY MINETTE                             ,AL                                      ,36507                                   ,BALDWIN                                 ,,,,66113,,,.12,,,25,9150,1193,1958,5582,,176.9,,365,822,1846,,,,55,,379,
010130,01-JUL-19,30-JUN-20,Amended,ST. VINCENTS ST. CLAIR                  ,7063 VETERANS PARKWAY                   ,,PELL CITY                               ,AL                                      ,35125                                   ,ST. CLAIR                               ,,,,,,,,,,40,14640,1931,331,6537,,159,,511,99,1666,,,,,,,
010131,01-JUL-19,30-JUN-20,As Submitted,CRESTWOOD MEDICAL CENTER                ,ONE HOSPITAL DRIVE                      ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,,,,266165,,,.0364,,,190,69540,13683,4096,41324,,1037.57,,3150,773,10519,,,,,,,
010138,01-JAN-19,31-DEC-19,As Submitted,HILL HOSPITAL OF SUMTER COUNTY          ,751 DERBY DRIVE                         ,,YORK                                    ,AL                                      ,36925                                   ,SUMTER                                  ,,,,9258,,,.12,,,33,12045,796,3750,5100,,45.06,,81,164,430,,,,,,,
010139,01-JAN-19,31-DEC-19,Amended,BROOKWOOD BAPTIST MEDICAL CENTER        ,2010 BROOKWOOD MEDICAL CENTER DRIVE     ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,571137,,,.0861,,,425,155125,14757,12766,70130,,1169.62,,2945,1572,14868,12,33,,971,3,4279,728
010144,01-JAN-19,31-DEC-19,As Submitted,SPRINGHILL MEMORIAL HOSPITAL            ,3719 DAUPHIN STREET                     ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,508989,,,.0689,,,188,68620,15043,6458,56952,,1033.91,,2771,1284,11283,,,,,,,280
010148,01-JAN-19,31-DEC-19,As Submitted,EVERGREEN MEDICAL CENTER                ,101 CRESTVIEW AVENUE                    ,,EVERGREEN                               ,AL                                      ,36401-                                  ,CONECUH                                 ,,,,118691,,,.139,,,44,16060,2490,733,4809,,106.25,,756,280,1547,,,,,,,
010149,01-JUL-19,30-JUN-20,As Submitted,BAPTIST MEDICAL CENTER EAST             ,400 TAYLOR ROAD                         ,,MONTGOMERY                              ,AL                                      ,36117-                                  ,MONTGOMERY                              ,,,,764151,,,.2776,,,184,67344,7145,18697,54309,,858.59,,1513,4781,11045,,,,,,,
010150,01-OCT-18,30-SEP-19,Amended,REGIONAL MEDICAL CTR OF CENTRAL AL      ,29 LV STABLER DRIVE                     ,,GREENVILLE                              ,AL                                      ,36037                                   ,BUTLER                                  ,,,,16512,25931,,.0916,,,44,16060,1402,451,3005,,133.09,,351,129,790,,,,,,190,
010157,01-APR-19,31-MAR-20,As Submitted,SHOALS HOSPITAL                         ,201 W AVALON AVE.                       ,3359                                    ,MUSCLE SHOALS                           ,AL                                      ,35661                                   ,COLBERT                                 ,,,,46489,20514,,.1728,,,122,44652,1784,1925,7982,,177.46,,223,339,1635,7,,,,5,396,744
010158,01-JAN-19,31-DEC-19,As Submitted,RUSSELLVILLE HOSPITAL                   ,15155 HIGHWAY 43                        ,1089                                    ,RUSSELLVILLE                            ,AL                                      ,35653                                   ,FRANKLIN                                ,,,,123445,,,.1357,,,49,17885,3436,963,6355,,174.71,,682,292,1547,,,,,,,
010164,01-AUG-19,31-JUL-20,As Submitted,COOSA VALLEY MEDICAL CENTER             ,315 WEST HICKORY STREET                 ,,SYLACAUGA                               ,AL                                      ,35150                                   ,TALLADEGA                               ,,,,131166,,,.12,,,122,44652,3057,5373,12514,,433.4,,642,1141,2893,,,,88,,253,
010168,01-JAN-19,31-DEC-19,As Submitted,JACK HUGHSTON MEMORIAL HOSPITAL         ,4401 RIVER CHASE DRIVE                  ,,PHENIX CITY                             ,AL                                      ,36867                                   ,RUSSELL                                 ,1539343,,,,,,,549081,130172,47,17155,2458,163,6261,9.91,282.27,,1188,29,3130,10,,,,,,
010169,01-OCT-18,30-SEP-19,As Submitted,ATMORE COMMUNITY HOSPITAL               ,401 MEDICAL PARK DRIVE                  ,,ATMORE                                  ,AL                                      ,36502                                   ,ESCAMBIA                                ,,,,61046,,,.1156,,,49,17885,2170,907,6378,,155.84,,412,182,1333,,,,,,,
010173,01-JUL-19,30-JUN-20,Amended,ST. VINCENTS CHILTON                    ,2030 LAY DAM ROAD                       ,,CLANTON                                 ,AL                                      ,35045                                   ,CHILTON                                 ,,,,6413,,,.0384,,,26,9516,476,167,1772,,111,,129,74,560,,,,,,,
011300,01-OCT-18,30-SEP-19,As Submitted,WASHINGTON COUNTY HOSPITAL              ,ST. STEPHENS AVENUE                     ,1299                                    ,CHATOM                                  ,AL                                      ,36518                                   ,WASHINGTON                              ,,,,,,,,,,15,5475,1519,123,2364,,79,,194,39,286,,,,,,,
